TAGUCHI L64 (TYPE B) ORTHOGONAL DESIGN
NUMBER OF FACTORS                = 21
NUMBER OF LEVELS FOR EACH FACTOR =  4
NUMBER OF OBSERVATIONS           = 64
REFERENCE--TAGUCHI, SYS. OF EXP. DES., VOL. 2, PAGES 1171.
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS)
      SHOULD BE RUN IN RANDOM ORDER
      (TO ASSIST IN THIS RANDOMIZATION,
      SEE DATAPLOT'S REFERENCE FILES OF
      RANDOM PERMUTATIONS).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      DIMENSION 30 VARIABLES
      SKIP 25
      READ L64B.DAT X1 TO X21
DATE--JUNE 1988
Note: A correction to X11 (columns 39 and 40 were interchanged)
      was applied in July 2007, with thanks to Dr. Joseph Nahas,
      Freescale Semiconductor, Inc (TX)




X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X  X
2  4  3  2  1  1  2  3  4  4  3  2  1  2  1  4  3  3  4  1  2
2  4  3  2  1  2  1  4  3  3  4  1  2  1  2  3  4  4  3  2  1
2  4  3  2  1  3  4  1  2  2  1  4  3  4  3  2  1  1  2  3  4
2  4  3  2  1  4  3  2  1  1  2  3  4  3  4  1  2  2  1  4  3
3  1  3  4  2  1  3  4  2  1  3  4  2  1  3  4  2  1  3  4  2
3  1  3  4  2  2  4  3  1  2  4  3  1  2  4  3  1  2  4  3  1
3  1  3  4  2  3  1  2  4  3  1  2  4  3  1  2  4  3  1  2  4
3  1  3  4  2  4  2  1  3  4  2  1  3  4  2  1  3  4  2  1  3
3  2  4  3  1  1  3  4  2  2  4  3  1  3  1  2  4  4  2  1  3
3  2  4  3  1  2  4  3  1  1  3  4  2  4  2  1  3  3  1  2  4
3  2  4  3  1  3  1  2  4  4  2  1  3  1  3  4  2  2  4  3  1
3  2  4  3  1  4  2  1  3  3  1  2  4  2  4  3  1  1  3  4  2
3  3  1  2  4  1  3  4  2  3  1  2  4  4  2  1  3  2  4  3  1
3  3  1  2  4  2  4  3  1  4  2  1  3  3  1  2  4  1  3  4  2
3  3  1  2  4  3  1  2  4  1  3  4  2  2  4  3  1  4  2  1  3
3  3  1  2  4  4  2  1  3  2  4  3  1  1  3  4  2  3  1  2  4
3  4  2  1  3  1  3  4  2  4  2  1  3  2  4  3  1  3  1  2  4
3  4  2  1  3  2  4  3  1  3  1  2  4  1  3  4  2  4  2  1  3
3  4  2  1  3  3  1  2  4  2  4  3  1  4  2  1  3  1  3  4  2
3  4  2  1  3  4  2  1  3  1  3  4  2  3  1  2  4  2  4  3  1
4  1  4  2  3  1  4  2  3  1  4  2  3  1  4  2  3  1  4  2  3
4  1  4  2  3  2  3  1  4  2  3  1  4  2  3  1  4  2  3  1  4
4  1  4  2  3  3  2  4  1  3  2  4  1  3  2  4  1  3  2  4  1
4  1  4  2  3  4  1  3  2  4  1  3  2  4  1  3  2  4  1  3  2
4  2  3  1  4  1  4  2  3  2  3  1  4  3  2  4  1  4  1  3  2
4  2  3  1  4  2  3  1  4  1  4  2  3  4  1  3  2  3  2  4  1
4  2  3  1  4  3  2  4  1  4  1  3  2  1  4  2  3  2  3  1  4
4  2  3  1  4  4  1  3  2  3  2  4  1  2  3  1  4  1  4  2  3
4  3  2  4  1  1  4  2  3  3  2  4  1  4  1  3  2  2  3  1  4
4  3  2  4  1  2  3  1  4  4  1  3  2  3  2  4  1  1  4  2  3
4  3  2  4  1  3  2  4  1  1  4  2  3  2  3  1  4  4  1  3  2
4  3  2  4  1  4  1  3  2  2  3  1  4  1  4  2  3  3  2  4  1
4  4  1  3  2  1  4  2  3  4  1  3  2  2  3  1  4  3  2  4  1
4  4  1  3  2  2  3  1  4  3  2  4  1  1  4  2  3  4  1  3  2
4  4  1  3  2  3  2  4  1  2  3  1  4  4  1  3  2  1  4  2  3
4  4  1  3  2  4  1  3  2  1  4  2  3  3  2  4  1  2  3  1  4
