TAGUCHI L81 ORTHOGONAL DESIGN
NUMBER OF FACTORS                = 40
NUMBER OF LEVELS FOR EACH FACTOR =  3
NUMBER OF OBSERVATIONS           = 81
REFERENCE--TAGUCHI, SYS. OF EXP. DES., VOL. 2, PAGES 1158-1159.
NOTE--IF POSSIBLE, THIS (AS WITH ALL EXPERIMENT DESIGNS)
      SHOULD BE RUN IN RANDOM ORDER
      (TO ASSIST IN THIS RANDOMIZATION,
      SEE DATAPLOT'S REFERENCE FILES OF
      RANDOM PERMUTATIONS).
NOTE--TO READ THIS FILE INTO DATAPLOT--
      DIMENSION 50 VARIABLES
      SKIP 25
      READ L81.DAT X1 TO X40
DATE--JUNE 1988






X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X
1 1 1 1 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3
1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1
1 2 2 2 1 1 1 2 2 2 3 3 3 1 1 1 2 2 2 3 3 3 1 1 1 2 2 2 3 3 3 1 1 1 2 2 2 3 3 3
1 2 2 2 1 1 1 2 2 2 3 3 3 2 2 2 3 3 3 1 1 1 2 2 2 3 3 3 1 1 1 2 2 2 3 3 3 1 1 1
1 2 2 2 1 1 1 2 2 2 3 3 3 3 3 3 1 1 1 2 2 2 3 3 3 1 1 1 2 2 2 3 3 3 1 1 1 2 2 2
1 2 2 2 2 2 2 3 3 3 1 1 1 1 1 1 2 2 2 3 3 3 2 2 2 3 3 3 1 1 1 3 3 3 1 1 1 2 2 2
1 2 2 2 2 2 2 3 3 3 1 1 1 2 2 2 3 3 3 1 1 1 3 3 3 1 1 1 2 2 2 1 1 1 2 2 2 3 3 3
1 2 2 2 2 2 2 3 3 3 1 1 1 3 3 3 1 1 1 2 2 2 1 1 1 2 2 2 3 3 3 2 2 2 3 3 3 1 1 1
1 2 2 2 3 3 3 1 1 1 2 2 2 1 1 1 2 2 2 3 3 3 3 3 3 1 1 1 2 2 2 2 2 2 3 3 3 1 1 1
1 2 2 2 3 3 3 1 1 1 2 2 2 2 2 2 3 3 3 1 1 1 1 1 1 2 2 2 3 3 3 3 3 3 1 1 1 2 2 2
1 2 2 2 3 3 3 1 1 1 2 2 2 3 3 3 1 1 1 2 2 2 2 2 2 3 3 3 1 1 1 1 1 1 2 2 2 3 3 3
1 3 3 3 1 1 1 3 3 3 2 2 2 1 1 1 3 3 3 2 2 2 1 1 1 3 3 3 2 2 2 1 1 1 3 3 3 2 2 2
1 3 3 3 1 1 1 3 3 3 2 2 2 2 2 2 1 1 1 3 3 3 2 2 2 1 1 1 3 3 3 2 2 2 1 1 1 3 3 3
1 3 3 3 1 1 1 3 3 3 2 2 2 3 3 3 2 2 2 1 1 1 3 3 3 2 2 2 1 1 1 3 3 3 2 2 2 1 1 1
1 3 3 3 2 2 2 1 1 1 3 3 3 1 1 1 3 3 3 2 2 2 2 2 2 1 1 1 3 3 3 3 3 3 2 2 2 1 1 1
1 3 3 3 2 2 2 1 1 1 3 3 3 2 2 2 1 1 1 3 3 3 3 3 3 2 2 2 1 1 1 1 1 1 3 3 3 2 2 2
1 3 3 3 2 2 2 1 1 1 3 3 3 3 3 3 2 2 2 1 1 1 1 1 1 3 3 3 2 2 2 2 2 2 1 1 1 3 3 3
1 3 3 3 3 3 3 2 2 2 1 1 1 1 1 1 3 3 3 2 2 2 3 3 3 2 2 2 1 1 1 2 2 2 1 1 1 3 3 3
1 3 3 3 3 3 3 2 2 2 1 1 1 2 2 2 1 1 1 3 3 3 1 1 1 3 3 3 2 2 2 3 3 3 2 2 2 1 1 1
1 3 3 3 3 3 3 2 2 2 1 1 1 3 3 3 2 2 2 1 1 1 2 2 2 1 1 1 3 3 3 1 1 1 3 3 3 2 2 2
2 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
2 1 2 3 1 2 3 1 2 3 1 2 3 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1
2 1 2 3 1 2 3 1 2 3 1 2 3 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2
2 1 2 3 2 3 1 2 3 1 2 3 1 1 2 3 1 2 3 1 2 3 2 3 1 2 3 1 2 3 1 3 1 2 3 1 2 3 1 2
2 1 2 3 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 3 1 2 3 1 2 3 1 2 1 2 3 1 2 3 1 2 3
2 1 2 3 2 3 1 2 3 1 2 3 1 3 1 2 3 1 2 3 1 2 1 2 3 1 2 3 1 2 3 2 3 1 2 3 1 2 3 1
2 1 2 3 3 1 2 3 1 2 3 1 2 1 2 3 1 2 3 1 2 3 3 1 2 3 1 2 3 1 2 2 3 1 2 3 1 2 3 1
2 1 2 3 3 1 2 3 1 2 3 1 2 2 3 1 2 3 1 2 3 1 1 2 3 1 2 3 1 2 3 3 1 2 3 1 2 3 1 2
2 1 2 3 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 2 3 1 2 3 1 2 3 1 1 2 3 1 2 3 1 2 3
2 2 3 1 1 2 3 2 3 1 3 1 2 1 2 3 2 3 1 3 1 2 1 2 3 2 3 1 3 1 2 1 2 3 2 3 1 3 1 2
2 2 3 1 1 2 3 2 3 1 3 1 2 2 3 1 3 1 2 1 2 3 2 3 1 3 1 2 1 2 3 2 3 1 3 1 2 1 2 3
2 2 3 1 1 2 3 2 3 1 3 1 2 3 1 2 1 2 3 2 3 1 3 1 2 1 2 3 2 3 1 3 1 2 1 2 3 2 3 1
2 2 3 1 2 3 1 3 1 2 1 2 3 1 2 3 2 3 1 3 1 2 2 3 1 3 1 2 1 2 3 3 1 2 1 2 3 2 3 1
2 2 3 1 2 3 1 3 1 2 1 2 3 2 3 1 3 1 2 1 2 3 3 1 2 1 2 3 2 3 1 1 2 3 2 3 1 3 1 2
2 2 3 1 2 3 1 3 1 2 1 2 3 3 1 2 1 2 3 2 3 1 1 2 3 2 3 1 3 1 2 2 3 1 3 1 2 1 2 3
2 2 3 1 3 1 2 1 2 3 2 3 1 1 2 3 2 3 1 3 1 2 3 1 2 1 2 3 2 3 1 2 3 1 3 1 2 1 2 3
2 2 3 1 3 1 2 1 2 3 2 3 1 2 3 1 3 1 2 1 2 3 1 2 3 2 3 1 3 1 2 3 1 2 1 2 3 2 3 1
2 2 3 1 3 1 2 1 2 3 2 3 1 3 1 2 1 2 3 2 3 1 2 3 1 3 1 2 1 2 3 1 2 3 2 3 1 3 1 2
2 3 1 2 1 2 3 3 1 2 2 3 1 1 2 3 3 1 2 2 3 1 1 2 3 3 1 2 2 3 1 1 2 3 3 1 2 2 3 1
2 3 1 2 1 2 3 3 1 2 2 3 1 2 3 1 1 2 3 3 1 2 2 3 1 1 2 3 3 1 2 2 3 1 1 2 3 3 1 2
2 3 1 2 1 2 3 3 1 2 2 3 1 3 1 2 2 3 1 1 2 3 3 1 2 2 3 1 1 2 3 3 1 2 2 3 1 1 2 3
2 3 1 2 2 3 1 1 2 3 3 1 2 1 2 3 3 1 2 2 3 1 2 3 1 1 2 3 3 1 2 3 1 2 2 3 1 1 2 3
2 3 1 2 2 3 1 1 2 3 3 1 2 2 3 1 1 2 3 3 1 2 3 1 2 2 3 1 1 2 3 1 2 3 3 1 2 2 3 1
2 3 1 2 2 3 1 1 2 3 3 1 2 3 1 2 2 3 1 1 2 3 1 2 3 3 1 2 2 3 1 2 3 1 1 2 3 3 1 2
2 3 1 2 3 1 2 2 3 1 1 2 3 1 2 3 3 1 2 2 3 1 3 1 2 2 3 1 1 2 3 2 3 1 1 2 3 3 1 2
2 3 1 2 3 1 2 2 3 1 1 2 3 2 3 1 1 2 3 3 1 2 1 2 3 3 1 2 2 3 1 3 1 2 2 3 1 1 2 3
2 3 1 2 3 1 2 2 3 1 1 2 3 3 1 2 2 3 1 1 2 3 2 3 1 1 2 3 3 1 2 1 2 3 3 1 2 2 3 1
3 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2
3 1 3 2 1 3 2 1 3 2 1 3 2 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3
3 1 3 2 1 3 2 1 3 2 1 3 2 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1
3 1 3 2 2 1 3 2 1 3 2 1 3 1 3 2 1 3 2 1 3 2 2 1 3 2 1 3 2 1 3 3 2 1 3 2 1 3 2 1
3 1 3 2 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 3 2 1 3 2 1 3 2 1 1 3 2 1 3 2 1 3 2
3 1 3 2 2 1 3 2 1 3 2 1 3 3 2 1 3 2 1 3 2 1 1 3 2 1 3 2 1 3 2 2 1 3 2 1 3 2 1 3
3 1 3 2 3 2 1 3 2 1 3 2 1 1 3 2 1 3 2 1 3 2 3 2 1 3 2 1 3 2 1 2 1 3 2 1 3 2 1 3
3 1 3 2 3 2 1 3 2 1 3 2 1 2 1 3 2 1 3 2 1 3 1 3 2 1 3 2 1 3 2 3 2 1 3 2 1 3 2 1
3 1 3 2 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 3 2 1 2 1 3 2 1 3 2 1 3 1 3 2 1 3 2 1 3 2
3 2 1 3 1 3 2 2 1 3 3 2 1 1 3 2 2 1 3 3 2 1 1 3 2 2 1 3 3 2 1 1 3 2 2 1 3 3 2 1
3 2 1 3 1 3 2 2 1 3 3 2 1 2 1 3 3 2 1 1 3 2 2 1 3 3 2 1 1 3 2 2 1 3 3 2 1 1 3 2
3 2 1 3 1 3 2 2 1 3 3 2 1 3 2 1 1 3 2 2 1 3 3 2 1 1 3 2 2 1 3 3 2 1 1 3 2 2 1 3
3 2 1 3 2 1 3 3 2 1 1 3 2 1 3 2 2 1 3 3 2 1 2 1 3 3 2 1 1 3 2 3 2 1 1 3 2 2 1 3
3 2 1 3 2 1 3 3 2 1 1 3 2 2 1 3 3 2 1 1 3 2 3 2 1 1 3 2 2 1 3 1 3 2 2 1 3 3 2 1
3 2 1 3 2 1 3 3 2 1 1 3 2 3 2 1 1 3 2 2 1 3 1 3 2 2 1 3 3 2 1 2 1 3 3 2 1 1 3 2
3 2 1 3 3 2 1 1 3 2 2 1 3 1 3 2 2 1 3 3 2 1 3 2 1 1 3 2 2 1 3 2 1 3 3 2 1 1 3 2
3 2 1 3 3 2 1 1 3 2 2 1 3 2 1 3 3 2 1 1 3 2 1 3 2 2 1 3 3 2 1 3 2 1 1 3 2 2 1 3
3 2 1 3 3 2 1 1 3 2 2 1 3 3 2 1 1 3 2 2 1 3 2 1 3 3 2 1 1 3 2 1 3 2 2 1 3 3 2 1
3 3 2 1 1 3 2 3 2 1 2 1 3 1 3 2 3 2 1 2 1 3 1 3 2 3 2 1 2 1 3 1 3 2 3 2 1 2 1 3
3 3 2 1 1 3 2 3 2 1 2 1 3 2 1 3 1 3 2 3 2 1 2 1 3 1 3 2 3 2 1 2 1 3 1 3 2 3 2 1
3 3 2 1 1 3 2 3 2 1 2 1 3 3 2 1 2 1 3 1 3 2 3 2 1 2 1 3 1 3 2 3 2 1 2 1 3 1 3 2
3 3 2 1 2 1 3 1 3 2 3 2 1 1 3 2 3 2 1 2 1 3 2 1 3 1 3 2 3 2 1 3 2 1 2 1 3 1 3 2
3 3 2 1 2 1 3 1 3 2 3 2 1 2 1 3 1 3 2 3 2 1 3 2 1 2 1 3 1 3 2 1 3 2 3 2 1 2 1 3
3 3 2 1 2 1 3 1 3 2 3 2 1 3 2 1 2 1 3 1 3 2 1 3 2 3 2 1 2 1 3 2 1 3 1 3 2 3 2 1
3 3 2 1 3 2 1 2 1 3 1 3 2 1 3 2 3 2 1 2 1 3 3 2 1 2 1 3 1 3 2 2 1 3 1 3 2 3 2 1
3 3 2 1 3 2 1 2 1 3 1 3 2 2 1 3 1 3 2 3 2 1 1 3 2 3 2 1 2 1 3 3 2 1 2 1 3 1 3 2
3 3 2 1 3 2 1 2 1 3 1 3 2 3 2 1 2 1 3 1 3 2 2 1 3 1 3 2 3 2 1 1 3 2 3 2 1 2 1 3
