PROJECT--STANDARD RESISTORS
         5 YEARS OF DATA (1980 TO 1985)
         FOR RESISTOR XXX
CONTACT--RON DZIUBA (521, MET B144)
SAMPLE SIZE = 1000
 7 13 82    27.9782
 7 14 82    27.9753
 7 14 82    27.9792
 7 15 82    27.9704
 7 15 82    27.9794
 7 16 82    27.9814
 7 19 82    27.9794
 7 26 82    27.9795
 7 28 82    27.9881
 7 28 82    27.9772
 8  3 82    27.9796
 8  3 82    27.9736
 8  4 82    27.9772
 8  4 82    27.9960
 8  6 82    27.9795
 8  9 82    27.9779
 8 11 82    27.9829
 8 12 82    27.9829
 8 13 82    27.9815
 8 16 82    27.9811
 8 16 82    27.9773
 8 17 82    27.9778
 8 17 82    27.9724
 8 18 82    27.9756
 8 18 82    27.9699
 8 19 82    27.9724
 8 20 82    27.9666
 8 23 82    27.9666
 8 24 82    27.9739
 8 25 82    27.9684
 8 26 82    27.9861
 8 27 82    27.9901
 8 31 82    27.9879
 9  1 82    27.9865
 9  2 82    27.9876
 9  3 82    27.9814
 9  6 82    27.9842
 9  7 82    27.9868
 9  8 82    27.9834
 9  9 82    27.9892
 9 10 82    27.9864
 9 10 82    27.9843
 9 13 82    27.9838
 9 14 82    27.9847
 9 15 82    27.9860
 9 15 82    27.9872
 9 15 82    27.9869
 9 16 82    27.9602
 9 16 82    27.9852
 9 15 82    27.9860
 9 20 82    27.9836
 9 21 82    27.9813
 9 22 82    27.9623
 9 23 82    27.9843
 9 28 82    27.9802
 9 30 82    27.9863
10  1 82    27.9813
10  4 82    27.9881
10  6 82    27.9850
10  7 82    27.9850
10  8 82    27.9830
10  8 82    27.9866
10 12 82    27.9888
10 13 82    27.9841
10 14 82    27.9863
10 15 82    27.9903
10 18 82    27.9961
10 21 82    27.9905
10 25 82    27.9945
10 27 82    27.9878
10 29 82    27.9929
10 26 82    27.9914
11  1 82    27.9914
11  4 82    27.9997
11  4 82    28.0006
11  5 82    27.9999
11 12 82    28.0004
11 14 82    28.0020
11 15 82    28.0029
11 16 82    28.0008
11 18 82    28.0040
11 20 82    28.0078
11 22 82    28.0065
11 27 82    27.9959
11 29 82    28.0073
11 29 82    28.0017
11 30 82    28.0042
12  1 82    28.0036
12  3 82    28.0055
12  6 82    28.0007
12  7 82    28.0066
12  8 82    28.0011
12 10 82    27.9960
12 13 82    28.0083
12 14 82    27.9978
12 15 82    28.0108
12 17 82    28.0088
12 20 82    28.0088
12 22 82    28.0139
12 23 82    28.0092
12 27 82    28.0092
12 29 82    28.0049
12 30 82    28.0111
 1  3 83    28.0120
 1  4 83    28.0093
 1  5 83    28.0116
 1  6 83    28.0102
 1  7 83    28.0139
 1 10 83    28.0113
 1 11 83    28.0158
 1 11 83    28.0156
 1 12 83    28.0137
 1 14 83    28.0236
 1 13 83    28.0171
 1 13 83    28.0224
 1 17 83    28.0184
 1 17 83    28.0199
 1 18 83    28.0190
 1 18 83    28.0204
 1 19 83    28.0170
 1 20 83    28.0183
 1 24 83    28.0201
 1 25 83    28.0182
 1 26 83    28.0183
 2  3 83    28.0175
 2  7 83    28.0127
 2  8 83    28.0211
 2  9 83    28.0057
 2 10 83    28.0180
 2 15 83    28.0183
 2 24 83    28.0149
 2 25 83    28.0185
 2 25 83    28.0182
 2 25 83    28.0192
 2 28 83    28.0213
 3  3 83    28.0216
 3  4 83    28.0169
 3  9 83    28.0162
 3 10 83    28.0167
 3 11 83    28.0167
 3  9 83    28.0169
 3  3 83    28.0169
 3  2 83    28.0161
 3  2 83    28.0152
 3 14 83    28.0179
 3 17 83    28.0215
 3 18 83    28.0194
 3 21 83    28.0115
 3 21 83    28.0174
 3 23 83    28.0178
 3 28 83    28.0202
 3 29 83    28.0240
 3 31 83    28.0198
 4  1 83    28.0194
 4  4 83    28.0171
 4  6 83    28.0134
 4  8 83    28.0121
 4 11 83    28.0121
 4 12 83    28.0141
 4 13 83    28.0101
 4 15 83    28.0114
 4 18 83    28.0122
 4 20 83    28.0124
 4 22 83    28.0171
 4 25 83    28.0165
 4 27 83    28.0166
 4 28 83    28.0159
 4 28 83    28.0181
 4 29 83    28.0200
 5  2 83    28.0116
 5  2 83    28.0144
 5  3 83    28.0141
 5  4 83    28.0116
 5  6 83    28.0107
 5  9 83    28.0169
 5  9 83    28.0105
 5 10 83    28.0136
 5 10 83    28.0138
 5 11 83    28.0114
 5 13 83    28.0122
 5 16 83    28.0122
 5 19 83    28.0116
 5 25 83    28.0025
 5 26 83    28.0097
 5 27 83    28.0066
 5 31 83    28.0072
 6  1 83    28.0066
 6  2 83    28.0068
 6  2 83    28.0067
 6  3 83    28.0130
 6  6 83    28.0091
 6  7 83    28.0088
 6  8 83    28.0091
 6 16 83    28.0091
 6 13 83    28.0115
 6 17 83    28.0087
 6 20 83    28.0128
 6 21 83    28.0139
 6 24 83    28.0095
 6 27 83    28.0115
 7  6 83    28.0101
 7  7 83    28.0121
 7  8 83    28.0114
 7 11 83    28.0121
 7 12 83    28.0122
 7 20 83    28.0121
 7 23 83    28.0168
 7 25 83    28.0212
 7 26 83    28.0219
 7 27 83    28.0221
 7 28 83    28.0204
 7 29 83    28.0169
 8  1 83    28.0141
 8  3 83    28.0142
 8  5 83    28.0147
 8  8 83    28.0159
 8 10 83    28.0165
 8 11 83    28.0144
 8 12 83    28.0182
 8 16 83    28.0155
 8 16 83    28.0155
 8 18 83    28.0192
 8 19 83    28.0204
 8 18 83    28.0185
 8 17 83    28.0248
 8 17 83    28.0185
 8 25 83    28.0226
 8 26 83    28.0271
 8 27 83    28.0290
 8 28 83    28.0240
 8 29 83    28.0302
 8 31 83    28.0243
 9  2 83    28.0288
 9  3 83    28.0287
 9  5 83    28.0301
 9  6 83    28.0273
 9  7 83    28.0313
 9  7 83    28.0293
 9  8 83    28.0300
 9  9 83    28.0344
 9 11 83    28.0308
 9 12 83    28.0291
 9 14 83    28.0287
 9 16 83    28.0358
 9 19 83    28.0309
 9 20 83    28.0286
 9 21 83    28.0308
 9 22 83    28.0291
 9 23 83    28.0380
 9 26 83    28.0411
 9 26 83    28.0420
 9 27 83    28.0359
 9 27 83    28.0368
 9 28 83    28.0327
 9 29 83    28.0361
 9 29 83    28.0334
 9 30 83    28.0300
 9 30 83    28.0347
10  3 83    28.0359
10  3 83    28.0344
10  3 83    28.0370
10  4 83    28.0355
10  5 83    28.0371
10  5 83    28.0318
10  7 83    28.0390
10  7 83    28.0390
10  7 83    28.0390
10  7 83    28.0376
10 11 83    28.0376
10 12 83    28.0377
10 13 83    28.0345
10 13 83    28.0333
10 14 83    28.0429
10 17 83    28.0379
10 18 83    28.0401
10 18 83    28.0401
10 19 83    28.0423
10 20 83    28.0393
10 21 83    28.0382
10 23 83    28.0424
10 24 83    28.0386
10 25 83    28.0386
10 26 83    28.0373
10 27 83    28.0397
10 27 83    28.0412
10 28 83    28.0565
10 28 83    28.0419
10 29 83    28.0456
10 30 83    28.0426
10 31 83    28.0423
11  1 83    28.0391
11  2 83    28.0403
11  3 83    28.0388
11  3 83    28.0408
11  4 83    28.0457
11  8 83    28.0455
11  9 83    28.0460
11 10 83    28.0456
11 12 83    28.0464
11 14 83    28.0442
11 15 83    28.0416
11 16 83    28.0451
11 17 83    28.0432
11 17 83    28.0434
11 17 83    28.0448
11 18 83    28.0448
11 18 83    28.0373
11 19 83    28.0429
11 20 83    28.0392
11 21 83    28.0469
11 21 83    28.0443
11 22 83    28.0356
11 22 83    28.0474
11 23 83    28.0446
11 23 83    28.0348
11 25 83    28.0368
11 27 83    28.0418
11 28 83    28.0445
11 29 83    28.0533
11 30 83    28.0439
11 30 83    28.0474
12  1 83    28.0435
12  5 83    28.0419
12  8 83    28.0538
12  8 83    28.0538
12  9 83    28.0463
12 12 83    28.0491
12 16 83    28.0441
12 19 83    28.0411
 1  4 84    28.0507
 1  5 84    28.0459
 1  6 84    28.0519
 1  9 84    28.0554
 1 10 84    28.0512
 1 11 84    28.0507
 1 12 84    28.0582
 1 13 84    28.0471
 1 16 84    28.0539
 1 16 84    28.0530
 1 17 84    28.0502
 1 19 84    28.0422
 1 23 84    28.0431
 1 24 84    28.0395
 1 25 84    28.0177
 1 25 84    28.0425
 1 26 84    28.0484
 1 27 84    28.0693
 1 28 84    28.0490
 1 30 84    28.0453
 1 30 84    28.0494
 1 31 84    28.0522
 2  3 84    28.0393
 2 10 84    28.0443
 2 13 84    28.0465
 2 14 84    28.0450
 2 15 84    28.0539
 3  3 84    28.0566
 3  1 84    28.0585
 2 29 84    28.0486
 3  5 84    28.0427
 3  6 84    28.0548
 3  7 84    28.0616
 3  8 84    28.0298
 3  9 84    28.0726
 3 12 84    28.0695
 3 16 84    28.0629
 3 18 84    28.0503
 3 19 84    28.0493
 3 23 84    28.0537
 3 25 84    28.0613
 3 26 84    28.0643
 3 27 84    28.0678
 3 27 84    28.0564
 3 28 84    28.0703
 3 29 84    28.0647
 3 29 84    28.0579
 3 29 84    28.0630
 4  5 84    28.0716
 4  6 84    28.0586
 4  7 84    28.0607
 4  9 84    28.0601
 4  9 84    28.0611
 4 10 84    28.0606
 4 10 84    28.0611
 4 11 84    28.0066
 4 12 84    28.0412
 4 12 84    28.0558
 4 13 84    28.0590
 4 16 84    28.0750
 4 25 84    28.0483
 4 26 84    28.0599
 4 27 84    28.0490
 4 27 84    28.0499
 4 28 84    28.0565
 4 30 84    28.0612
 4 30 84    28.0634
 4 14 84    28.0627
 5  1 84    28.0519
 5  1 84    28.0551
 5  2 84    28.0696
 5  3 84    28.0581
 5  4 84    28.0568
 5  8 84    28.0572
 5  9 84    28.0529
 5 10 84    28.0421
 5 16 84    28.0432
 5 17 84    28.0211
 5 16 84    28.0363
 5 18 84    28.0436
 5 21 84    28.0619
 5 22 84    28.0573
 5 22 84    28.0499
 5 23 84    28.0340
 6  5 84    28.0474
 6  5 84    28.0534
 6  6 84    28.0589
 6  7 84    28.0466
 6 12 84    28.0448
 6 12 84    28.0576
 6 13 84    28.0558
 6 13 84    28.0522
 6 14 84    28.0480
 6 18 84    28.0444
 6 20 84    28.0429
 6 20 84    28.0624
 6 20 84    28.0610
 6 21 84    28.0461
 6 26 84    28.0564
 6 26 84    28.0734
 6 27 84    28.0565
 6 29 84    28.0503
 7  2 84    28.0581
 7  5 84    28.0519
 7  5 84    28.0625
 7  6 84    28.0583
 7  6 84    28.0645
 7  9 84    28.0642
 7  9 84    28.0535
 7 10 84    28.0510
 7 10 84    28.0542
 7 11 84    28.0677
 7 11 84    28.0416
 7 12 84    28.0676
 7 13 84    28.0596
 7 16 84    28.0635
 7 19 84    28.0558
 7 20 84    28.0623
 7 23 84    28.0718
 7 24 84    28.0585
 7 24 84    28.0552
 7 25 84    28.0684
 8  3 84    28.0646
 8  3 84    28.0590
 8  4 84    28.0465
 8  6 84    28.0594
 8  7 84    28.0303
 8  8 84    28.0533
 8  8 84    28.0561
 8  8 84    28.0585
 8  9 84    28.0497
 8  9 84    28.0582
 8 10 84    28.0507
 8 10 84    28.0562
 8 11 84    28.0715
 8 13 84    28.0468
 8 15 84    28.0411
 8 16 84    28.0587
 8 20 84    28.0456
 8 22 84    28.0705
 8 23 84    28.0534
 8 24 84    28.0558
 8 27 84    28.0536
 8 28 84    28.0552
 8 30 84    28.0461
 8 31 84    28.0598
 8 31 84    28.0598
 9  4 84    28.0650
 9  4 84    28.0423
 9  5 84    28.0442
 9  6 84    28.0449
 9  7 84    28.0660
 9  7 84    28.0506
 9 10 84    28.0655
 9 10 84    28.0512
 9 11 84    28.0407
 9 11 84    28.0475
 9 12 84    28.0411
 9 14 84    28.0512
 9 17 84    28.1036
 9 17 84    28.0641
 9 18 84    28.0572
 9 19 84    28.0700
 9 20 84    28.0577
 9 21 84    28.0637
 9 21 84    28.0534
 9 24 84    28.0461
 9 24 84    28.0701
 9 25 84    28.0631
 9 25 84    28.0575
 9 28 84    28.0444
10  1 84    28.0592
10  1 84    28.0684
10  3 84    28.0593
10  2 84    28.0677
10  9 84    28.0512
10 10 84    28.0644
10 11 84    28.0660
10 17 84    28.0542
10 18 84    28.0768
10 19 84    28.0515
10 22 84    28.0579
10 22 84    28.0538
10 23 84    28.0526
10 26 84    28.0833
10 26 84    28.0637
10 30 84    28.0529
10 30 84    28.0535
10 31 84    28.0561
11  1 84    28.0736
11  7 84    28.0635
11  8 84    28.0600
11  9 84    28.0520
11 13 84    28.0695
11 20 84    28.0608
11 20 84    28.0608
11 20 84    28.0590
11 21 84    28.0290
11 26 84    28.0939
11 27 84    28.0618
12  6 84    28.0551
12  6 84    28.0757
12  7 84    28.0698
12 10 84    28.0717
12 11 84    28.0529
12 11 84    28.0644
12 12 84    28.0613
12 12 84    28.0759
12 12 84    28.0745
12 13 84    28.0736
12 14 84    28.0611
12 17 84    28.0732
12 18 84    28.0782
12 19 84    28.0682
12 20 84    28.0756
12 21 84    28.0857
12 24 84    28.0739
12 26 84    28.0840
12 28 84    28.0862
12 31 84    28.0724
 1  2 85    28.0727
 1  4 85    28.0752
 1  7 85    28.0732
 1  8 85    28.0703
 1  9 85    28.0849
 1  9 85    28.0795
 1 11 85    28.0902
 1 14 85    28.0874
 1 15 85    28.0971
 1 22 85    28.0638
 1 23 85    28.0877
 1 25 85    28.0751
 2 15 85    28.0904
 2 18 85    28.0971
 2 19 85    28.0661
 2 19 85    28.0711
 2 20 85    28.0754
 2 21 85    28.0516
 2 22 85    28.0961
 2 25 85    28.0689
 2 27 85    28.1110
 2 28 85    28.1062
 3  4 85    28.0726
 3  6 85    28.1141
 3  7 85    28.0913
 3  8 85    28.0982
 3 11 85    28.0703
 3 13 85    28.0654
 3 14 85    28.0760
 3 15 85    28.0727
 3 18 85    28.0850
 3 18 85    28.0877
 3 19 85    28.0967
 3 20 85    28.1185
 3 20 85    28.0945
 3 21 85    28.0834
 3 21 85    28.0764
 3 22 85    28.1129
 3 25 85    28.0797
 3 28 85    28.0707
 3 28 85    28.1008
 3 29 85    28.0971
 4  1 85    28.0826
 4  3 85    28.0857
 4  5 85    28.0984
 4  9 85    28.0869
 4 11 85    28.0795
 4 12 85    28.0875
 4 16 85    28.1184
 4 17 85    28.0746
 4 18 85    28.0816
 4 18 85    28.0879
 4 19 85    28.0888
 4 19 85    28.0924
 4 22 85    28.0979
 4 24 85    28.0702
 4 29 85    28.0847
 4 30 85    28.0917
 4 30 85    28.0834
 5  2 85    28.0823
 5  2 85    28.0917
 5  3 85    28.0779
 5  3 85    28.0852
 5  6 85    28.0863
 5  8 85    28.0942
 5  8 85    28.0801
 5  8 85    28.0817
 5  8 85    28.0922
 5  9 85    28.0914
 5  9 85    28.0868
 5  9 85    28.0832
 5 13 85    28.0881
 5 14 85    28.0910
 5 15 85    28.0886
 5 16 85    28.0961
 5 16 85    28.0857
 5 17 85    28.0859
 5 22 85    28.1086
 5 23 85    28.0838
 5 28 85    28.0921
 5 29 85    28.0945
05 31 85  28.0839
06 03 85  28.0877
06 05 85  28.0803
06 07 85  28.0928
06 10 85  28.0885
06 13 85  28.0940
06 14 85  28.0856
06 17 85  28.0849
06 17 85  28.0955
06 18 85  28.0955
06 20 85  28.0846
06 19 85  28.0871
06 20 85  28.0872
06 24 85  28.0917
06 25 85  28.0931
06 26 85  28.0865
06 27 85  28.0900
06 28 85  28.0915
07 01 85  28.0963
07 02 85  28.0917
07 03 85  28.0950
07 08 85  28.0898
07 08 85  28.0902
07 09 85  28.0867
07 10 85  28.0843
07 10 85  28.0939
07 11 85  28.0902
07 12 85  28.0911
07 23 85  28.0909
07 24 85  28.0949
07 25 85  28.0867
07 26 85  28.0932
07 31 85  28.0891
08 01 85  28.0932
08 02 85  28.0887
08 05 85  28.0925
08 06 85  28.0928
08 08 85  28.0883
08 09 85  28.0946
08 09 85  28.0977
08 09 85  28.0914
08 12 85  28.0959
08 13 85  28.0926
08 14 85  28.0923
08 15 85  28.0950
08 15 85  28.1006
08 16 85  28.0924
08 16 85  28.0963
08 19 85  28.0893
08 19 85  28.0956
08 20 85  28.0980
08 21 85  28.0928
08 12 85  28.0951
08 26 85  28.0958
08 27 85  28.0912
08 27 85  28.0990
08 28 85  28.0915
08 28 85  28.0957
08 29 85  28.0976
08 29 85  28.0888
08 30 85  28.0928
09 03 85  28.0910
09 04 85  28.0902
09 04 85  28.0950
09 05 85  28.0995
09 06 85  28.0965
09 06 85  28.0972
09 10 85  28.0963
09 09 85  28.0946
09 11 85  28.0942
09 13 85  28.0998
09 16 85  28.0911
09 17 85  28.1043
09 18 85  28.1002
09 20 85  28.0991
09 23 85  28.0959
09 23 85  28.0996
09 24 85  28.0926
09 24 85  28.1002
09 25 85  28.0961
09 25 85  28.0983
09 26 85  28.0997
09 27 85  28.0959
09 30 85  28.0988
09 30 85  28.1029
10 01 85  28.0989
10 02 85  28.1000
10 04 85  28.0944
10 07 85  28.0979
10 10 85  28.1005
10 11 85  28.1012
10 16 85  28.1013
10 16 85  28.0999
10 17 85  28.0991
10 18 85  28.1059
10 21 85  28.0961
10 22 85  28.0981
10 23 85  28.1045
10 24 85  28.1047
10 25 85  28.1042
10 28 85  28.1146
10 29 85  28.1113
10 29 85  28.1051
10 30 85  28.1065
10 30 85  28.1065
10 31 85  28.0985
10 31 85  28.1000
10 31 85  28.1066
11 01 85  28.1041
11 01 85  28.0954
11 02 85  28.1090
