This is data file    OAKLEY.DAT
SRM 3202--magnetic tapes, Mark Williamson
Number of observations = 158
Order of Variables on a Line Image--
   1. Observation ID (1 to 158)
   2. Response Variable #1 = Amplitude
   3. Response Variable #2 = Typical Value???
   4. Response Variable #3 = Res Value   ???
   5. Response Variable #4 = Ovr Value
   6. Factor 1 = Tape (4 levels--45, 47, 49, and 58)
 57 -99.000   -99.000     0.262  -99.000  49   4  28    1  15  91
 58 -99.000   -99.000     0.259  -99.000  49   4  28    1  15  91
 59 -99.000   -99.000     0.259  -99.000  49   4  28    1  15  91
 60 -99.000   -99.000     0.257  -99.000  49   4  28    1  15  91
 61 -99.000   -99.000     0.252  -99.000  49   4  28    1  15  90
 62   2.997   113.879   -99.000  -99.000  49   4  31    1  18  91
 63 -99.000   -99.000     0.250  -99.000  49   4  31    1  18  91
 64 -99.000   -99.000     0.250  -99.000  49   4  31    1  18  91
 65 -99.000   -99.000     0.252  -99.000  49   4  31    1  18  91
 66 -99.000   -99.000     0.259  -99.000  49   4  31    1  18  91
 67   2.992   113.763   -99.000  -99.000  49   4  31    1  18  91
 68 -99.000   -99.000     0.253  -99.000  49   4  31    1  18  91
 69 -99.000   -99.000     0.250  -99.000  49   4  31    1  18  91
 70 -99.000   -99.000     0.255  -99.000  49   4  31    1  18  91
 71 -99.000   -99.000     0.254  -99.000  49   4  31    1  18  91
 72 -99.000   -99.000     0.263  -99.000  49   4  31    1  18  91
 73   2.986   114.243   -99.000  -99.000  49   4  31    1  18  91
 74 -99.000   -99.000     0.253  -99.000  49   4  31    1  18  91
 75   3.030   113.658   -99.000  -99.000  49   4  31    1  18  91
 76   3.008   112.923   -99.000  -99.000  49   4  31    1  18  91
 77   2.992   112.606   -99.000  -99.000  49   4  31    1  18  91
 78   2.956   113.842   -99.000  -99.000  49   4  31    1  18  91
 79   3.004   114.027   -99.000  -99.000  49   4  31    1  18  91
 80   3.001   112.752   -99.000  -99.000  49   4  31    1  18  91
 81   2.998   113.239   -99.000  -99.000  49   4  31    1  18  91
 82   2.981   114.315   -99.000  -99.000  49   4  31    1  18  91
 83   3.009   113.531   -99.000  -99.000  49   4  31    1  18  90
 84   3.015   113.905   -99.000  -99.000  45   4 113    4  10  91
 85   3.004   114.286   -99.000  -99.000  45   4 113    4  10  91
 86   2.895   113.901   -99.000  -99.000  49   0 113    4  10  91
 87   2.941   113.237   -99.000  -99.000  49   4 113    4  10  91
 88   2.920   114.056   -99.000  -99.000  49   4 113    4  10  91
 89   2.770   113.928   -99.000  -99.000  58   4 113    4  10  91
 90   2.798   113.870   -99.000  -99.000  58   4 114    4  11  91
 91   2.804   113.564   -99.000  -99.000  58   4 114    4  11  91
 92   2.807   113.334   -99.000  -99.000  58   4 114    4  11  91
 93   2.805   113.410   -99.000  -99.000  58   4 114    4  11  91
 94   2.792   113.927   -99.000  -99.000  58   4 114    4  11  91
 95   2.953   112.632   -99.000  -99.000  58   4 115    4  12  91
 96   2.886   114.195   -99.000  -99.000  58   4 115    4  12  91
 97   2.868   112.962   -99.000  -99.000  58   4 115    4  12  91
 98   2.887   112.863   -99.000  -99.000  58   4 115    4  12  91
 99 -99.000   114.151   -99.000  -99.000  47   3 119    4  16  91
100 -99.000   113.134   -99.000  -99.000  47   3 119    4  16  91
101 -99.000   112.565   -99.000  -99.000  47   3 119    4  16  91
102 -99.000   113.664   -99.000  -99.000  47   3 120    4  17  91
103   2.931   113.221   -99.000  -99.000  58   4 121    4  18  91
104   2.913   112.855   -99.000  -99.000  58   4 121    4  18  91
105 -99.000   112.326   -99.000  -99.000  47   4 121    4  18  91
106   3.096   114.866   -99.000  -99.000  45   4 121    4  18  91
107   3.159   112.671   -99.000  -99.000  45   4 121    4  18  91
108   3.136   112.331   -99.000  -99.000  45   4 121    4  18  91
109   2.897   112.297   -99.000  -99.000  58   4 121    4  18  91
110   2.969   113.226   -99.000  -99.000  58   4 121    4  18  91
111 -99.000   114.262   -99.000  -99.000  47   4 122    4  19  91
112 -99.000   -99.000     0.257  -99.000  47   4 122    4  19  91
113 -99.000   -99.000   -99.000    0.082  47   4 122    4  19  91
114 -99.000   -99.000     0.257  -99.000  47   4 122    4  19  91
115 -99.000   -99.000   -99.000    0.080  47   4 122    4  19  91
116   3.166   112.296   -99.000  -99.000  47   4 125    4  22  91
117   2.957   111.675   -99.000  -99.000  58   4 126    4  23  91
118   2.970   112.092   -99.000  -99.000  58   4 126    4  23  91
119   2.979   113.180   -99.000  -99.000  45   4 132    4  29  91
120   2.864   111.670   -99.000  -99.000  58   4 133    4  30  91
121   2.985   114.794   -99.000  -99.000  45   4 133    4  30  91
122   2.974   112.927   -99.000  -99.000  58   4 134    5   1  91
123   3.153   112.991   -99.000  -99.000  45   4 134    5   1  91
124   2.895   112.853   -99.000  -99.000  58   4 135    5   2  91
125   2.910   112.868   -99.000  -99.000  58   4 135    5   2  91
126   2.937   113.211   -99.000  -99.000  58   4 136    5   3  91
127   2.873   112.299   -99.000  -99.000  58   4 136    5   3  91
128   2.834   112.231   -99.000  -99.000  58   4 139    5   6  91
129   2.973   112.172   -99.000  -99.000  47   4 139    5   6  91
130 -99.000   113.417   -99.000  -99.000  47   4 139    5   6  91
131   2.818   112.780   -99.000  -99.000  58   4 139    5   6  91
132   2.814   112.001   -99.000  -99.000  58   4 139    5   6  91
133   2.931   112.455   -99.000  -99.000  58   4 140    5   7  91
134   3.114   112.230   -99.000  -99.000  58   4 140    5   7  91
135   2.906   112.681   -99.000  -99.000  58   4 360   12  13  91
136   3.146   114.436   -99.000  -99.000  45   4 360   12  13  91
137   2.908   112.338   -99.000  -99.000  58   4 360   12  13  91
138   3.127   116.479   -99.000  -99.000  45   4 360   12  13  91
139   2.858   112.298   -99.000  -99.000  58   4 360   12  13  91
140   2.915   112.492   -99.000  -99.000  58   4 363   12  16  91
141   3.068   115.744   -99.000  -99.000  45   4 364   12  17  91
142   2.891   111.932   -99.000  -99.000  58   4 364   12  17  91
143   2.963   115.006   -99.000  -99.000  45   4 364   12  17  91
144   2.920   111.098   -99.000  -99.000  58   4 364   12  17  91
145   2.913   111.869   -99.000  -99.000  58   4 365   12  18  91
146   2.928   112.070   -99.000  -99.000  58   4 365   12  18  91
147   2.958   112.053   -99.000  -99.000  58   4 365   12  18  91
148   2.972   111.800   -99.000  -99.000  58   4 366   12  19  91
149   2.892   112.411   -99.000  -99.000  58   4 366   12  19  91
150   2.920   111.688   -99.000  -99.000  58   4 384    1   6  93
151   2.920   110.854   -99.000  -99.000  58   4 384    1   6  93
152   2.956   111.600   -99.000  -99.000  58   4 384    1   6  93
153   2.997   111.942   -99.000  -99.000  58   4 385    1   7  93
154   3.003   110.476   -99.000  -99.000  58   4 385    1   7  93
155   3.149   114.405   -99.000  -99.000  45   4 385    1   7  93
156   2.974   111.597   -99.000  -99.000  58   4 385    1   7  93
157   3.155   111.158   -99.000  -99.000  45   4 385    1   7  93
158   3.027   110.198   -99.000  -99.000  58   4 386    1   8  93
