This is Dataplot data file    DZIUBA.DAT
NIST Standard Resistor Data 
(5 years of data (1980 to 1985) for a particular resistor )
Ron Dziuba (NIST)
Date--July 1986
Number of observations             = 1000
27.947001   -0.013393    2     1    82 
27.972000    0.011120    2     3    82 
27.961000   -0.000374    2     5    82 
27.943701   -0.018162    2     8    82 
27.966000    0.003670    2    16    82 
27.958000   -0.004808    2    17    82 
27.966000    0.002741    2    18    82 
27.969999    0.006313    2    19    82 
27.959999   -0.004122    2    22    82 
27.966000    0.001442    2    26    82 
27.976999    0.012035    3     2    82 
27.910999   -0.054388    3     4    82 
27.969000    0.003220    3     8    82 
27.969799    0.003597    3    10    82 
27.961599   -0.004978    3    17    82 
27.937099   -0.029879    3    18    82 
27.969999    0.002649    3    10    82 
27.926500   -0.041225    3    19    82 
27.996401    0.028297    3    22    82 
27.984200    0.015736    3    24    82 
27.966700   -0.002136    3    24    82 
27.961000   -0.008202    3    25    82 
27.994301    0.024740    3    26    82 
27.961599   -0.008303    3    26    82 
27.939699   -0.030539    3    29    82 
27.979900    0.009325    4     6    82 
28.008600    0.037699    4    13    82 
27.970900   -0.000328    4    13    82 
27.974100    0.002556    4    14    82 
27.967501   -0.004356    4    16    82 
27.982599    0.010439    4    19    82 
27.967600   -0.004868    4    21    82 
27.970301   -0.002455    4    23    82 
27.978901    0.005857    4    28    82 
27.978600    0.005278    4    30    82 
27.972200   -0.001400    5     4    82 
27.983101    0.009214    5     7    82 
28.004299    0.030146    5    11    82 
27.954800   -0.019632    5    13    82 
27.987499    0.012821    5    13    82 
27.949499   -0.025454    5    17    82 
27.954901   -0.020287    5    19    82 
27.946899   -0.028538    5    25    82 
27.974400   -0.001289    5    26    82 
27.974400   -0.001509    5    27    82 
27.944901   -0.031225    6     1    82 
27.983700    0.007355    6     1    82 
27.958500   -0.018051    6     3    82 
28.009600    0.032850    6     7    82 
27.976200   -0.000732    6    14    82 
27.964100   -0.013012    6    15    82 
27.985399    0.008118    6    16    82 
27.987700    0.010250    6    16    82 
27.983900    0.006279    6    17    82 
27.981701    0.003933    6    18    82 
27.984501    0.006594    6    22    82 
27.987700    0.009657    6    23    82 
27.988001    0.009825    6    23    82 
27.982201    0.003893    6    24    82 
27.983601    0.005177    6    25    82 
28.003000    0.024469    6    28    82 
27.967800   -0.010845    6    30    82 
28.014601    0.035847    7     2    82 
27.994499    0.015638    7     6    82 
27.980499    0.001537    7     6    82 
27.978500   -0.000551    7     8    82 
27.979099   -0.000057    7     9    82 
27.981701    0.002455    7    12    82 
27.980499    0.001160    7    13    82 
27.978199   -0.001236    7    13    82 
27.975300   -0.004211    7    14    82 
27.979200   -0.000395    7    14    82 
27.970400   -0.009277    7    15    82 
27.979401   -0.000341    7    15    82 
27.981400    0.001566    7    16    82 
27.979401   -0.000502    7    19    82 
27.979500   -0.000477    7    26    82 
27.988100    0.008053    7    28    82 
27.977200   -0.002939    7    28    82 
27.979599   -0.000582    8     3    82 
27.973600   -0.006672    8     3    82 
27.977200   -0.003138    8     4    82 
27.996000    0.015575    8     4    82 
27.979500   -0.000988    8     6    82 
27.977900   -0.002655    8     9    82 
27.982901    0.002268    8    11    82 
27.982901    0.002180    8    12    82 
27.981501    0.000708    8    13    82 
27.981100    0.000229    8    16    82 
27.977301   -0.003635    8    16    82 
27.977800   -0.003223    8    17    82 
27.972401   -0.008703    8    17    82 
27.975599   -0.005594    8    18    82 
27.969900   -0.011393    8    18    82 
27.972401   -0.008986    8    19    82 
27.966600   -0.014883    8    20    82 
27.966600   -0.014997    8    23    82 
27.973900   -0.007795    8    24    82 
27.968399   -0.013424    8    25    82 
27.986099    0.004133    8    26    82 
27.990101    0.007990    8    27    82 
27.987900    0.005638    8    31    82 
27.986500    0.004072    9     1    82 
27.987600    0.005005    9     2    82 
27.981400   -0.001381    9     3    82 
27.984200    0.001215    9     6    82 
27.986799    0.003590    9     7    82 
27.983400   -0.000027    9     8    82 
27.989201    0.005543    9     9    82 
27.986401    0.002499    9    10    82 
27.984301    0.000139    9    10    82 
27.983801   -0.000616    9    13    82 
27.984699    0.000000    9    14    82 
27.986000    0.001007    9    15    82 
27.987200    0.001925    9    15    82 
27.986900    0.001303    9    15    82 
27.960199   -0.025702    9    16    82 
27.985199   -0.001020    9    16    82 
27.986000   -0.000563    9    15    82 
27.983601   -0.003298    9    20    82 
27.981300   -0.005953    9    21    82 
27.962299   -0.025303    9    22    82 
27.984301   -0.003662    9    23    82 
27.980200   -0.008125    9    28    82 
27.986300   -0.002417    9    30    82 
27.981300   -0.007795   10     1    82 
27.988100   -0.001385   10     4    82 
27.985001   -0.004873   10     6    82 
27.985001   -0.005276   10     7    82 
27.983000   -0.007677   10     8    82 
27.986599   -0.004457   10     8    82 
27.988800   -0.002691   10    12    82 
27.984100   -0.007792   10    13    82 
27.986300   -0.006010   10    14    82 
27.990299   -0.002424   10    15    82 
27.996099    0.002970   10    18    82 
27.990499   -0.003054   10    21    82 
27.994499    0.000528   10    25    82 
27.987801   -0.006601   10    27    82 
27.992901   -0.001930   10    29    82 
27.991400   -0.003866   10    26    82 
27.991400   -0.004303   11     1    82 
27.999701    0.003572   11     4    82 
28.000601    0.004015   11     4    82 
27.999901    0.002872   11     5    82 
28.000401    0.002907   11    12    82 
28.002001    0.004040   11    14    82 
28.002899    0.004475   11    15    82 
28.000799    0.001886   11    16    82 
28.004000    0.004604   11    18    82 
28.007799    0.007910   11    20    82 
28.006500    0.006102   11    22    82 
27.995899   -0.004992   11    27    82 
28.007299    0.005899   11    29    82 
28.001699   -0.000202   11    29    82 
28.004200    0.001808   11    30    82 
28.003599    0.000702   12     1    82 
28.005501    0.002115   12     3    82 
28.000700   -0.003185   12     6    82 
28.006599    0.002207   12     7    82 
28.001101   -0.003757   12     8    82 
27.996000   -0.009348   12    10    82 
28.008301    0.002493   12    13    82 
27.997801   -0.008482   12    14    82 
28.010799    0.004061   12    15    82 
28.008801    0.001625   12    17    82 
28.008801    0.001196   12    20    82 
28.013901    0.005869   12    22    82 
28.009199    0.000757   12    23    82 
28.009199    0.000349   12    27    82 
28.004900   -0.004347   12    29    82 
28.011101    0.001482   12    30    82 
28.011999    0.002018    1     3    83 
28.009300   -0.001030    1     4    83 
28.011600    0.000927    1     5    83 
28.010201   -0.000807    1     6    83 
28.013901    0.002571    1     7    83 
28.011299   -0.000349    1    10    83 
28.015800    0.003847    1    11    83 
28.015600    0.003368    1    11    83 
28.013700    0.001184    1    12    83 
28.023600    0.010807    1    14    83 
28.017099    0.004047    1    13    83 
28.022400    0.009100    1    13    83 
28.018400    0.004856    1    17    83 
28.019899    0.006126    1    17    83 
28.018999    0.005003    1    18    83 
28.020399    0.006193    1    18    83 
28.017000    0.002583    1    19    83 
28.018299    0.003693    1    20    83 
28.020100    0.005314    1    24    83 
28.018200    0.003241    1    25    83 
28.018299    0.003168    1    26    83 
28.017500    0.002211    2     3    83 
28.012699   -0.002737    2     7    83 
28.021099    0.005516    2     8    83 
28.005699   -0.010012    2     9    83 
28.018000    0.002171    2    10    83 
28.018299    0.002367    2    15    83 
28.014900   -0.001137    2    24    83 
28.018499    0.002373    2    25    83 
28.018200    0.001986    2    25    83 
28.019199    0.002920    2    25    83 
28.021299    0.004965    2    28    83 
28.021601    0.005219    3     3    83 
28.016899    0.000486    3     4    83 
28.016199   -0.000242    3     9    83 
28.016701    0.000250    3    10    83 
28.016701    0.000248    3    11    83 
28.016899    0.000456    3     9    83 
28.016899    0.000479    3     3    83 
28.016100   -0.000290    3     2    83 
28.015200   -0.001141    3     2    83 
28.017900    0.001600    3    14    83 
28.021500    0.005262    3    17    83 
28.019400    0.003241    3    18    83 
28.011499   -0.004599    3    21    83 
28.017401    0.001394    3    21    83 
28.017799    0.001886    3    23    83 
28.020201    0.004400    3    28    83 
28.024000    0.008312    3    29    83 
28.019800    0.004223    3    31    83 
28.019400    0.003925    4     1    83 
28.017099    0.001749    4     4    83 
28.013399   -0.001827    4     6    83 
28.012100   -0.003006    4     8    83 
28.012100   -0.002886    4    11    83 
28.014099   -0.000757    4    12    83 
28.010099   -0.004629    4    13    83 
28.011400   -0.003208    4    15    83 
28.012199   -0.002277    4    18    83 
28.012400   -0.001963    4    20    83 
28.017099    0.002857    4    22    83 
28.016500    0.002361    4    25    83 
28.016600    0.002560    4    27    83 
28.015900    0.001978    4    28    83 
28.018101    0.004272    4    28    83 
28.020000    0.006264    4    29    83 
28.011600   -0.002047    5     2    83 
28.014400    0.000834    5     2    83 
28.014099    0.000603    5     3    83 
28.011600   -0.001814    5     4    83 
28.010700   -0.002649    5     6    83 
28.016899    0.003599    5     9    83 
28.010500   -0.002748    5     9    83 
28.013599    0.000402    5    10    83 
28.013800    0.000639    5    10    83 
28.011400   -0.001719    5    11    83 
28.012199   -0.000895    5    13    83 
28.012199   -0.000893    5    16    83 
28.011600   -0.001459    5    19    83 
28.002501   -0.010559    5    25    83 
28.009701   -0.003363    5    26    83 
28.006599   -0.006487    5    27    83 
28.007200   -0.005905    5    31    83 
28.006599   -0.006546    6     1    83 
28.006800   -0.006390    6     2    83 
28.006701   -0.006542    6     2    83 
28.013000   -0.000309    6     3    83 
28.009100   -0.004288    6     6    83 
28.008801   -0.004681    6     7    83 
28.009100   -0.004484    6     8    83 
28.009100   -0.004599    6    16    83 
28.011499   -0.002333    6    13    83 
28.008699   -0.005259    6    17    83 
28.012800   -0.001318    6    20    83 
28.013901   -0.000370    6    21    83 
28.009501   -0.004959    6    24    83 
28.011499   -0.003134    6    27    83 
28.010099   -0.004736    7     6    83 
28.012100   -0.002949    7     7    83 
28.011400   -0.003872    7     8    83 
28.012100   -0.003418    7    11    83 
28.012199   -0.003542    7    12    83 
28.012100   -0.003908    7    20    83 
28.016800    0.000517    7    23    83 
28.021200    0.004642    7    25    83 
28.021900    0.005051    7    26    83 
28.022100    0.004950    7    27    83 
28.020399    0.002924    7    28    83 
28.016899   -0.000900    7    29    83 
28.014099   -0.004028    8     1    83 
28.014200   -0.004288    8     3    83 
28.014700   -0.004135    8     5    83 
28.015900   -0.003309    8     8    83 
28.016500   -0.003075    8    10    83 
28.014400   -0.005548    8    11    83 
28.018200   -0.002140    8    12    83 
28.015499   -0.005226    8    16    83 
28.015499   -0.005619    8    16    83 
28.019199   -0.002327    8    18    83 
28.020399   -0.001507    8    19    83 
28.018499   -0.003815    8    18    83 
28.024799    0.002085    8    17    83 
28.018499   -0.004604    8    17    83 
28.022600   -0.000906    8    25    83 
28.027100    0.003204    8    26    83 
28.028999    0.004696    8    27    83 
28.024000   -0.000690    8    28    83 
28.030199    0.005106    8    29    83 
28.024300   -0.001186    8    31    83 
28.028799    0.002928    9     2    83 
28.028700    0.002432    9     3    83 
28.030100    0.003460    9     5    83 
28.027300    0.000265    9     6    83 
28.031300    0.003885    9     7    83 
28.029301    0.001520    9     7    83 
28.030001    0.001844    9     8    83 
28.034401    0.005865    9     9    83 
28.030800    0.001898    9    11    83 
28.029100   -0.000170    9    12    83 
28.028700   -0.000933    9    14    83 
28.035801    0.005798    9    16    83 
28.030899    0.000551    9    19    83 
28.028601   -0.002094    9    20    83 
28.030800   -0.000252    9    21    83 
28.029100   -0.002298    9    22    83 
28.038000    0.006256    9    23    83 
28.041100    0.009016    9    26    83 
28.042000    0.009581    9    26    83 
28.035900    0.003147    9    27    83 
28.036800    0.003721    9    27    83 
28.032700   -0.000704    9    28    83 
28.036100    0.002390    9    29    83 
28.033400   -0.000633    9    29    83 
28.030001   -0.004339    9    30    83 
28.034700    0.000057    9    30    83 
28.035900    0.000959   10     3    83 
28.034401   -0.000832   10     3    83 
28.037001    0.001492   10     3    83 
28.035500   -0.000292   10     4    83 
28.037100    0.001051   10     5    83 
28.031799   -0.004511   10     5    83 
28.039000    0.002445   10     7    83 
28.039000    0.002184   10     7    83 
28.039000    0.001959   10     7    83 
28.037600    0.000320   10     7    83 
28.037600    0.000095   10    11    83 
28.037701   -0.000017   10    12    83 
28.034500   -0.003426   10    13    83 
28.033300   -0.004826   10    13    83 
28.042900    0.004568   10    14    83 
28.037901   -0.000616   10    17    83 
28.040100    0.001383   10    18    83 
28.040100    0.001202   10    18    83 
28.042299    0.003223   10    19    83 
28.039301    0.000042   10    20    83 
28.038200   -0.001232   10    21    83 
28.042400    0.002798   10    23    83 
28.038601   -0.001181   10    24    83 
28.038601   -0.001328   10    25    83 
28.037300   -0.002792   10    26    83 
28.039700   -0.000549   10    27    83 
28.041201    0.000772   10    27    83 
28.056499    0.015919   10    28    83 
28.041901    0.001165   10    28    83 
28.045601    0.004707   10    29    83 
28.042601    0.001535   10    30    83 
28.042299    0.001085   10    31    83 
28.039101   -0.002270   11     1    83 
28.040300   -0.001242   11     2    83 
28.038799   -0.002909   11     3    83 
28.040800   -0.001062   11     3    83 
28.045700    0.003664   11     4    83 
28.045500    0.003283   11     8    83 
28.046000    0.003622   11     9    83 
28.045601    0.003065   11    10    83 
28.046400    0.003689   11    12    83 
28.044201    0.001314   11    14    83 
28.041599   -0.001450   11    15    83 
28.045099    0.001883   11    16    83 
28.043200   -0.000175   11    17    83 
28.043400   -0.000137   11    17    83 
28.044800    0.001116   11    17    83 
28.044800    0.000952   11    18    83 
28.037300   -0.006702   11    18    83 
28.042900   -0.001253   11    19    83 
28.039200   -0.005093   11    20    83 
28.046900    0.002459   11    21    83 
28.044300   -0.000277   11    21    83 
28.035601   -0.009108   11    22    83 
28.047400    0.002550   11    22    83 
28.044600   -0.000364   11    23    83 
28.034800   -0.010305   11    23    83 
28.036800   -0.008440   11    25    83 
28.041800   -0.003565   11    27    83 
28.044500   -0.000984   11    28    83 
28.053301    0.007685   11    29    83 
28.043900   -0.001839   11    30    83 
28.047400    0.001541   11    30    83 
28.043501   -0.002502   12     1    83 
28.041901   -0.004225   12     5    83 
28.053801    0.007542   12     8    83 
28.053801    0.007391   12     8    83 
28.046301   -0.000242   12     9    83 
28.049101    0.002405   12    12    83 
28.044100   -0.002758   12    16    83 
28.041100   -0.005919   12    19    83 
28.050699    0.003510    1     4    84 
28.045900   -0.001459    1     5    84 
28.051901    0.004370    1     6    84 
28.055401    0.007675    1     9    84 
28.051201    0.003275    1    10    84 
28.050699    0.002556    1    11    84 
28.058201    0.009853    1    12    84 
28.047100   -0.001459    1    13    84 
28.053900    0.005116    1    16    84 
28.052999    0.003988    1    16    84 
28.050200    0.000952    1    17    84 
28.042200   -0.007286    1    19    84 
28.043100   -0.006618    1    23    84 
28.039499   -0.010466    1    24    84 
28.017700   -0.032497    1    25    84 
28.042500   -0.007944    1    25    84 
28.048401   -0.002281    1    26    84 
28.069300    0.018389    1    27    84 
28.049000   -0.002153    1    28    84 
28.045300   -0.006067    1    30    84 
28.049400   -0.002190    1    30    84 
28.052200    0.000387    1    31    84 
28.039301   -0.012724    2     3    84 
28.044300   -0.007936    2    10    84 
28.046499   -0.005920    2    13    84 
28.045000   -0.007607    2    14    84 
28.053900    0.001104    2    15    84 
28.056601    0.003616    3     3    84 
28.058500    0.005350    3     1    84 
28.048599   -0.004715    2    29    84 
28.042700   -0.010778    3     5    84 
28.054800    0.001184    3     6    84 
28.061600    0.007839    3     7    84 
28.029800   -0.024107    3     8    84 
28.072599    0.018568    3     9    84 
28.069500    0.015339    3    12    84 
28.062901    0.008615    3    16    84 
28.050301   -0.004108    3    18    84 
28.049299   -0.005232    3    19    84 
28.053699   -0.000925    3    23    84 
28.061300    0.006556    3    25    84 
28.064301    0.009470    3    26    84 
28.067801    0.012871    3    27    84 
28.056400    0.001377    3    27    84 
28.070299    0.015188    3    28    84 
28.064699    0.009510    3    29    84 
28.057899    0.002638    3    29    84 
28.063000    0.007666    3    29    84 
28.071600    0.016207    4     5    84 
28.058599    0.003141    4     6    84 
28.060699    0.005190    4     7    84 
28.060101    0.004528    4     9    84 
28.061100    0.005493    4     9    84 
28.060600    0.004950    4    10    84 
28.061100    0.005411    4    10    84 
28.006599   -0.049120    4    11    84 
28.041201   -0.014532    4    12    84 
28.055799    0.000050    4    12    84 
28.059000    0.003252    4    13    84 
28.075001    0.019239    4    16    84 
28.048300   -0.007463    4    25    84 
28.059900    0.004143    4    26    84 
28.049000   -0.006735    4    27    84 
28.049900   -0.005814    4    27    84 
28.056499    0.000799    4    28    84 
28.061199    0.005529    4    30    84 
28.063400    0.007753    4    30    84 
28.062700    0.007103    4    14    84 
28.051901   -0.003672    5     1    84 
28.055099   -0.000423    5     1    84 
28.069599    0.014126    5     2    84 
28.058100    0.002666    5     3    84 
28.056801    0.001410    5     4    84 
28.057199    0.001873    5     8    84 
28.052900   -0.002407    5     9    84 
28.042101   -0.013151    5    10    84 
28.043200   -0.012012    5    16    84 
28.021099   -0.034086    5    17    84 
28.036301   -0.018848    5    16    84 
28.043600   -0.011511    5    18    84 
28.061899    0.006798    5    21    84 
28.057301    0.002234    5    22    84 
28.049900   -0.005159    5    22    84 
28.034000   -0.021063    5    23    84 
28.047400   -0.007643    6     5    84 
28.053400   -0.001635    6     5    84 
28.058901    0.003862    6     6    84 
28.046600   -0.008450    6     7    84 
28.044800   -0.010248    6    12    84 
28.057600    0.002529    6    12    84 
28.055799    0.000713    6    13    84 
28.052200   -0.002888    6    13    84 
28.048000   -0.007114    6    14    84 
28.044399   -0.010738    6    18    84 
28.042900   -0.012255    6    20    84 
28.062401    0.007208    6    20    84 
28.061001    0.005779    6    20    84 
28.046101   -0.009136    6    21    84 
28.056400    0.001123    6    26    84 
28.073400    0.018105    6    26    84 
28.056499    0.001162    6    27    84 
28.050301   -0.005058    6    29    84 
28.058100    0.002695    7     2    84 
28.051901   -0.003544    7     5    84 
28.062500    0.007034    7     5    84 
28.058300    0.002804    7     6    84 
28.064501    0.008972    7     6    84 
28.064199    0.008623    7     9    84 
28.053499   -0.002110    7     9    84 
28.051001   -0.004639    7    10    84 
28.054199   -0.001482    7    10    84 
28.067699    0.011992    7    11    84 
28.041599   -0.014154    7    11    84 
28.067600    0.011793    7    12    84 
28.059601    0.003771    7    13    84 
28.063499    0.007610    7    16    84 
28.055799   -0.000109    7    19    84 
28.062300    0.006346    7    20    84 
28.071800    0.015839    7    23    84 
28.058500    0.002483    7    24    84 
28.055201   -0.000845    7    24    84 
28.068399    0.012325    7    25    84 
28.064600    0.008493    8     3    84 
28.059000    0.002871    8     3    84 
28.046499   -0.009655    8     4    84 
28.059401    0.003241    8     6    84 
28.030300   -0.025904    8     7    84 
28.053301   -0.002932    8     8    84 
28.056101   -0.000149    8     8    84 
28.058500    0.002232    8     8    84 
28.049700   -0.006592    8     9    84 
28.058201    0.001884    8     9    84 
28.050699   -0.005640    8    10    84 
28.056200   -0.000170    8    10    84 
28.071501    0.015112    8    11    84 
28.046801   -0.009604    8    13    84 
28.041100   -0.015339    8    15    84 
28.058701    0.002237    8    16    84 
28.045601   -0.010866    8    20    84 
28.070499    0.013994    8    22    84 
28.053400   -0.003122    8    23    84 
28.055799   -0.000759    8    24    84 
28.053600   -0.002974    8    27    84 
28.055201   -0.001375    8    28    84 
28.046101   -0.010502    8    30    84 
28.059799    0.003180    8    31    84 
28.059799    0.003151    8    31    84 
28.065001    0.008318    9     4    84 
28.042299   -0.014402    9     4    84 
28.044201   -0.012527    9     5    84 
28.044901   -0.011879    9     6    84 
28.066000    0.009199    9     7    84 
28.050600   -0.006248    9     7    84 
28.065500    0.008608    9    10    84 
28.051201   -0.005739    9    10    84 
28.040701   -0.016289    9    11    84 
28.047501   -0.009546    9    11    84 
28.041100   -0.016012    9    12    84 
28.051201   -0.005985    9    14    84 
28.103600    0.046328    9    17    84 
28.064100    0.006742    9    17    84 
28.057199   -0.000229    9    18    84 
28.070000    0.012461    9    19    84 
28.057699    0.000029    9    20    84 
28.063700    0.005934    9    21    84 
28.053400   -0.004511    9    21    84 
28.046101   -0.011951    9    24    84 
28.070101    0.011906    9    24    84 
28.063101    0.004742    9    25    84 
28.057501   -0.001022    9    25    84 
28.044399   -0.014309    9    28    84 
28.059200    0.000298   10     1    84 
28.068399    0.009298   10     1    84 
28.059299   -0.000011   10     3    84 
28.067699    0.008173   10     2    84 
28.051201   -0.008558   10     9    84 
28.064400    0.004396   10    10    84 
28.066000    0.005747   10    11    84 
28.054199   -0.006302   10    17    84 
28.076799    0.016027   10    18    84 
28.051500   -0.009541   10    19    84 
28.057899   -0.003426   10    22    84 
28.053801   -0.007814   10    22    84 
28.052601   -0.009302   10    23    84 
28.083300    0.021090   10    26    84 
28.063700    0.001194   10    26    84 
28.052900   -0.009918   10    30    84 
28.053499   -0.009642   10    30    84 
28.056101   -0.007374   10    31    84 
28.073601    0.009800   11     1    84 
28.063499   -0.000643   11     7    84 
28.059999   -0.004477   11     8    84 
