This is Dataplot data file     LIU.DAT
Error in 5-bit DAC (Digital-to-Analog Converter)
Hung-Kung Liu and Gene Huang (NIST)
HELP (High-Dimensional Empirical Linear Prediction)
Response variable      = error in 5-bit DAC process
Number of observations = 2**5 settings x 88 devices = 2816
Number of variables per line image =  8
Order of variables on a line image--
   1. Response variable Y = conversion error in 5-bit DAC
   2. Factor 1 = bit 1 (0 = off and 1 = on)
   3. Factor 2 = bit 2 (0 = off and 1 = on)
   4. Factor 3 = bit 3 (0 = off and 1 = on)
   5. Factor 4 = bit 4 (0 = off and 1 = on)
   6. Factor 5 = bit 5 (0 = off and 1 = on)
   7. Factor 6 = derived joint setting from X1 to X5 (1 to 32)
   8. Factor 7 = device (1 to 88)
To read this file into dataplot--
   SKIP 25
   READ LIU.DAT Y X1 X2 X3 X4 X5 SETTING DEVICE
 
 
 
   DAC      Bit  Bit  Bit  Bit  Bit  Setting     Device
 0.207018    0    0    0    0    1     23          2
 0.137388    0    0    0    0    0     24          2
 0.286669    0    1    1    1    1     25          2
 0.209221    0    1    1    1    0     26          2
 0.249047    0    1    1    0    1     27          2
 0.167690    0    1    1    0    0     28          2
 0.207516    0    0    0    1    1     29          2
 0.118340    0    0    0    1    0     30          2
 0.208985    0    0    0    0    1     31          2
 0.111991    0    0    0    0    0     32          2
 0.349407    1    1    1    1    1      1          3
 0.252251    1    1    1    1    0      2          3
 0.284073    1    1    1    0    1      3          3
 0.233818    1    1    1    0    0      4          3
 0.308633    1    0    0    1    1      5          3
 0.223202    1    0    0    1    0      6          3
 0.286291    1    0    0    0    1      7          3
 0.204769    1    0    0    0    0      8          3
 0.357752    1    1    1    1    1      9          3
 0.268413    1    1    1    1    0     10          3
 0.327594    1    1    1    0    1     11          3
 0.265614    1    1    1    0    0     12          3
 0.316978    1    0    0    1    1     13          3
 0.247181    1    0    0    1    0     14          3
 0.298545    1    0    0    0    1     15          3
 0.201389    1    0    0    0    0     16          3
 0.491166    0    1    1    1    1     17          3
 0.401827    0    1    1    1    0     18          3
 0.441466    0    1    1    0    1     19          3
 0.344310    0    1    1    0    0     20          3
 0.411308    0    0    0    1    1     21          3
 0.349328    0    0    0    1    0     22          3
 0.428051    0    0    0    0    1     23          3
 0.311353    0    0    0    0    0     24          3
 0.487786    0    1    1    1    1     25          3
 0.394539    0    1    1    1    0     26          3
 0.465445    0    1    1    0    1     27          3
 0.368289    0    1    1    0    0     28          3
 0.439195    0    0    0    1    1     29          3
 0.353764    0    0    0    1    0     30          3
 0.405128    0    0    0    0    1     31          3
 0.331423    0    0    0    0    0     32          3
 0.299013    1    1    1    1    1      1          4
 0.190366    1    1    1    1    0      2          4
 0.273282    1    1    1    0    1      3          4
 0.156816    1    1    1    0    0      4          4
 0.220185    1    0    0    1    1      5          4
 0.099810    1    0    0    1    0      6          4
 0.202274    1    0    0    0    1      7          4
 0.077989    1    0    0    0    0      8          4
 0.239094    1    1    1    1    1      9          4
 0.118719    1    1    1    1    0     10          4
 0.217273    1    1    1    0    1     11          4
 0.104717    1    1    1    0    0     12          4
 0.179814    1    0    0    1    1     13          4
 0.078987    1    0    0    1    0     14          4
 0.126718    1    0    0    0    1     15          4
 0.049347    1    0    0    0    0     16          4
 0.316007    0    1    1    1    1     17          4
 0.238635    0    1    1    1    0     18          4
 0.298095    0    1    1    0    1     19          4
 0.197267    0    1    1    0    0     20          4
 0.229361    0    0    0    1    1     21          4
 0.167627    0    0    0    1    0     22          4
 0.215358    0    0    0    0    1     23          4
 0.118440    0    0    0    0    0     24          4
 0.310821    0    1    1    1    1     25          4
 0.194355    0    1    1    1    0     26          4
 0.245996    0    1    1    0    1     27          4
 0.133439    0    1    1    0    0     28          4
 0.188989    0    0    0    1    1     29          4
 0.131166    0    0    0    1    0     30          4
 0.167168    0    0    0    0    1     31          4
 0.054612    0    0    0    0    0     32          4
 0.293130    1    1    1    1    1      1          5
 0.176609    1    1    1    1    0      2          5
 0.236001    1    1    1    0    1      3          5
 0.135117    1    1    1    0    0      4          5
 0.233602    1    0    0    1    1      5          5
 0.105353    1    0    0    1    0      6          5
 0.180382    1    0    0    0    1      7          5
 0.095134    1    0    0    0    0      8          5
 0.279621    1    1    1    1    1      9          5
 0.147463    1    1    1    1    0     10          5
 0.249857    1    1    1    0    1     11          5
 0.117699    1    1    1    0    0     12          5
 0.212275    1    0    0    1    1     13          5
 0.103572    1    0    0    1    0     14          5
 0.186420    1    0    0    0    1     15          5
 0.112900    1    0    0    0    0     16          5
 0.379480    0    1    1    1    1     17          5
 0.247322    0    1    1    1    0     18          5
 0.334079    0    1    1    0    1     19          5
 0.229285    0    1    1    0    0     20          5
 0.296496    0    0    0    1    1     21          5
 0.191703    0    0    0    1    0     22          5
 0.278460    0    0    0    0    1     23          5
 0.177575    0    0    0    0    0     24          5
 0.358153    0    1    1    1    1     25          5
 0.225995    0    1    1    1    0     26          5
 0.344025    0    1    1    0    1     27          5
 0.180594    0    1    1    0    0     28          5
 0.271260    0    0    0    1    1     29          5
 0.186012    0    0    0    1    0     30          5
 0.241496    0    0    0    0    1     31          5
 0.187522    0    0    0    0    0     32          5
 0.111389    1    1    1    1    1      1          6
 0.005080    1    1    1    1    0      2          6
 0.093901    1    1    1    0    1      3          6
-0.012408    1    1    1    0    0      4          6
 0.025679    1    0    0    1    1      5          6
-0.014286    1    0    0    1    0      6          6
 0.000386    1    0    0    0    1      7          6
-0.082507    1    0    0    0    0      8          6
 0.099975    1    1    1    1    1      9          6
-0.029749    1    1    1    1    0     10          6
 0.012241    1    1    1    0    1     11          6
-0.066750    1    1    1    0    0     12          6
 0.006461    1    0    0    1    1     13          6
-0.095945    1    0    0    1    0     14          6
-0.034443    1    0    0    0    1     15          6
-0.132946    1    0    0    0    0     16          6
 0.111978    0    1    1    1    1     17          6
 0.052500    0    1    1    1    0     18          6
 0.098392    0    1    1    0    1     19          6
 0.003791    0    1    1    0    0     20          6
 0.077002    0    0    0    1    1     21          6
-0.013697    0    0    0    1    0     22          6
 0.036098    0    0    0    0    1     23          6
-0.054600    0    0    0    0    0     24          6
 0.092759    0    1    1    1    1     25          6
-0.025257    0    1    1    1    0     26          6
 0.016732    0    1    1    0    1     27          6
-0.050550    0    1    1    0    0     28          6
 0.026562    0    0    0    1    1     29          6
-0.095357    0    0    0    1    0     30          6
-0.033854    0    0    0    0    1     31          6
-0.128455    0    0    0    0    0     32          6
 0.291564    1    1    1    1    1      1          7
 0.212478    1    1    1    1    0      2          7
 0.254360    1    1    1    0    1      3          7
 0.210393    1    1    1    0    0      4          7
 0.205449    1    0    0    1    1      5          7
 0.216113    1    0    0    1    0      6          7
 0.215070    1    0    0    0    1      7          7
 0.132082    1    0    0    0    0      8          7
 0.287127    1    1    1    1    1      9          7
 0.211943    1    1    1    1    0     10          7
 0.257726    1    1    1    0    1     11          7
 0.178640    1    1    1    0    0     12          7
 0.216620    1    0    0    1    1     13          7
 0.157045    1    0    0    1    0     14          7
 0.245752    1    0    0    0    1     15          7
 0.139351    1    0    0    0    0     16          7
 0.380243    0    1    1    1    1     17          7
 0.285549    0    1    1    1    0     18          7
 0.343039    0    1    1    0    1     19          7
 0.302975    0    1    1    0    0     20          7
 0.329247    0    0    0    1    1     21          7
 0.257966    0    0    0    1    0     22          7
 0.303749    0    0    0    0    1     23          7
 0.228566    0    0    0    0    0     24          7
 0.391415    0    1    1    1    1     25          7
 0.316231    0    1    1    1    0     26          7
 0.338601    0    1    1    0    1     27          7
 0.282928    0    1    1    0    0     28          7
 0.356027    0    0    0    1    1     29          7
 0.269137    0    0    0    1    0     30          7
 0.307116    0    0    0    0    1     31          7
 0.228030    0    0    0    0    0     32          7
 0.289651    1    1    1    1    1      1          8
 0.173031    1    1    1    1    0      2          8
 0.212763    1    1    1    0    1      3          8
 0.166501    1    1    1    0    0      4          8
 0.214049    1    0    0    1    1      5          8
 0.128700    1    0    0    1    0      6          8
 0.207519    1    0    0    0    1      7          8
 0.067447    1    0    0    0    0      8          8
 0.236167    1    1    1    1    1      9          8
 0.158635    1    1    1    1    0     10          8
 0.178822    1    1    1    0    1     11          8
 0.144287    1    1    1    0    0     12          8
 0.148839    1    0    0    1    1     13          8
 0.083034    1    0    0    1    0     14          8
 0.138400    1    0    0    0    1     15          8
 0.017871    1    0    0    0    0     16          8
 0.331216    0    1    1    1    1     17          8
 0.238049    0    1    1    1    0     18          8
 0.277780    0    1    1    0    1     19          8
 0.200248    0    1    1    0    0     20          8
 0.236071    0    0    0    1    1     21          8
 0.158539    0    0    0    1    0     22          8
 0.217814    0    0    0    0    1     23          8
 0.136373    0    0    0    0    0     24          8
 0.269914    0    1    1    1    1     25          8
 0.180656    0    1    1    1    0     26          8
 0.251657    0    1    1    0    1     27          8
 0.170217    0    1    1    0    0     28          8
 0.213857    0    0    0    1    1     29          8
 0.151960    0    0    0    1    0     30          8
 0.176056    0    0    0    0    1     31          8
 0.094615    0    0    0    0    0     32          8
 0.329706    1    1    1    1    1      1          9
 0.207780    1    1    1    1    0      2          9
 0.265373    1    1    1    0    1      3          9
 0.186375    1    1    1    0    0      4          9
 0.232260    1    0    0    1    1      5          9
 0.172776    1    0    0    1    0      6          9
 0.187440    1    0    0    0    1      7          9
 0.127955    1    0    0    0    0      8          9
 0.294819    1    1    1    1    1      9          9
 0.165089    1    1    1    1    0     10          9
 0.222681    1    1    1    0    1     11          9
 0.143684    1    1    1    0    0     12          9
 0.228594    1    0    0    1    1     13          9
 0.137889    1    0    0    1    0     14          9
 0.175968    1    0    0    0    1     15          9
 0.077458    1    0    0    0    0     16          9
 0.369204    0    1    1    1    1     17          9
 0.266791    0    1    1    1    0     18          9
 0.300968    0    1    1    0    1     19          9
 0.233679    0    1    1    0    0     20          9
 0.338102    0    0    0    1    1     21          9
 0.227884    0    0    0    1    0     22          9
 0.277671    0    0    0    0    1     23          9
 0.202576    0    0    0    0    0     24          9
 0.314804    0    1    1    1    1     25          9
 0.247515    0    1    1    1    0     26          9
 0.289497    0    1    1    0    1     27          9
 0.214402    0    1    1    0    0     28          9
 0.256384    0    0    0    1    1     29          9
 0.196900    0    0    0    1    0     30          9
 0.238882    0    0    0    0    1     31          9
 0.155982    0    0    0    0    0     32          9
 0.339607    1    1    1    1    1      1         10
 0.238598    1    1    1    1    0      2         10
 0.293935    1    1    1    0    1      3         10
 0.208561    1    1    1    0    0      4         10
 0.256081    1    0    0    1    1      5         10
 0.155072    1    0    0    1    0      6         10
 0.237769    1    0    0    0    1      7         10
 0.148486    1    0    0    0    0      8         10
 0.281997    1    1    1    1    1      9         10
 0.204440    1    1    1    1    0     10         10
 0.279320    1    1    1    0    1     11         10
 0.170494    1    1    1    0    0     12         10
 0.245374    1    0    0    1    1     13         10
 0.117005    1    0    0    1    0     14         10
 0.187976    1    0    0    0    1     15         10
 0.102602    1    0    0    0    0     16         10
 0.396367    0    1    1    1    1     17         10
 0.326628    0    1    1    1    0     18         10
 0.378056    0    1    1    0    1     19         10
 0.292682    0    1    1    0    0     20         10
 0.367562    0    0    0    1    1     21         10
 0.270462    0    0    0    1    0     22         10
 0.282804    0    0    0    0    1     23         10
 0.259968    0    0    0    0    0     24         10
 0.405204    0    1    1    1    1     25         10
 0.276835    0    1    1    1    0     26         10
 0.363441    0    1    1    0    1     27         10
 0.227254    0    1    1    0    0     28         10
 0.286500    0    0    0    1    1     29         10
 0.244121    0    0    0    1    0     30         10
 0.260372    0    0    0    0    1     31         10
 0.217992    0    0    0    0    0     32         10
 0.295742    1    1    1    1    1      1         11
 0.194820    1    1    1    1    0      2         11
 0.250260    1    1    1    0    1      3         11
 0.164974    1    1    1    0    0      4         11
 0.212596    1    0    0    1    1      5         11
 0.107765    1    0    0    1    0      6         11
 0.202295    1    0    0    0    1      7         11
 0.058374    1    0    0    0    0      8         11
 0.266266    1    1    1    1    1      9         11
 0.137981    1    1    1    1    0     10         11
 0.224693    1    1    1    0    1     11         11
 0.131589    1    1    1    0    0     12         11
 0.187029    1    0    0    1    1     13         11
 0.097834    1    0    0    1    0     14         11
 0.168910    1    0    0    0    1     15         11
 0.083625    1    0    0    0    0     16         11
 0.365788    0    1    1    1    1     17         11
 0.260958    0    1    1    1    0     18         11
 0.289034    0    1    1    0    1     19         11
 0.227203    0    1    1    0    0     20         11
 0.310006    0    0    0    1    1     21         11
 0.220811    0    0    0    1    0     22         11
 0.225433    0    0    0    0    1     23         11
 0.151875    0    0    0    0    0     24         11
 0.320677    0    1    1    1    1     25         11
 0.219755    0    1    1    1    0     26         11
 0.275195    0    1    1    0    1     27         11
 0.201636    0    1    1    0    0     28         11
 0.260985    0    0    0    1    1     29         11
 0.148336    0    0    0    1    0     30         11
 0.238957    0    0    0    0    1     31         11
 0.141944    0    0    0    0    0     32         11
 0.242347    1    1    1    1    1      1         12
 0.147809    1    1    1    1    0      2         12
 0.221094    1    1    1    0    1      3         12
 0.114848    1    1    1    0    0      4         12
 0.184230    1    0    0    1    1      5         12
 0.109206    1    0    0    1    0      6         12
 0.143462    1    0    0    0    1      7         12
 0.025507    1    0    0    0    0      8         12
 0.200267    1    1    1    1    1      9         12
 0.121340    1    1    1    1    0     10         12
 0.163402    1    1    1    0    1     11         12
 0.064961    1    1    1    0    0     12         12
 0.103121    1    0    0    1    1     13         12
 0.032000    1    0    0    1    0     14         12
 0.062353    1    0    0    0    1     15         12
-0.008767    1    0    0    0    0     16         12
 0.333814    0    1    1    1    1     17         12
 0.196345    0    1    1    1    0     18         12
 0.246213    0    1    1    0    1     19         12
 0.151675    0    1    1    0    0     20         12
 0.197640    0    0    0    1    1     21         12
 0.122616    0    0    0    1    0     22         12
 0.199804    0    0    0    0    1     23         12
 0.109169    0    0    0    0    0     24         12
 0.264414    0    1    1    1    1     25         12
 0.162070    0    1    1    1    0     26         12
 0.192424    0    1    1    0    1     27         12
 0.117400    0    1    1    0    0     28         12
 0.190685    0    0    0    1    1     29         12
 0.064924    0    0    0    1    0     30         12
 0.157724    0    0    0    0    1     31         12
 0.078797    0    0    0    0    0     32         12
 0.228134    1    1    1    1    1      1         13
 0.110219    1    1    1    1    0      2         13
 0.191358    1    1    1    0    1      3         13
 0.124182    1    1    1    0    0      4         13
 0.189708    1    0    0    1    1      5         13
 0.083502    1    0    0    1    0      6         13
 0.164641    1    0    0    0    1      7         13
 0.062338    1    0    0    0    0      8         13
 0.209828    1    1    1    1    1      9         13
 0.154361    1    1    1    1    0     10         13
 0.180858    1    1    1    0    1     11         13
 0.129294    1    1    1    0    0     12         13
 0.151887    1    0    0    1    1     13         13
 0.123742    1    0    0    1    0     14         13
 0.177559    1    0    0    0    1     15         13
 0.071353    1    0    0    0    0     16         13
 0.316419    0    1    1    1    1     17         13
 0.237534    0    1    1    1    0     18         13
 0.287449    0    1    1    0    1     19         13
 0.212467    0    1    1    0    0     20         13
 0.227254    0    0    0    1    1     21         13
 0.156175    0    0    0    1    0     22         13
 0.245120    0    0    0    0    1     23         13
 0.158429    0    0    0    0    0     24         13
 0.282501    0    1    1    1    1     25         13
 0.195810    0    1    1    1    0     26         13
 0.245725    0    1    1    0    1     27         13
 0.182452    0    1    1    0    0     28         13
 0.259688    0    0    0    1    1     29         13
 0.145675    0    0    0    1    0     30         13
 0.199493    0    0    0    0    1     31         13
 0.151832    0    0    0    0    0     32         13
 0.079737    1    1    1    1    1      1         14
 0.027814    1    1    1    1    0      2         14
 0.053921    1    1    1    0    1      3         14
-0.033117    1    1    1    0    0      4         14
 0.012499    1    0    0    1    1      5         14
-0.055031    1    0    0    1    0      6         14
-0.009416    1    0    0    0    1      7         14
-0.100355    1    0    0    0    0      8         14
 0.027192    1    1    1    1    1      9         14
-0.036436    1    1    1    1    0     10         14
 0.005277    1    1    1    0    1     11         14
-0.105169    1    1    1    0    0     12         14
-0.043948    1    0    0    1    1     13         14
-0.107576    1    0    0    1    0     14         14
-0.046355    1    0    0    0    1     15         14
-0.141196    1    0    0    0    0     16         14
 0.076087    0    1    1    1    1     17         14
-0.038261    0    1    1    1    0     18         14
 0.058074    0    1    1    0    1     19         14
 0.010052    0    1    1    0    0     20         14
 0.012750    0    0    0    1    1     21         14
-0.058681    0    0    0    1    0     22         14
-0.020869    0    0    0    0    1     23         14
-0.061088    0    0    0    0    0     24         14
 0.046951    0    1    1    1    1     25         14
-0.063495    0    1    1    1    0     26         14
 0.028938    0    1    1    0    1     27         14
-0.058099    0    1    1    0    0     28         14
-0.055401    0    0    0    1    1     29         14
-0.130734    0    0    0    1    0     30         14
-0.046104    0    0    0    0    1     31         14
-0.133141    0    0    0    0    0     32         14
 0.151773    1    1    1    1    1      1         15
 0.041712    1    1    1    1    0      2         15
 0.107297    1    1    1    0    1      3         15
-0.010570    1    1    1    0    0      4         15
 0.066724    1    0    0    1    1      5         15
-0.043336    1    0    0    1    0      6         15
-0.012881    1    0    0    0    1      7         15
-0.103425    1    0    0    0    0      8         15
 0.067547    1    1    1    1    1      9         15
-0.069836    1    1    1    1    0     10         15
 0.030878    1    1    1    0    1     11         15
-0.086989    1    1    1    0    0     12         15
-0.076050    1    0    0    1    1     13         15
-0.127562    1    0    0    1    0     14         15
-0.069783    1    0    0    0    1     15         15
-0.156425    1    0    0    0    0     16         15
 0.127742    0    1    1    1    1     17         15
 0.017681    0    1    1    1    0     18         15
 0.063750    0    1    1    0    1     19         15
-0.050214    0    1    1    0    0     20         15
 0.042693    0    0    0    1    1     21         15
-0.075174    0    0    0    1    0     22         15
-0.029105    0    0    0    0    1     23         15
-0.123553    0    0    0    0    0     24         15
 0.020097    0    1    1    1    1     25         15
-0.093867    0    1    1    1    0     26         15
-0.020476    0    1    1    0    1     27         15
-0.103214    0    1    1    0    0     28         15
-0.064952    0    0    0    1    1     29         15
-0.135980    0    0    0    1    0     30         15
-0.117234    0    0    0    0    1     31         15
-0.199972    0    0    0    0    0     32         15
 0.265537    1    1    1    1    1      1         16
 0.182701    1    1    1    1    0      2         16
 0.236464    1    1    1    0    1      3         16
 0.165337    1    1    1    0    0      4         16
 0.250322    1    0    0    1    1      5         16
 0.167486    1    0    0    1    0      6         16
 0.201735    1    0    0    0    1      7         16
 0.138413    1    0    0    0    0      8         16
 0.281941    1    1    1    1    1      9         16
 0.230328    1    1    1    1    0     10         16
 0.272382    1    1    1    0    1     11         16
 0.166129    1    1    1    0    0     12         16
 0.212087    1    0    0    1    1     13         16
 0.140959    1    0    0    1    0     14         16
 0.206431    1    0    0    0    1     15         16
 0.143109    1    0    0    0    0     16         16
 0.384207    0    1    1    1    1     17         16
 0.309177    0    1    1    1    0     18         16
 0.374648    0    1    1    0    1     19         16
 0.256687    0    1    1    0    0     20         16
 0.365090    0    0    0    1    1     21         16
 0.301768    0    0    0    1    0     22         16
 0.316502    0    0    0    0    1     23         16
 0.257083    0    0    0    0    0     24         16
 0.392806    0    1    1    1    1     25         16
 0.309970    0    1    1    1    0     26         16
 0.359830    0    1    1    0    1     27         16
 0.280897    0    1    1    0    0     28         16
 0.358077    0    0    0    1    1     29         16
 0.263532    0    0    0    1    0     30         16
 0.329004    0    0    0    0    1     31         16
 0.250071    0    0    0    0    0     32         16
 0.237146    1    1    1    1    1      1         17
 0.138668    1    1    1    1    0      2         17
 0.180686    1    1    1    0    1      3         17
 0.117332    1    1    1    0    0      4         17
 0.190573    1    0    0    1    1      5         17
 0.088192    1    0    0    1    0      6         17
 0.126308    1    0    0    0    1      7         17
 0.047343    1    0    0    0    0      8         17
 0.159610    1    1    1    1    1      9         17
 0.111867    1    1    1    1    0     10         17
 0.173399    1    1    1    0    1     11         17
 0.035894    1    1    1    0    0     12         17
 0.113037    1    0    0    1    1     13         17
-0.001052    1    0    0    1    0     14         17
 0.052675    1    0    0    0    1     15         17
 0.016640    1    0    0    0    0     16         17
 0.308431    0    1    1    1    1     17         17
 0.170926    0    1    1    1    0     18         17
 0.224652    0    1    1    0    1     19         17
 0.137882    0    1    1    0    0     20         17
 0.218928    0    0    0    1    1     21         17
 0.104839    0    0    0    1    0     22         17
 0.115636    0    0    0    0    1     23         17
 0.079601    0    0    0    0    0     24         17
 0.269922    0    1    1    1    1     25         17
 0.167541    0    1    1    1    0     26         17
 0.174436    0    1    1    0    1     27         17
 0.111082    0    1    1    0    0     28         17
 0.157003    0    0    0    1    1     29         17
 0.058525    0    0    0    1    0     30         17
 0.131765    0    0    0    0    1     31         17
 0.056703    0    0    0    0    0     32         17
 0.365188    1    1    1    1    1      1         18
 0.256422    1    1    1    1    0      2         18
 0.339193    1    1    1    0    1      3         18
 0.261699    1    1    1    0    0      4         18
 0.270200    1    0    0    1    1      5         18
 0.196615    1    0    0    1    0      6         18
 0.248115    1    0    0    0    1      7         18
 0.186256    1    0    0    0    0      8         18
 0.382386    1    1    1    1    1      9         18
 0.234531    1    1    1    1    0     10         18
 0.317302    1    1    1    0    1     11         18
 0.196810    1    1    1    0    0     12         18
 0.287399    1    0    0    1    1     13         18
 0.221631    1    0    0    1    0     14         18
 0.249678    1    0    0    0    1     15         18
 0.195637    1    0    0    0    0     16         18
 0.458218    0    1    1    1    1     17         18
 0.372906    0    1    1    1    0     18         18
 0.440042    0    1    1    0    1     19         18
 0.354729    0    1    1    0    0     20         18
 0.425774    0    0    0    1    1     21         18
 0.328735    0    0    0    1    0     22         18
 0.388053    0    0    0    0    1     23         18
 0.326194    0    0    0    0    0     24         18
 0.463690    0    1    1    1    1     25         18
 0.390104    0    1    1    1    0     26         18
 0.437695    0    1    1    0    1     27         18
 0.356292    0    1    1    0    0     28         18
 0.399974    0    0    0    1    1     29         18
 0.299026    0    0    0    1    0     30         18
 0.366162    0    0    0    0    1     31         18
 0.273031    0    0    0    0    0     32         18
 0.323271    1    1    1    1    1      1         19
 0.234081    1    1    1    1    0      2         19
 0.262163    1    1    1    0    1      3         19
 0.165156    1    1    1    0    0      4         19
 0.255782    1    0    0    1    1      5         19
 0.135320    1    0    0    1    0      6         19
 0.214220    1    0    0    0    1      7         19
 0.148484    1    0    0    0    0      8         19
 0.289929    1    1    1    1    1      9         19
 0.196830    1    1    1    1    0     10         19
 0.264002    1    1    1    0    1     11         19
 0.178722    1    1    1    0    0     12         19
 0.273258    1    0    0    1    1     13         19
 0.168432    1    0    0    1    0     14         19
 0.235604    1    0    0    0    1     15         19
 0.103415    1    0    0    0    0     16         19
 0.389494    0    1    1    1    1     17         19
 0.280759    0    1    1    1    0     18         19
 0.371386    0    1    1    0    1     19         19
 0.254833    0    1    1    0    0     20         19
 0.333732    0    0    0    1    1     21         19
 0.236725    0    0    0    1    0     22         19
 0.296079    0    0    0    0    1     23         19
 0.202980    0    0    0    0    0     24         19
 0.375697    0    1    1    1    1     25         19
 0.247417    0    1    1    1    0     26         19
 0.310680    0    1    1    0    1     27         19
 0.252763    0    1    1    0    0     28         19
 0.288663    0    0    0    1    1     29         19
 0.215109    0    0    0    1    0     30         19
 0.227555    0    0    0    0    1     31         19
 0.181365    0    0    0    0    0     32         19
 0.274826    1    1    1    1    1      1         20
 0.142486    1    1    1    1    0      2         20
 0.221198    1    1    1    0    1      3         20
 0.116216    1    1    1    0    0      4         20
 0.187111    1    0    0    1    1      5         20
 0.070404    1    0    0    1    0      6         20
 0.149116    1    0    0    0    1      7         20
 0.071493    1    0    0    0    0      8         20
 0.228372    1    1    1    1    1      9         20
 0.146840    1    1    1    1    0     10         20
 0.170835    1    1    1    0    1     11         20
 0.085395    1    1    1    0    0     12         20
 0.152382    1    0    0    1    1     13         20
 0.039583    1    0    0    1    0     14         20
 0.133928    1    0    0    0    1     15         20
 0.028947    1    0    0    0    0     16         20
 0.338253    0    1    1    1    1     17         20
 0.213729    0    1    1    1    0     18         20
 0.284624    0    1    1    0    1     19         20
 0.187459    0    1    1    0    0     20         20
 0.262262    0    0    0    1    1     21         20
 0.133830    0    0    0    1    0     22         20
 0.220359    0    0    0    0    1     23         20
 0.150552    0    0    0    0    0     24         20
 0.264439    0    1    1    1    1     25         20
 0.202450    0    1    1    1    0     26         20
 0.238169    0    1    1    0    1     27         20
 0.148821    0    1    1    0    0     28         20
 0.207991    0    0    0    1    1     29         20
 0.099101    0    0    0    1    0     30         20
 0.181721    0    0    0    0    1     31         20
 0.065014    0    0    0    0    0     32         20
 0.333326    1    1    1    1    1      1         21
 0.189363    1    1    1    1    0      2         21
 0.291659    1    1    1    0    1      3         21
 0.221964    1    1    1    0    0      4         21
 0.246083    1    0    0    1    1      5         21
 0.215477    1    0    0    1    0      6         21
 0.251322    1    0    0    0    1      7         21
 0.134721    1    0    0    0    0      8         21
 0.323011    1    1    1    1    1      9         21
 0.218137    1    1    1    1    0     10         21
 0.246164    1    1    1    0    1     11         21
 0.188197    1    1    1    0    0     12         21
