BRAIN SCAN DATA
CONTACT--HLI/ONP
DATE--JULY 1990
NUMBER OF OBSERVATIONS = 315 (21 X 15 GRID)
NUMBER OF VARIABLES = 5
ORDER OF VARIABLES ON A LINE IMAGE--
   1. X POSITION (21 LEVELS--10 TO -10)
   2. Y POSITION (15 LEVELS-- -4 TO 10)
   3. BRAIN RESPONSE 1
   4. BRAIN RESPONSE 2
   5. BRAIN RESPONSE 3
STATISTICAL AREA--3-D GRAPHICS & CONTOUR PLOTS
TO READ THIS FILE INTO DATAPLOT (AND PLOT IT)--
   SKIP 25
   READ BRAIN.DAT X1 X2 Y1 Y2 Y3
   3DPLOT Y1 X1 X2 X1 AND
   3DPLOT Y1 X1 X2 X2
   LET Y1PRIME = DATA 2.5 5 7.5 10 12.5 15
   CONTOUR PLOT Y1 X1 X2 Y1PRIME
 
 
 
 
X1              X2              Y1             Y2             Y3
8              9              0              0              0
8              10             0              0              0
7              -4             0              0              0
7              -3             0              0              0
7              -2             0.55555556     0.66666667     0.66666667
7              -1             0.66666667     0.66666667     0.55555556
7              0              0.88888889     0              1.11111111
7              1              1              0.83333333     0.83333333
7              2              4.16666667     3.5            9.16666667
7              3              0.27777778     2.77777778     1.11111111
7              4              1.94444444     1.38888889     0.83333333
7              5              1.11111111     1.38888889     0.83333333
7              6              0              0              0
7              7              0              0              0
7              8              0              0              0
7              9              0              0              0
7              10             0              0              0
6              -4             0              0              0
6              -3             0              0              0
6              -2             0.55555556     0              0.27777778
6              -1             2.77777778     0.83333333     0.83333333
6              0              2.22222222     1.66666667     1.11111111
6              1              1.66666667     1.38888889     3.05555556
6              2              1.66666667     1.11111111     0.83333333
6              3              1.11111111     1.94444444     1.38888889
6              4              0.83333333     0              0
6              5              1.38888889     1.11111111     0.22222222
6              6              0              0              0
6              7              0              0              0
6              8              0              0              0
6              9              0              0              0
6              10             0              0              0
5              -4             0              0              0
5              -3             0              0              0
5              -2             0              0              0
5              -1             1.66666667     1.11111111     0.27777778
5              0              1.11111111     1.5            1.94444444
5              1              1.94444444     0.94444444     1.66666667
5              2              3.05555556     1.66666667     2.77777778
5              3              5.55555556     3.05555556     1.5
5              4              1.66666667     0.83333333     1.66666667
5              5              0.83333333     0.55555556     0.55555556
5              6              0.27777778     1.11111111     0.27777778
5              7              0              0              0
5              8              0              0              0
5              9              0              0              0
5              10             0              0              0
4              -4             0              0              0
4              -3             0              0              0
4              -2             0.94444444     0              0.55555556
4              -1             2.77777778     2.94444444     1.66666667
4              0              8.88888889     0.55555556     0.27777778
4              1              2.11111111     5.27777778     11.1111111
4              2              1.94444444     3.33333333     1.94444444
4              3              5              3.44444444     4.44444444
4              4              1.66666667     0.83333333     1.94444444
4              5              3.05555556     0.55555556     0.41666667
4              6              0              0              0
4              7              0              0              0
4              8              0              0              0
4              9              0              0              0
4              10             0              0              0
3              -4             0              0              0
3              -3             0              0              0
3              -2             0              0              0
3              -1             1.38888889     1              1.66666667
3              0              3.88888889     3.88888889     2.77777778
3              1              16.6666667     15.5555556     8.88888889
3              2              3.33333333     3.88888889     3.33333333
3              3              3.05555556     1.11111111     0
3              4              3.33333333     0.55555556     1.38888889
3              5              0.44444444     1.11111111     0.33333333
3              6              0              0              0
3              7              0              0              0
3              8              0              0              0
3              9              0              0              0
3              10             0              0              0
2              -4             0              0              0
2              -3             0              0              0
2              -2             0              0              1.44444444
2              -1             3.16666667     0              0.44444444
2              0              2.55555556     0.55555556     2.77777778
2              1              1.11111111     0.27777778     2.38888889
2              2              0.22222222     0.38888889     1.77777778
2              3              0.66666667     0.5            0.83333333
2              4              0.94444444     0.27777778     0.72222222
2              5              0.38888889     0              0.72222222
2              6              0              0              0
2              7              0              0              0
2              8              0              0              0
2              9              0              0              0
2              10             0              0              0
1              -4             0              0              0
1              -3             0              0              0
1              -2             0              0              0
1              -1             0              0              0
1              0              0              0              0
1              1              0              0              0
1              2              0              0              0
1              3              0              0              0
1              4              0              0              0
1              5              0              0              0
1              6              0              0              0
1              7              0              0              0
1              8              0              0              0
1              9              0              0              0
1              10             0              0              0
0              -4             0              0              0
0              -3             0              0              0
0              -2             0              0              0
0              -1             0              0              0
0              0              0              0              0
0              1              0              0              0
0              2              0              0              0
0              3              0              0              0
0              4              0              0              0
0              5              0              0              0
0              6              0              0              0
0              7              0              0              0
0              8              0              0              0
0              9              0              0              0
0              10             0              0              0
-1             -4             0              0              0
-1             -3             0              0              0
-1             -2             0              0              0
-1             -1             0              0              0
-1             0              0              0              0
-1             1              0              0              0
-1             2              0              0              0
-1             3              0              0              0
-1             4              0              0              0
-1             5              0              0              0
-1             6              0              0              0
-1             7              0              0              0
-1             8              0              0              0
-1             9              0              0              0
-1             10             0              0              0
-2             -4             0              0              0
-2             -3             0              0              0
-2             -2             0              0              0
-2             -1             0              0              0
-2             0              0              0              0
-2             1              0              0              0
-2             2              0              0              0
-2             3              0              0              0
-2             4              0              0              0
-2             5              0              0              0
-2             6              0              0              0
-2             7              0              0              0
-2             8              0              0              0
-2             9              0              0              0
-2             10             0              0              0
-3             -4             0              0              0
-3             -3             0              0              0
-3             -2             0              0              0
-3             -1             0              1.75           0.25
-3             0              0              0              0
-3             1              0.25           0              0
-3             2              0.25           0              0
-3             3              0              0              0
-3             4              0              0              0
-3             5              0              0              0
-3             6              0              0              0
-3             7              0              0              0
-3             8              0              0              0
-3             9              0              0              0
-3             10             0              0              0
-4             -4             0              0              0
-4             -3             0.3125         0.25           0
-4             -2             0              1              3.5
-4             -1             0              0              5.75
-4             0              5.875          0.875          0.25
-4             1              0              0              0
-4             2              0              0              0
-4             3              0              0.125          0.25
-4             4              0              0              0
-4             5              0              0              0
-4             6              0              0              0
-4             7              0              0              0
-4             8              0              0              0
-4             9              0              0              0
-4             10             0              0              0
-5             -4             0              0              0
-5             -3             0.25           0.3125         0
-5             -2             0.25           0.25           0
-5             -1             0.625          0.25           0.5
-5             0              1.25           1.375          0
-5             1              0              0.4375         4.25
-5             2              4.375          0.625          4.875
-5             3              0              0              0
-5             4              0              0              0
-5             5              0              0              0
-5             6              0              0              0
-5             7              0              0              0
-5             8              0              0              0
-5             9              0              0              0
-5             10             0              0              0
-6             -4             0              0              0
-6             -3             0.375          0.375          0.75
-6             -2             0.4375         0.5            0.75
-6             -1             2              0.75           0.375
-6             0              1.25           1.875          1.625
-6             1              0.875          0.25           0.375
-6             2              0.25           0.375          1.125
-6             3              0.25           0.25           0.75
-6             4              0.3125         0.25           0.3125
-6             5              0.25           0.25           0.125
-6             6              0              0              0
-6             7              0              0              0
-6             8              0              0              0
-6             9              0              0              0
-6             10             0              0              0
-7             -4             0              0              0
-7             -3             0              0              0
-7             -2             0.25           0.25           0.375
-7             -1             0.25           0.5            0.25
-7              0             0.25           1              0.625
-7             1              0.3125         0.1875         0
-7             2              0.625          0.75           0.5
-7             3              0.5            0.3125         0
-7             4              0.375          0.25           0
-7             5              0              0              0
-7             6              0              0              0
-7             7              0              0              0
-7             8              0              0              0
-7             9              0              0              0
-8             10             0              0              0
-8             -4             0              0              0
-8             -3             0.1875         0.125          0.25
-8             -2             0              0.25           0.25
-8             -1             0              0.1875         0.25
-8             0              0.25           0.25           0.25
-8             1              0              0              0
-8             2              0              0              0
-8             3              0              0              0
-8             4              0              0              0
-8             5              0              0              0
-8             6              0              0              0
-8             7              0              0              0
-8             8              0              0              0
-8             9              0              0              0
-9             10             0              0              0
-9             -4             0              0              0
-9             -3             0              0              0
-9             -2             0              0              0.375
-9             -1             0              0.75           0
-9             0              0              0              0
-9             1              0              0              0
-9             2              0              0              0
-9             3              0              0              0
-9             4              0              0              0
-9             5              0              0              0
-9             6              0              0              0
-9             7              0              0              0
-9             8              0              0              0
-9             9              0              0              0
-10            10             0              0              0
-10            -4             0              0              0
-10            -3             0              0              0
-10            -2             0              0              0
-10            -1             0              0              0
-10            0              0              0              0
-10            1              0              0              0
-10            2              0              0              0
-10            3              0              0              0
-10            4              0              0              0
-10            5              0              0              0
-10            6              0              0              0
-10            7              0              0              0
-10            8              0              0              0
-10            9              0              0              0
-10           10              0              0              0
