MONTHLY CARBON DIOXIDE READINGS AT SOUTH POLE 1/58 TO 1/87
JIM ELKINS (NOAA) FTS 320-6224    JIM'S NAME FOR FILE = CO2SPO.DAT
NUMBER OF OBSERVATIONS = 349
RESPONSE VARIABLE = MEAN CARBON DIOXIDE CONCENTRATION (IN PARTS PER MILLION)
ORDER OF VARIABLES ON A LINE IMAGE--
   1. YEAR (1958 TO 1987)
   2. MONTH (1 TO 12)
   3. MEAN (OVER THE MONTH) CARBON DIOXIDE CONCENTRATION (PPM)
NOTE--A ZERO RESPONSE MEANS NO READING AVAILABLE.
NOTE--FROM 1973 ONWARD, THE RAW DATA POINTS WERE HOURLY
      AND SO THE REPORTED MONTHLY AVERAGES CONSISTED OF
      ABOUT 720 OBSERVATIONS.
1978  6 333.31
1978  7 333.84
1978  8 334.44
1978  9 334.93
1978 10 335.02
1978 11 334.87
1978 12 334.70
1979  1 334.03
1979  2 334.00
1979  3 334.08
1979  4 334.16
1979  5 334.93
1979  6 334.93
1979  7 335.37
1979  8 335.73
1979  9 335.94
1979 10 336.00
1979 11 335.92
1979 12 335.71
1980  1 336.13
1980  2 335.96
1980  3 336.00
1980  4 336.22
1980  5 336.60
1980  6 336.93
1980  7 337.38
1980  8 337.65
1980  9 337.90
1980 10 338.09
1980 11 338.04
1980 12 338.03
1981  1 337.84
1981  2 337.77
1981  3 337.88
1981  4 337.91
1981  5 338.07
1981  6 338.29
1981  7 338.72
1981  8 338.95
1981  9 339.17
1981 10 339.13
1981 11 338.93
1981 12 338.50
1982  1 338.45
1982  2 338.60
1982  3 338.37
1982  4 338.56
1982  5 338.88
1982  6 338.93
1982  7 339.24
1982  8 339.61
1982  9 339.86
1982 10 339.77
1982 11 339.52
1982 12 339.24
1983  1 339.67
1983  2 339.61
1983  3 339.71
1983  4 340.05
1983  5   0.00
1983  6 340.88
1983  7 341.15
1983  8 341.85
1983  9 342.08
1983 10 342.16
1983 11 342.23
1983 12 342.04
1984 01 341.90
1984 02 341.86
1984 03 341.65
1984 04 341.73
1984 05 341.88
1984 06 342.08
1984 07 342.52
1984 08 343.05
1984 09 343.35
1984 10 343.44
1984 11 343.24
1984 12 343.02
1985 01 343.13
1985 02 342.94
1985 03 342.81
1985 04 342.96
1985 05 343.27
1985 06 343.58
1985 07 344.06
1985 08 344.53
1985 09 344.76
1985 10 344.78
1985 11 344.84
1985 12 344.58
1986 01 344.53
1986 02 344.41
1986 03 344.39
1986 04 344.47
1986 05 344.60
1986 06 344.89
1986 07 345.37
1986 08 345.77
1986 09 346.03
1986 10 346.23
1986 11 345.98
1986 12 345.76
1987  1 345.18
