This is Dataplot data file     BIVGAUSS.DAT
    2.65    3.55
    3.78   -9.59
   -1.70    4.72
    5.16   18.11
   -2.91    1.87
    9.87   -0.85
    0.97    9.16
   -6.82   14.81
   -1.84    0.04
   -1.86   -2.28
    2.08   -3.66
    0.35   20.99
    4.34    4.27
   -3.81    4.97
    7.73   -7.22
    6.25   14.18
    1.94   -0.38
   -1.32   -6.36
   -4.60   10.44
    7.33   12.60
    5.73   -2.60
    4.24   10.97
   -4.58    0.97
    5.66   10.13
   -1.17    5.51
    8.93   -0.88
    1.40   12.48
    0.05  -12.80
   -1.19   14.74
    3.02    2.41
    9.00   -4.27
   -2.25  -11.25
    9.28   21.91
   10.33  -15.35
    6.55    3.32
    6.06   13.58
    2.06   -6.18
    4.51   -0.81
    1.22   13.91
    5.43   -9.84
   -3.42    4.06
    2.34   -0.91
    9.51   22.84
   -2.15    5.33
   -2.43   -6.84
    2.63    3.55
   -0.18   11.19
   -1.60   -1.65
    2.43   -4.69
   -1.82   -6.62
    6.90   -7.73
   -3.84  -10.65
    3.25    3.27
   -3.38   -3.85
    1.27    0.76
   -3.98    2.48
   11.41   -6.96
    0.85    1.49
    2.15   26.78
   -2.59   -6.32
   -4.13   -6.39
    3.85    8.40
    2.49    0.53
    3.23    7.89
    1.07   -1.47
    0.43   10.21
    7.66   16.89
   -3.80   -7.95
    4.52    8.97
    2.67    1.91
    2.81   11.82
   -7.73    9.97
   -3.00   10.43
    9.42   -1.38
   -1.95   10.38
    1.35    2.78
    3.81   -2.65
   -2.56  -19.51
    3.21    3.98
    1.99    3.99
    3.27   10.68
    3.22  -11.03
    3.54    7.54
   -2.39   -2.43
    5.62  -13.21
    5.87   -1.43
   -4.34    6.11
    1.28   -8.14
    6.15    1.62
   -0.45   10.82
    3.95   10.36
    0.02   -3.26
    6.91   -4.91
   -3.97   -4.84
    4.29   -7.31
    4.56    8.82
    3.77   -1.37
    4.85   -1.74
    3.67  -20.26
    7.93   -3.05
    1.82   -8.91
    1.21    1.95
    3.24   14.97
    0.25   12.95
   -0.68    0.83
    2.30   -1.31
    2.62    8.82
    7.46   28.03
    1.56    6.41
   -5.12   12.28
    3.87   22.68
    0.80   -2.07
    4.30   -8.62
   -3.74    2.42
    0.43   10.78
   -6.12    2.88
    0.12    7.42
   -0.41   -3.00
   -0.27    2.48
    1.23  -12.26
   -8.24    8.01
    0.30    0.78
    6.74    4.16
   -0.50   12.20
    1.50   -2.26
    8.23    5.96
   -2.34    7.75
    2.53   -7.97
    0.23    6.12
   -1.22    4.42
   -3.04    4.23
    0.82   -0.67
    4.24    1.36
    0.97    7.86
    4.05  -16.08
    1.16    4.56
    6.51   15.80
   -0.12   21.75
   -0.80   -3.48
  -10.24    6.01
    5.33   11.15
   -4.99   -3.72
    0.71    2.42
    1.13   -8.01
   -0.06   -8.45
    2.48   25.48
    2.15    7.41
    1.81  -14.27
   -1.18   22.82
   -0.50   -7.14
    3.99    3.62
    3.09   -1.88
    9.14    0.61
    1.21   12.81
    8.45   13.37
    1.89   11.11
   -1.69    8.69
    2.13   21.43
   -0.14   11.18
   -8.99   11.85
    2.05   -8.27
    1.25    2.31
    0.38   -4.10
    2.72   -2.87
    3.28    7.20
    2.48   -7.78
    6.07   -3.07
    3.97    1.91
    4.65    9.06
   -2.25   13.18
    2.51   18.00
    0.74    6.14
    1.60    5.09
    0.81    1.30
    8.30    8.94
   10.01  -12.57
    6.05    8.37
   -3.87    0.51
   -3.60   10.41
    0.64   11.80
    1.29    5.20
    5.83    1.79
    2.49  -13.47
    1.51   18.60
    3.38  -10.17
   -0.87   21.80
   -2.08    0.83
    2.51   12.56
   -0.99    7.71
    7.24  -18.54
    2.21    3.23
   -4.98   -1.43
    3.23   -1.77
   -0.69    8.75
    4.35    5.03
    2.36  -25.72
    0.43   -6.10
    6.91   -1.71
   -1.26   -4.15
    2.22    7.13
    4.03   -2.08
   -1.33    2.79
    1.28    5.00
   -0.71   16.11
   -1.52    4.02
    8.94   11.28
   -5.45   -5.91
    1.59    4.42
    6.56   -3.64
    4.52    0.20
    5.06   12.49
    3.08   -5.96
    1.45    6.69
    2.77    5.77
   -4.84    1.43
    5.04   17.19
   -0.26  -10.48
    8.69    2.61
    3.45   -0.23
   -0.33    6.64
    3.57   14.08
    3.65   16.80
   -1.01   -6.92
    2.00   11.72
    2.51    6.07
   -0.68   14.33
    4.72   -7.28
    5.89    5.45
   -1.87    6.56
    7.46    8.39
    5.88   -1.01
    3.56   -4.51
    3.00   -2.67
    3.08  -13.38
   -0.77   25.09
   -3.13  -14.58
   -0.89   -7.11
    8.32   -5.52
   -0.06    7.26
    5.53   -1.26
    6.50   -6.03
    1.31    7.75
    1.89  -16.96
    8.74    8.74
    2.39   23.94
    4.10  -14.58
    5.98   -6.75
    3.62    9.45
    0.31   12.43
   -1.11    4.57
   -9.37   -7.65
    7.18    1.37
    3.83   -0.52
    5.86    9.79
    2.43   15.75
    9.69  -15.85
    1.82    8.08
    8.55   -6.11
    1.28   -0.76
   -3.13  -13.01
    4.08   13.63
   -0.18    3.45
    3.84    5.19
   -6.65  -11.34
    4.16   -5.29
    6.34    0.07
    6.91  -12.20
    2.07    3.66
    2.53   -0.68
    4.37    8.38
   -0.80   -3.78
    4.93    6.99
    8.67    3.85
   -1.70   -1.40
    2.38   -9.39
    3.02    4.17
    1.77    7.17
    5.00    3.70
    2.96   23.13
    6.65  -20.51
    1.12   -9.32
    4.01   -1.32
   11.21    0.56
    5.91    0.42
    4.42   -6.30
    6.93   23.55
    4.92    0.89
    1.66   25.01
   -2.93  -12.80
   -0.03   10.88
   -3.26   13.62
   -6.48   11.01
    2.98   -0.80
    6.47    7.31
    7.79    8.40
   -5.10    3.71
    0.90  -13.03
    6.94    9.87
   -1.25    7.68
    0.09   -9.83
    2.92  -12.55
    1.31  -12.54
    6.03   -5.43
    2.07    1.42
    7.37    4.24
    2.62   19.12
    3.39    7.30
    9.32    4.30
    1.23    7.21
   -3.18    6.31
    1.55   11.53
    3.42   -0.82
    7.65   12.21
    4.76   16.96
   -2.74    1.04
   -6.15   21.23
   -2.03  -14.63
   -3.42   10.62
    6.79    7.54
    2.31    4.23
    2.83   -3.47
    5.20    4.17
   -0.55   -3.32
    2.46    9.25
    6.01   14.91
    4.98   11.28
   -2.77  -14.92
    5.39   -6.78
    2.95    5.31
    0.98   10.70
   -2.93   -0.62
    4.30   11.26
   -4.02    9.70
    1.04   -6.78
   -3.89    3.41
   -0.65    2.31
    0.87    2.79
    4.22   18.93
    5.38    2.17
    2.04    3.50
    6.51    4.50
    3.04    2.18
    1.38    4.38
    0.61   10.26
    6.62   -0.58
    6.09   10.04
   -3.98    0.68
    1.38    0.17
    1.88   -2.30
    4.15   -5.72
    4.57   18.20
    7.08    3.05
    3.88   14.98
    3.19    3.66
    1.26    9.77
   -4.54   -0.10
   -4.07   -6.01
    0.33   -3.79
    2.28   14.94
    0.97   11.59
    5.87   10.66
    0.62   12.27
    9.78   -5.81
    4.79    9.77
   -1.27   24.40
   -0.63   11.39
   -6.18    0.52
    5.87    6.62
   10.26   14.65
    2.51   16.82
    1.36   14.01
    4.40   -4.35
   -1.11    5.80
   -0.43    0.58
    9.38    0.18
    4.78   -7.82
   -1.78  -12.36
    2.61  -10.72
    2.55   17.84
    9.44    5.08
   -0.62    8.01
   -3.17   10.32
    4.73   16.84
    5.14   11.23
    0.41    4.29
    1.67   -0.73
   -4.84   -2.74
    7.62    4.81
    3.58  -12.53
    3.95   -1.14
    0.96   11.42
    6.47    4.75
    5.01   -0.52
   -2.12    7.52
    3.11    4.08
    3.55   12.69
    5.67   -7.11
    8.36   13.24
   -8.11  -14.83
   -2.45    4.42
    6.30  -15.46
   -1.07    6.19
   -3.79    2.52
    2.81   15.09
    4.92  -15.14
   -0.17   -0.25
   -1.59    2.01
    6.50    7.91
    0.40    4.56
   -2.03   -7.14
    4.25    5.50
   -1.59    2.82
    3.50    8.93
   -4.35   18.65
    7.09   12.43
   -1.46  -13.99
    2.36    9.36
    1.06    9.21
    5.88    1.69
    4.10   -9.37
    2.39   11.85
   -2.40   -6.51
   -0.62   -5.33
    2.95   18.86
   -0.89    3.57
    5.61    7.44
   -1.86   -9.71
    0.36   15.11
    3.11  -10.53
   -1.70    3.56
    7.30    9.42
   -2.01   -6.47
   -0.13    1.22
    4.56   -3.31
   -2.49   16.10
    1.24    3.37
    0.87   11.03
    2.33  -15.86
    4.87   13.09
    3.58    5.24
    2.46  -18.24
    5.73   -5.99
   -1.07   16.60
    9.38    6.13
    2.84    5.43
    2.82  -24.79
    1.49    5.00
    3.70    5.95
    0.17    7.83
   -3.69   19.65
    8.28   25.54
    0.23    1.63
   -4.36   -7.32
    1.18    9.43
   -1.31   16.17
    7.72    7.65
    3.28    4.85
   -0.42   -1.90
    1.66   17.73
    3.32    5.71
   -4.68   -6.90
   -0.85   -8.54
    1.07    9.07
   -1.88    8.99
    4.57  -12.79
   -0.54   14.53
   -2.76    7.69
    2.39   -6.05
   -3.50    3.09
    6.15    0.47
    2.37    5.47
    3.76   -6.32
    1.85    6.53
    4.13   15.14
    5.71  -16.00
    4.04   10.34
    5.82    0.99
    6.25   10.34
    6.42   -5.61
   13.02   -8.43
   -0.35  -22.19
   -1.47   -2.20
    3.46    7.57
   -3.08    5.60
    1.04  -14.11
    7.80    3.51
    0.22    7.13
   -0.42   -1.10
   -1.56    1.37
   11.04   -6.31
   -0.80   -1.74
   -1.16   -0.08
    3.89   20.67
    4.82    7.80
    4.98   -5.68
    6.84   -6.57
    5.70   -8.92
    6.55   -2.25
    5.23    9.00
   11.04   -4.75
   -6.58    0.01
   -9.20   -7.58
    4.12   -0.74
    0.87    9.38
   10.86   -5.47
    2.39   -5.42
   -1.27   11.31
   -1.64    1.44
   -8.02   19.31
    6.24    4.22
   -0.35    6.01
    6.71    0.71
    2.95   -6.23
    2.56    2.67
    2.15    6.24
    4.71    6.94
    0.38   -0.17
   -4.81    7.39
   10.75   17.05
    5.15    9.17
    8.60   10.81
   -6.17    5.18
   -0.20   -3.47
   -2.49   11.81
    4.35   10.79
    7.76   -5.93
    7.88   -2.86
    5.79    2.11
    1.58   13.60
   11.45   -7.49
    2.70   20.83
    0.32  -10.33
   10.35    4.77
   -0.86   12.93
    3.63   -7.91
   -3.41   -0.98
    4.40    2.53
   -3.84    7.42
   -1.84   11.89
    3.93    1.13
   -3.94   -9.62
    4.61    8.76
    5.04   -8.89
    3.27   21.08
    0.38    0.00
   -3.38    3.91
    1.19   -4.14
    0.88   14.66
    2.73    2.48
    1.76    6.42
   -0.15    4.73
   -0.76   20.83
    0.20   -1.73
    3.18   -5.48
    5.74    7.40
    5.75    3.54
    3.22   -3.41
   -3.90   -5.59
    0.17   -9.65
    1.15   -5.11
    1.57    6.14
    2.78   15.97
    0.62    4.65
    4.06   13.49
    3.75   -5.74
   -2.37    2.32
    3.89   17.17
   -4.92    3.61
    6.91   -8.50
    1.13    9.51
    0.62   -5.59
   -2.16    7.61
    2.38   21.27
   -2.96   -2.28
   -0.43   -0.07
   -1.00   -5.45
   -1.88    6.73
    1.46   -2.77
   -4.33   -6.07
    9.47    9.38
   -1.55    5.89
   -0.41    0.54
   -0.05   14.58
   -1.41   28.76
   -3.60   19.92
    2.65   -3.73
    0.29    4.64
    1.51   -8.65
    5.00    5.90
    4.76   14.34
    0.26   -3.90
    5.94    6.30
    6.71   -9.50
    8.34   -2.52
    1.59    4.59
    2.18   14.26
    2.93   13.22
    2.89  -11.79
    0.30   -1.87
    4.42    0.21
    3.92    2.47
    2.83    2.21
    7.88   -9.50
    0.23   -9.63
    0.16  -14.53
    7.90    7.25
   -8.17    6.59
   -0.25  -10.83
    4.20   16.78
   10.47  -13.48
    5.67   -0.43
   -1.86   -0.86
    4.96    2.40
    2.12    6.73
   -0.68    5.13
    4.93    0.97
   -3.66   13.02
    2.86    6.00
    8.23   -0.34
    1.80   -9.88
    6.87    0.02
   -2.81    0.42
    0.68   10.15
    2.89    9.22
   -3.53   -8.53
    6.86  -11.19
   -2.20    6.75
   -2.67    2.19
    1.50    7.19
    2.49   -1.21
    3.46   -0.17
   -0.37    6.77
   -4.67   18.22
   -2.64  -21.29
    0.97    6.76
    0.21    6.14
   -1.64   -5.07
    2.95    0.93
    7.18   -8.15
   -1.13   -6.17
    5.40  -11.04
   -1.96   -3.65
    3.22    3.06
    4.76   14.71
    6.89   -7.09
    3.16  -18.90
    2.32   -3.72
    0.12   22.02
    8.70   -2.10
   -0.08    6.11
   -0.86   20.90
   -3.04    5.47
   -1.72  -17.73
    5.52   24.28
   -4.92   -3.80
    6.45   16.67
    3.04  -18.45
    5.79    2.71
    1.77    7.35
    2.59    3.44
    2.04   10.64
   -2.18   -1.10
   -5.55    9.88
    4.81   13.00
   -2.02    4.11
    0.17   -3.47
    6.30   -4.47
   -1.33    8.50
    3.92    3.19
    3.34   15.58
    3.26   20.68
    2.07   15.80
    3.54   -0.12
    6.30   -7.79
   -0.51   14.94
    0.73  -11.56
    7.87    0.11
    1.36   -9.00
    4.30    8.74
   -2.07   15.58
   -2.99   10.65
   -2.52  -11.16
   -0.51   -3.47
    1.13   -4.04
    1.60   22.00
   -1.22  -14.58
   -3.76    3.54
   -2.76    1.71
   -0.51    6.76
    1.57    7.47
    4.30   -5.65
    5.09   -6.17
   -7.23   18.93
    2.36   -0.15
    7.32   25.47
   -0.54   -0.33
    0.38   -6.49
    6.47    2.81
   -1.48   14.03
    0.20   -2.52
    9.90    6.80
    1.18   26.55
    2.65   -8.18
    3.70   -7.17
