MARYLAND "PICK 4" LOTTERY NUMBERS
AUGUST 22, 1988 TO MAY 26, 1989 (40 WEEKS)
NUMBER OF DATA POINTS = 238
NUMBER OF VARIABLES PER LINE IMAGE = 5
ORDER OF VARIABLES--
   1. LOTTERY NUMBER (4-DIGIT)
   2. MONTH
   3. DAY OF MONTH
   4. YEAR
   5. WEEK (1 TO 40)
TO READ THIS FILE INTO DATAPLOT (& ANALYZE)--
   SKIP 25
   READ LOTTERY4.DAT Y MONTH DAY YEAR WEEK
   X3LABEL AUTOMATIC; 4-PLOT Y
   UNIFORM PROBABILITY PLOT Y
   CHARACTERS X ALL; PLOT Y WEEK WEEK
   CHAR BOX PLOT; LINES BOX PLOT; BOX PLOT Y WEEK
   CHAR CONTROL CHART; LINES CONTROL CHART
   MEAN CONTROL CHART Y WEEK
   RANGE CONTROL CHART Y WEEK
   AUTOCORRELATION PLOT Y
   GRID ON; MIDRANGE PLOT Y WEEK
   AUTOCORRELATION STATISTIC PLOT Y WEEK
NUMBER     MONTH  DAY    YEAR   WEEK
  753       11     19     88     13
  229       11     21     88     14
 7416       11     22     88     14
 8317       11     23     88     14
 6184       11     25     88     14
 4575       11     26     88     14
 6649       11     28     88     15
 5867       11     29     88     15
 7069       11     30     88     15
  955       12      1     88     15
 8849       12      2     88     15
 3090       12      3     88     15
 8478       12      5     88     16
 9808       12      6     88     16
 9275       12      7     88     16
 8889       12      8     88     16
 1264       12      9     88     16
 5735       12     10     88     16
 2107       12     12     88     17
 6980       12     13     88     17
  402       12     14     88     17
 8127       12     15     88     17
 9321       12     16     88     17
 7111       12     17     88     17
 4646       12     19     88     18
 2451       12     20     88     18
 5232       12     21     88     18
 7268       12     22     88     18
 8836       12     23     88     18
 8885       12     24     88     18
 6164       12     26     88     19
 7401       12     27     88     19
 9332       12     28     88     19
 4242       12     29     88     19
 1843       12     30     88     19
 6760       12     31     88     19
   46        1      2     89     20
 8135        1      3     89     20
 2736        1      4     89     20
 8460        1      5     89     20
 5133        1      6     89     20
 1163        1      7     89     20
  418        1      9     89     21
 8223        1     10     89     21
 7713        1     11     89     21
 9768        1     12     89     21
 8349        1     13     89     21
 3462        1     14     89     21
 4049        1     16     89     22
 7940        1     17     89     22
 2901        1     18     89     22
 2063        1     19     89     22
 8363        1     20     89     22
 8246        1     21     89     22
 8572        1     23     89     23
 8303        1     24     89     23
 3103        1     25     89     23
 4698        1     26     89     23
 9063        1     27     89     23
 2157        1     28     89     23
 5755        1     30     89     24
 1683        1     31     89     24
 3022        2      1     89     24
 1337        2      2     89     24
 6270        2      3     89     24
 1783        2      4     89     24
  618        2      6     89     25
 8392        2      7     89     25
 9265        2      8     89     25
 3183        2      9     89     25
  455        2     10     89     25
 6585        2     11     89     25
 1245        2     13     89     26
 9373        2     14     89     26
 4598        2     15     89     26
 5349        2     16     89     26
  406        2     17     89     26
 2771        2     18     89     26
 9265        2     20     89     27
 4797        2     21     89     27
 6870        2     22     89     27
 1710        2     23     89     27
 2179        2     24     89     27
 1019        2     25     89     27
 9918        2     27     89     28
 8303        2     28     89     28
  637        2      1     89     28
 8685        3      2     89     28
  226        3      3     89     28
 5375        3      4     89     28
 6894        3      6     89     29
 1241        3      7     89     29
 3786        3      8     89     29
 2926        3      9     89     29
  870        3     10     89     29
 9295        3     11     89     29
    5        3     13     89     30
 6151        3     14     89     30
 5216        3     15     89     30
 2872        3     16     89     30
 4920        3     17     89     30
 8039        3     18     89     30
 1412        3     20     89     31
 7637        3     21     89     31
 1814        3     22     89     31
 9448        3     23     89     31
 4686        3     25     89     31
 7600        3     27     89     32
  620        3     28     89     32
 7894        3     29     89     32
 9668        3     30     89     32
 7932        3     31     89     32
 9421        4      1     89     32
 6263        4      3     89     33
 9911        4      4     89     33
 5504        4      5     89     33
 4531        4      6     89     33
 5257        4      7     89     33
 6353        4      8     89     33
 6609        4     10     89     34
 5603        4     11     89     34
 6839        4     12     89     34
 8605        4     13     89     34
 8886        4     14     89     34
 1211        4     15     89     34
 6839        4     17     89     35
 6122        4     18     89     35
 9824        4     19     89     35
 4548        4     20     89     35
 3106        4     21     89     35
 3165        4     22     89     35
 8289        4     24     89     36
 7794        4     25     89     36
 7981        4     26     89     36
 3654        4     27     89     36
 1692        4     28     89     36
 8123        4     29     89     36
  531        5      1     89     37
 4468        5      2     89     37
 7279        5      3     89     37
 4503        5      4     89     37
 6453        5      5     89     37
 1772        5      6     89     37
 2786        5      8     89     38
 4999        5      9     89     38
 9095        5     10     89     38
 2750        5     11     89     38
 1655        5     12     89     38
 3713        5     13     89     38
 6525        5     15     89     39
  648        5     16     89     39
 7573        5     17     89     39
 8967        5     18     89     39
 2545        5     19     89     39
 7852        5     20     89     39
 4353        5     22     89     40
 7331        5     23     89     40
 8995        5     24     89     40
 3736        5     25     89     40
 6846        5     26     89     40
