This is Dataplot data file    REHM.DAT
Asthmatic Air Flow (Biomedical)
Response variable = Air flow
Number of observations = 294 + 210 + 251 = 755
Number of observations per line image = 2
Order of observations per line image--
   1. Response variable 1 = high air flow
   2. Response variable 2 = low  air flow
   3. Factor 1            = time
   4. factor 2            = patient id (1 to 3)
To read this file into Dataplot (and analyze)--
   SKIP 25
   READ REHM.DAT Y1 Y2 X PATIENT
   RETAIN Y1 Y2 X PATIENT SUBSET PATIENT 1
   LET N = NUMBER Y1
   LET TAG = SEQUENCE 1 4 1 300
   RETAIN TAG FOR I = 1 1 N
   MULTIPLOT 2 2
   PLOT Y TAG TAG
   MEAN CONTROL CHART Y TAG
   RANGE CONTROL CHART Y TAG
 
 
High Flow   Low Flow   Time   Patient
   475        310       192      2
   415        245       193      2
   405        220       194      2
   400        225       195      2
   425        205       196      2
   415        310       197      2
   435        325       198      2
   435        320       199      2
   500        370       200      2
   480        365       201      2
   465        380       202      2
   530        350       203      2
   525        330       204      2
   520        405       205      2
   515        350       206      2
   535        420       207      2
   520        405       208      2
   535        400       209      2
   520        385       210      2
   445        300       211      2
   540        415       212      2
   515        370       213      2
   520        405       214      2
   535        345       215      2
   525        355       216      2
   520        380       217      2
   530        410       218      2
   535        405       219      2
   540        425       220      2
   545        435       221      2
   500        395       222      2
   530        405       223      2
   515        400       224      2
   500        405       225      2
   520        410       226      2
   520        400       227      2
   495        320       228      2
   480        390       229      2
   520        415       230      2
   500        395       231      2
   530        405       232      2
   525        400       233      2
   500        410       234      2
   515        325       235      2
   510        390       236      2
   505        385       237      2
   500        390       238      2
   480        410       239      2
   495        340       240      2
   505        400       241      2
   500        405       242      2
   480        335       243      2
   510        400       244      2
   515        400       245      2
   500        405       246      2
   495        365       247      2
   480        400       248      2
   520        410       249      2
   505        315       250      2
   500        395       251      2
   540        490         1      3
   530        440         2      3
   455        425         3      3
   445        410         4      3
   435        400         5      3
   430        390         6      3
   425        370         7      3
   465        425         8      3
   465        430         9      3
   475        430        10      3
   455        410        11      3
   430        370        12      3
   435        380        13      3
   430        400        14      3
   485        435        15      3
   520        350        16      3
   490        350        17      3
   550        330        18      3
   525        360        19      3
   560        360        20      3
   495        410        21      3
   490        380        22      3
   525        410        23      3
   485        350        24      3
   440        360        25      3
   420        350        26      3
   415        330        27      3
   435        355        28      3
   445        375        29      3
   455        400        30      3
   470        410        31      3
   485        420        32      3
   485        395        33      3
   490        405        34      3
   455        420        35      3
   460        425        36      3
   485        425        37      3
   475        440        38      3
   500        430        39      3
   495        430        40      3
   510        425        41      3
   510        435        42      3
   465        425        43      3
   475        425        44      3
   480        430        45      3
   480        425        46      3
   495        430        47      3
   470        425        48      3
   485        420        49      3
   480        420        50      3
   490        430        51      3
   485        420        52      3
   490        425        53      3
   480        430        54      3
   490        430        55      3
   475        425        56      3
   480        420        57      3
   480        430        58      3
   490        425        59      3
   485        430        60      3
   495        425        61      3
   490        420        62      3
   480        415        63      3
   490        420        64      3
   495        425        65      3
   495        420        66      3
   495        420        67      3
   475        415        68      3
   475        415        69      3
   480        425        70      3
   495        415        71      3
   495        425        72      3
   505        415        73      3
   485        405        74      3
   495        415        75      3
   480        410        76      3
   480        415        77      3
   490        420        78      3
   495        415        79      3
   495        405        80      3
   500        420        81      3
   505        420        82      3
   495        425        83      3
   505        425        84      3
   495        415        85      3
   495        420        86      3
   490        425        87      3
   495        420        88      3
   495        410        89      3
   500        420        90      3
   505        415        91      3
   485        410        92      3
   495        420        93      3
   505        425        94      3
   490        410        95      3
   505        410        96      3
   495        420        97      3
   495        415        98      3
   465        395        99      3
   455        375       100      3
   455        375       101      3
   470        395       102      3
   485        405       103      3
   480        415       104      3
   480        415       105      3
   490        420       106      3
   490        415       107      3
   485        420       108      3
   485        425       109      3
   495        420       110      3
   495        420       111      3
   490        415       112      3
   455        400       113      3
   445        390       114      3
   445        375       115      3
   440        380       116      3
   445        380       117      3
   450        390       118      3
   455        395       119      3
   455        405       120      3
   465        415       121      3
   460        415       122      3
   480        425       123      3
   465        420       124      3
   460        420       125      3
   480        425       126      3
   465        415       127      3
   470        415       128      3
   480        410       129      3
   465        420       130      3
   470        415       131      3
   475        410       132      3
   465        420       133      3
   470        420       134      3
   470        420       135      3
   460        415       136      3
   455        405       137      3
   460        415       138      3
   455        415       139      3
   450        405       140      3
   445        390       141      3
   440        390       142      3
   425        375       143      3
   435        380       144      3
   440        390       145      3
   480        420       146      3
   480        425       147      3
   475        425       148      3
   475        425       149      3
   485        420       150      3
   480        430       151      3
   480        430       152      3
   480        420       153      3
   480        425       154      3
   470        420       155      3
   460        410       156      3
   465        410       157      3
   470        415       158      3
   475        420       159      3
   485        420       160      3
   495        425       161      3
   495        430       162      3
   480        435       163      3
   470        425       164      3
   470        425       165      3
   475        430       166      3
   470        420       167      3
   470        425       168      3
   475        415       169      3
   460        410       170      3
   470        420       171      3
   475        420       172      3
   480        425       173      3
   475        415       174      3
   460        420       175      3
   435        410       176      3
   425        400       177      3
   425        395       178      3
   435        385       179      3
   460        395       180      3
   455        405       181      3
   465        415       182      3
   470        415       183      3
   465        420       184      3
   470        425       185      3
   475        425       186      3
   470        420       187      3
   465        420       188      3
   470        425       189      3
   475        420       190      3
   470        420       191      3
   465        415       192      3
   455        410       193      3
   470        420       194      3
   470        415       195      3
   475        425       196      3
   475        425       197      3
   475        430       198      3
   470        420       199      3
   465        420       200      3
   465        415       201      3
   465        425       202      3
   465        420       203      3
   465        415       204      3
   470        415       205      3
   480        410       206      3
   465        420       207      3
   470        415       208      3
   475        410       209      3
   465        420       210      3
