This is Dataplot data file   TAAM.DAT
Wafer Thickness
Source--Winsom Taam, Dept. of Math & Stat
Oakland University, MI  248-370-3438    taam@oakland.edu
(Used in presentation by Taam at SEMATECH
Stat Conference, March 31, 1998)
Number of Obervations = 45 wafers x 116 sites/wafer = 5220
Number of variables per line image = 4
Order of variables on a line image--
   1. Response Variable = wafer thickness
   2. Factor 1          = x-position on wafer
   3. Factor 2          = y-position on wafer
   4. Factor 3          = wafer identification (1 to 45)









    Y           XPOS        YPOS       ID
 6830.90        0.45       -0.89        1
 6798.20       -0.45       -0.89        1
 6760.20       -0.59       -0.81        1
 6779.60       -0.71       -0.71        1
 6754.30       -0.81       -0.59        1
 6780.60       -0.89       -0.45        1
 6773.70       -0.95       -0.31        1
 6766.80       -0.99       -0.16        1
 6737.40       -1.00        0.00        1
 6716.00       -0.99        0.16        1
 6726.80       -0.95        0.31        1
 6719.80       -0.89        0.45        1
 6673.00       -0.81        0.59        1
 6656.10       -0.71        0.71        1
 6676.50       -0.59        0.81        1
 6670.90       -0.45        0.89        1
 6678.50       -0.31        0.95        1
 6649.50       -0.16        0.99        1

 7008.80        0.00        0.00        2
 6977.60        0.00        0.20        2
 6992.50        0.14        0.14        2
 7003.20        0.20        0.00        2
 7014.60        0.14       -0.14        2
 6987.40        0.00       -0.20        2
 7046.60       -0.14       -0.14        2
 7075.40       -0.20        0.00        2
 7046.90       -0.14        0.14        2
 6906.80        0.00        0.40        2
 6971.90        0.15        0.37        2
 6941.50        0.28        0.28        2
 7015.80        0.37        0.15        2
 7034.90        0.40        0.00        2
 7032.30        0.37       -0.15        2
 6982.80        0.28       -0.28        2
 6931.50        0.15       -0.37        2
 6914.80        0.00       -0.40        2
 6964.10       -0.15       -0.37        2
 7020.00       -0.28       -0.28        2
 7083.60       -0.37       -0.15        2
 7088.40       -0.40        0.00        2
 7079.30       -0.37        0.15        2
 7033.30       -0.28        0.28        2
 7057.40       -0.15        0.37        2
 6816.00        0.00        0.60        2
 6810.90        0.16        0.58        2
 6859.40        0.30        0.52        2
 6906.20        0.42        0.42        2
 7005.30        0.52        0.30        2
 7037.00        0.58        0.16        2
 7023.70        0.60        0.00        2
 7038.90        0.58       -0.16        2
 7025.20        0.52       -0.30        2
 6963.90        0.42       -0.42        2
 6913.10        0.30       -0.52        2
 6871.70        0.16       -0.58        2
 6856.90        0.00       -0.60        2
 6876.80       -0.16       -0.58        2
 6927.60       -0.30       -0.52        2
 6969.00       -0.42       -0.42        2
 6993.30       -0.52       -0.30        2
 7035.40       -0.58       -0.16        2
 7049.00       -0.60        0.00        2
 7034.20       -0.58        0.16        2
 7004.00       -0.52        0.30        2
 7034.40       -0.42        0.42        2
 6954.40       -0.30        0.52        2
 6901.30       -0.16        0.58        2
 6734.90        0.00        0.80        2
 6727.80        0.16        0.78        2
 6725.90        0.31        0.74        2
 6766.70        0.44        0.67        2
 6843.40        0.57        0.57        2
 6891.60        0.67        0.44        2
 6895.20        0.74        0.31        2
 6905.20        0.78        0.16        2
 6906.20        0.80        0.00        2
 6909.90        0.78       -0.16        2
 6923.70        0.74       -0.31        2
 6924.60        0.67       -0.44        2
 6906.20        0.57       -0.57        2
 6907.90        0.44       -0.67        2
 6838.50        0.31       -0.74        2
 6782.60        0.16       -0.78        2
 6784.70        0.00       -0.80        2
 6803.50       -0.16       -0.78        2
 6843.40       -0.31       -0.74        2
 6885.80       -0.44       -0.67        2
 6902.10       -0.57       -0.57        2
 6912.10       -0.67       -0.44        2
 6937.60       -0.74       -0.31        2
 6952.50       -0.78       -0.16        2
 6942.50       -0.80        0.00        2
 6942.50       -0.78        0.16        2
 6929.60       -0.74        0.31        2
 6904.10       -0.67        0.44        2
 6862.30       -0.57        0.57        2
 6870.20       -0.44        0.67        2
 6808.40       -0.31        0.74        2
 6771.10       -0.16        0.78        2
 6587.30        0.00        1.00        2
 6584.60        0.16        0.99        2
 6584.20        0.31        0.95        2
 6622.50        0.45        0.89        2
 6699.40        0.59        0.81        2
 6657.10        0.71        0.71        2
 6682.40        0.81        0.59        2
 6694.40        0.89        0.45        2
 6727.40        0.95        0.31        2
 6727.40        0.99        0.16        2
 6816.00        1.00        0.00        2
 6756.30        0.99       -0.16        2
 6784.70        0.95       -0.31        2
 6794.60        0.89       -0.45        2
 6764.70        0.81       -0.59        2
 6751.20        0.71       -0.71        2
 6793.60        0.59       -0.81        2
 6820.90        0.45       -0.89        2
 6796.10       -0.45       -0.89        2
 6784.60       -0.59       -0.81        2
 6762.20       -0.71       -0.71        2
 6746.40       -0.81       -0.59        2
 6752.20       -0.89       -0.45        2
 6797.10       -0.95       -0.31        2
 6806.00       -0.99       -0.16        2
 6802.50       -1.00        0.00        2
 6795.60       -0.99        0.16        2
 6801.50       -0.95        0.31        2
 6785.70       -0.89        0.45        2
 6720.90       -0.81        0.59        2
 6711.40       -0.71        0.71        2
 6677.50       -0.59        0.81        2
 6662.00       -0.45        0.89        2
 6663.00       -0.31        0.95        2
 6651.50       -0.16        0.99        2

 6982.80        0.00        0.00        3
 6977.40        0.00        0.20        3
 6981.80        0.14        0.14        3
 6960.90        0.20        0.00        3
 6979.50        0.14       -0.14        3
 6967.80        0.00       -0.20        3
 7011.10       -0.14       -0.14        3
 7047.50       -0.20        0.00        3
 7031.90       -0.14        0.14        3
 6911.10        0.00        0.40        3
 6919.00        0.15        0.37        3
 6926.60        0.28        0.28        3
 6983.50        0.37        0.15        3
 6996.40        0.40        0.00        3
 6998.40        0.37       -0.15        3
 6959.10        0.28       -0.28        3
 6927.60        0.15       -0.37        3
 6920.70        0.00       -0.40        3
 6954.00       -0.15       -0.37        3
 7000.20       -0.28       -0.28        3
 7040.10       -0.37       -0.15        3
 7057.70       -0.40        0.00        3
 7059.70       -0.37        0.15        3
 7035.50       -0.28        0.28        3
 6992.80       -0.15        0.37        3
 6831.80        0.00        0.60        3
 6835.60        0.16        0.58        3
 6837.50        0.30        0.52        3
 6904.30        0.42        0.42        3
 6970.00        0.52        0.30        3
 6991.30        0.58        0.16        3
 6992.30        0.60        0.00        3
 7001.90        0.58       -0.16        3
 7001.40        0.52       -0.30        3
 6954.50        0.42       -0.42        3
 6911.10        0.30       -0.52        3
 6873.80        0.16       -0.58        3
 6856.90        0.00       -0.60        3
 6884.80       -0.16       -0.58        3
 6935.60       -0.30       -0.52        3
 6968.00       -0.42       -0.42        3
 6980.50       -0.52       -0.30        3
 7009.80       -0.58       -0.16        3
 7018.50       -0.60        0.00        3
 7020.30       -0.58        0.16        3
 7001.30       -0.52        0.30        3
 6968.80       -0.42        0.42        3
 6939.10       -0.30        0.52        3
 6903.10       -0.16        0.58        3
 6732.80        0.00        0.80        3
 6735.90        0.16        0.78        3
 6730.80        0.31        0.74        3
 6790.50        0.44        0.67        3
 6854.40        0.57        0.57        3
 6862.80        0.67        0.44        3
 6884.80        0.74        0.31        3
 6883.70        0.78        0.16        3
 6875.80        0.80        0.00        3
 6874.80        0.78       -0.16        3
 6908.40        0.74       -0.31        3
 6916.10        0.67       -0.44        3
 6910.90        0.57       -0.57        3
 6912.10        0.44       -0.67        3
 6835.60        0.31       -0.74        3
 6785.70        0.16       -0.78        3
 6788.50        0.00       -0.80        3
 6814.00       -0.16       -0.78        3
 6851.30       -0.31       -0.74        3
 6890.60       -0.44       -0.67        3
 6913.10       -0.57       -0.57        3
 6913.10       -0.67       -0.44        3
 6922.70       -0.74       -0.31        3
 6919.70       -0.78       -0.16        3
 6910.20       -0.80        0.00        3
 6927.60       -0.78        0.16        3
 6916.80       -0.74        0.31        3
 6907.20       -0.67        0.44        3
 6871.20       -0.57        0.57        3
 6851.30       -0.44        0.67        3
 6831.90       -0.31        0.74        3
 6798.10       -0.16        0.78        3
 6590.30        0.00        1.00        3
 6582.70        0.16        0.99        3
 6582.70        0.31        0.95        3
 6641.60        0.45        0.89        3
 6684.60        0.59        0.81        3
 6682.40        0.71        0.71        3
 6668.60        0.81        0.59        3
 6696.60        0.89        0.45        3
 6721.90        0.95        0.31        3
 6711.40        0.99        0.16        3
 6707.00        1.00        0.00        3
 6712.30        0.99       -0.16        3
 6753.30        0.95       -0.31        3
 6782.60        0.89       -0.45        3
 6765.20        0.81       -0.59        3
 6743.30        0.71       -0.71        3
 6792.60        0.59       -0.81        3
 6821.90        0.45       -0.89        3
 6827.50       -0.45       -0.89        3
 6805.00       -0.59       -0.81        3
 6744.30       -0.71       -0.71        3
 6765.70       -0.81       -0.59        3
 6767.80       -0.89       -0.45        3
 6784.70       -0.95       -0.31        3
 6792.50       -0.99       -0.16        3
 6787.70       -1.00        0.00        3
 6771.10       -0.99        0.16        3
 6791.60       -0.95        0.31        3
 6775.70       -0.89        0.45        3
 6723.90       -0.81        0.59        3
 6683.40       -0.71        0.71        3
 6674.00       -0.59        0.81        3
 6667.60       -0.45        0.89        3
 6671.90       -0.31        0.95        3
 6645.10       -0.16        0.99        3

 7004.30        0.00        0.00        4
 7021.60        0.00        0.20        4
 7027.30        0.14        0.14        4
 6991.30        0.20        0.00        4
 6997.30        0.14       -0.14        4
 6978.50        0.00       -0.20        4
 7018.80       -0.14       -0.14        4
 7070.00       -0.20        0.00        4
 7061.60       -0.14        0.14        4
 6962.90        0.00        0.40        4
 6979.80        0.15        0.37        4
 6982.90        0.28        0.28        4
 7029.90        0.37        0.15        4
 7030.10        0.40        0.00        4
 7037.60        0.37       -0.15        4
 6989.40        0.28       -0.28        4
 6948.10        0.15       -0.37        4
 6939.10        0.00       -0.40        4
 6963.10       -0.15       -0.37        4
 7019.60       -0.28       -0.28        4
 7062.00       -0.37       -0.15        4
 7082.90       -0.40        0.00        4
 7086.40       -0.37        0.15        4
 7086.00       -0.28        0.28        4
 7041.80       -0.15        0.37        4
 6897.20        0.00        0.60        4
 6892.30        0.16        0.58        4
 6901.10        0.30        0.52        4
 6967.00        0.42        0.42        4
 7017.50        0.52        0.30        4
 7036.50        0.58        0.16        4
 7022.40        0.60        0.00        4
 7024.70        0.58       -0.16        4
 7021.10        0.52       -0.30        4
 6981.80        0.42       -0.42        4
 6943.50        0.30       -0.52        4
 6881.70        0.16       -0.58        4
 6874.80        0.00       -0.60        4
 6904.30       -0.16       -0.58        4
 6961.40       -0.30       -0.52        4
 6990.40       -0.42       -0.42        4
 7008.80       -0.52       -0.30        4
 7012.20       -0.58       -0.16        4
 7038.60       -0.60        0.00        4
 7048.00       -0.58        0.16        4
 7044.70       -0.52        0.30        4
 7028.40       -0.42        0.42        4
 7008.90       -0.30        0.52        4
 6971.90       -0.16        0.58        4
 6798.10        0.00        0.80        4
 6789.50        0.16        0.78        4
 6788.20        0.31        0.74        4
 6853.40        0.44        0.67        4
 6914.80        0.57        0.57        4
 6918.70        0.67        0.44        4
 6933.70        0.74        0.31        4
 6930.70        0.78        0.16        4
 6915.10        0.80        0.00        4
 6914.10        0.78       -0.16        4
 6935.60        0.74       -0.31        4
 6942.20        0.67       -0.44        4
 6929.70        0.57       -0.57        4
 6921.20        0.44       -0.67        4
 6846.40        0.31       -0.74        4
 6782.60        0.16       -0.78        4
 6776.70        0.00       -0.80        4
 6808.10       -0.16       -0.78        4
 6861.30       -0.31       -0.74        4
 6894.20       -0.44       -0.67        4
 6899.30       -0.57       -0.57        4
 6915.80       -0.67       -0.44        4
 6916.80       -0.74       -0.31        4
 6922.70       -0.78       -0.16        4
 6924.60       -0.80        0.00        4
 6944.50       -0.78        0.16        4
 6945.50       -0.74        0.31        4
 6951.10       -0.67        0.44        4
 6919.70       -0.57        0.57        4
 6912.10       -0.44        0.67        4
 6884.70       -0.31        0.74        4
 6863.80       -0.16        0.78        4
 6641.60        0.00        1.00        4
 6630.30        0.16        0.99        4
 6634.50        0.31        0.95        4
 6693.40        0.45        0.89        4
 6743.30        0.59        0.81        4
 6736.40        0.71        0.71        4
 6725.90        0.81        0.59        4
 6755.30        0.89        0.45        4
 6775.70        0.95        0.31        4
 6762.20        0.99        0.16        4
 6749.40        1.00        0.00        4
 6755.30        0.99       -0.16        4
 6781.10        0.95       -0.31        4
 6813.00        0.89       -0.45        4
 6826.50        0.81       -0.59        4
 6762.20        0.71       -0.71        4
 6787.20        0.59       -0.81        4
 6815.00        0.45       -0.89        4
 6805.10       -0.45       -0.89        4
 6770.10       -0.59       -0.81        4
 6779.60       -0.71       -0.71        4
 6755.30       -0.81       -0.59        4
 6770.10       -0.89       -0.45        4
 6810.50       -0.95       -0.31        4
 6816.00       -0.99       -0.16        4
 6750.20       -1.00        0.00        4
 6775.70       -0.99        0.16        4
 6801.50       -0.95        0.31        4
 6795.10       -0.89        0.45        4
 6764.20       -0.81        0.59        4
 6743.30       -0.71        0.71        4
 6727.40       -0.59        0.81        4
 6718.00       -0.45        0.89        4
 6724.90       -0.31        0.95        4
 6694.40       -0.16        0.99        4

 7040.50        0.00        0.00        5
 7023.00        0.00        0.20        5
 7032.40        0.14        0.14        5
 7014.80        0.20        0.00        5
 7047.50        0.14       -0.14        5
 7039.50        0.00       -0.20        5
 7073.30       -0.14       -0.14        5
 7102.10       -0.20        0.00        5
 7083.60       -0.14        0.14        5
 6941.50        0.00        0.40        5
 6961.90        0.15        0.37        5
 7046.80        0.28        0.28        5
 7032.70        0.37        0.15        5
 7056.60        0.40        0.00        5
 7082.20        0.37       -0.15        5
 7056.10        0.28       -0.28        5
 7008.20        0.15       -0.37        5
 6995.10        0.00       -0.40        5
 7022.00       -0.15       -0.37        5
 7084.30       -0.28       -0.28        5
 7117.20       -0.37       -0.15        5
 7112.80       -0.40        0.00        5
 7096.70       -0.37        0.15        5
 7088.00       -0.28        0.28        5
 7027.80       -0.15        0.37        5
 6862.80        0.00        0.60        5
 6860.30        0.16        0.58        5
 6864.80        0.30        0.52        5
 6931.50        0.42        0.42        5
 7069.80        0.52        0.30        5
 7032.30        0.58        0.16        5
 7037.00        0.60        0.00        5
 7058.00        0.58       -0.16        5
 7076.10        0.52       -0.30        5
 7047.30        0.42       -0.42        5
 6996.30        0.30       -0.52        5
 6921.20        0.16       -0.58        5
 6907.20        0.00       -0.60        5
 6944.50       -0.16       -0.58        5
 7005.30       -0.30       -0.52        5
 7030.90       -0.42       -0.42        5
 7054.40       -0.52       -0.30        5
 7068.00       -0.58       -0.16        5
 7073.90       -0.60        0.00        5
 7063.40       -0.58        0.16        5
 7035.10       -0.52        0.30        5
 7004.30       -0.42        0.42        5
 6982.80       -0.30        0.52        5
 6945.50       -0.16        0.58        5
 6795.60        0.00        0.80        5
 6777.70        0.16        0.78        5
 6770.10        0.31        0.74        5
 6820.90        0.44        0.67        5
 6879.80        0.57        0.57        5
 6879.80        0.67        0.44        5
 6960.00        0.74        0.31        5
 6921.70        0.78        0.16        5
 6922.10        0.80        0.00        5
 6943.50        0.78       -0.16        5
 6985.40        0.74       -0.31        5
 6999.90        0.67       -0.44        5
 6980.80        0.57       -0.57        5
 6962.90        0.44       -0.67        5
 6892.70        0.31       -0.74        5
 6816.00        0.16       -0.78        5
 6804.00        0.00       -0.80        5
 6824.00       -0.16       -0.78        5
 6890.60       -0.31       -0.74        5
 6927.60       -0.44       -0.67        5
 6943.50       -0.57       -0.57        5
 6956.00       -0.67       -0.44        5
 6976.60       -0.74       -0.31        5
 6971.00       -0.78       -0.16        5
 6956.00       -0.80        0.00        5
 6949.10       -0.78        0.16        5
 6930.70       -0.74        0.31        5
 6935.60       -0.67        0.44        5
 6900.60       -0.57        0.57        5
 6900.10       -0.44        0.67        5
 6877.30       -0.31        0.74        5
 6853.40       -0.16        0.78        5
 6660.00        0.00        1.00        5
 6624.70        0.16        0.99        5
 6633.50        0.31        0.95        5
 6682.40        0.45        0.89        5
 6735.40        0.59        0.81        5
 6723.90        0.71        0.71        5
 6699.40        0.81        0.59        5
 6719.80        0.89        0.45        5
 6753.20        0.95        0.31        5
 6751.20        0.99        0.16        5
 6766.80        1.00        0.00        5
 6800.20        0.99       -0.16        5
 6836.50        0.95       -0.31        5
 6863.80        0.89       -0.45        5
 6848.10        0.81       -0.59        5
 6812.00        0.71       -0.71        5
 6819.90        0.59       -0.81        5
 6829.50        0.45       -0.89        5
 6827.50       -0.45       -0.89        5
 6807.40       -0.59       -0.81        5
 6810.10       -0.71       -0.71        5
 6773.70       -0.81       -0.59        5
 6810.40       -0.89       -0.45        5
 6850.30       -0.95       -0.31        5
 6844.40       -0.99       -0.16        5
 6812.00       -1.00        0.00        5
 6783.60       -0.99        0.16        5
 6853.30       -0.95        0.31        5
 6790.50       -0.89        0.45        5
 6732.90       -0.81        0.59        5
 6695.40       -0.71        0.71        5
 6745.30       -0.59        0.81        5
 6732.80       -0.45        0.89        5
 6740.60       -0.31        0.95        5
 6738.40       -0.16        0.99        5

 6998.40        0.00        0.00        6
 6965.00        0.00        0.20        6
 6988.50        0.14        0.14        6
 6976.60        0.20        0.00        6
 7004.30        0.14       -0.14        6
 7005.30        0.00       -0.20        6
 7043.10       -0.14       -0.14        6
 7081.40       -0.20        0.00        6
 7021.90       -0.14        0.14        6
 6879.80        0.00        0.40        6
 6904.30        0.15        0.37        6
 6919.70        0.28        0.28        6
 6994.30        0.37        0.15        6
 7017.80        0.40        0.00        6
 7043.00        0.37       -0.15        6
 7002.40        0.28       -0.28        6
 6973.90        0.15       -0.37        6
 6965.00        0.00       -0.40        6
 6989.50       -0.15       -0.37        6
 7056.40       -0.28       -0.28        6
 7097.50       -0.37       -0.15        6
 7101.40       -0.40        0.00        6
 7046.80       -0.37        0.15        6
 7015.90       -0.28        0.28        6
 6951.40       -0.15        0.37        6
 6781.60        0.00        0.60        6
 6795.10        0.16        0.58        6
 6808.10        0.30        0.52        6
 6871.70        0.42        0.42        6
 6952.10        0.52        0.30        6
 6983.90        0.58        0.16        6
 7002.20        0.60        0.00        6
 7026.50        0.58       -0.16        6
 7037.00        0.52       -0.30        6
 7011.60        0.42       -0.42        6
 6970.80        0.30       -0.52        6
 6905.10        0.16       -0.58        6
 6909.90        0.00       -0.60        6
 6942.50       -0.16       -0.58        6
 6994.30       -0.30       -0.52        6
 7014.10       -0.42       -0.42        6
 7038.00       -0.52       -0.30        6
 7038.40       -0.58       -0.16        6
 7047.50       -0.60        0.00        6
 7012.60       -0.58        0.16        6
 6979.50       -0.52        0.30        6
 6949.10       -0.42        0.42        6
 6897.40       -0.30        0.52        6
 6864.80       -0.16        0.58        6
 6722.90        0.00        0.80        6
 6715.00        0.16        0.78        6
 6704.40        0.31        0.74        6
 6759.10        0.44        0.67        6
 6811.10        0.57        0.57        6
 6829.80        0.67        0.44        6
 6857.90        0.74        0.31        6
 6864.80        0.78        0.16        6
 6892.70        0.80        0.00        6
 6916.10        0.78       -0.16        6
 6954.00        0.74       -0.31        6
 6965.00        0.67       -0.44        6
 6962.90        0.57       -0.57        6
 6954.00        0.44       -0.67        6
 6878.80        0.31       -0.74        6
 6799.50        0.16       -0.78        6
 6794.60        0.00       -0.80        6
 6836.40       -0.16       -0.78        6
 6901.10       -0.31       -0.74        6
 6939.10       -0.44       -0.67        6
 6929.00       -0.57       -0.57        6
 6946.20       -0.67       -0.44        6
 6940.40       -0.74       -0.31        6
 6951.10       -0.78       -0.16        6
 6939.60       -0.80        0.00        6
 6912.10       -0.78        0.16        6
 6878.30       -0.74        0.31        6
 6883.70       -0.67        0.44        6
 6832.40       -0.57        0.57        6
 6824.00       -0.44        0.67        6
 6817.10       -0.31        0.74        6
 6791.50       -0.16        0.78        6
 6618.70        0.00        1.00        6
 6598.30        0.16        0.99        6
 6589.30        0.31        0.95        6
 6635.70        0.45        0.89        6
 6666.60        0.59        0.81        6
 6658.10        0.71        0.71        6
 6630.60        0.81        0.59        6
 6674.00        0.89        0.45        6
 6699.10        0.95        0.31        6
 6698.10        0.99        0.16        6
 6722.90        1.00        0.00        6
 6765.20        0.99       -0.16        6
 6796.10        0.95       -0.31        6
 6816.00        0.89       -0.45        6
 6817.70        0.81       -0.59        6
 6813.00        0.71       -0.71        6
 6825.50        0.59       -0.81        6
 6860.30        0.45       -0.89        6
 6841.50       -0.45       -0.89        6
 6808.10       -0.59       -0.81        6
 6794.10       -0.71       -0.71        6
 6768.80       -0.81       -0.59        6
 6784.70       -0.89       -0.45        6
 6842.30       -0.95       -0.31        6
 6835.60       -0.99       -0.16        6
 6783.60       -1.00        0.00        6
 6756.30       -0.99        0.16        6
 6755.30       -0.95        0.31        6
 6715.00       -0.89        0.45        6
 6681.90       -0.81        0.59        6
 6662.00       -0.71        0.71        6
 6686.50       -0.59        0.81        6
 6700.30       -0.45        0.89        6
 6712.90       -0.31        0.95        6
 6674.50       -0.16        0.99        6

 7013.20        0.00        0.00        7
 7030.80        0.00        0.20        7
 7034.00        0.14        0.14        7
 6990.40        0.20        0.00        7
 6980.80        0.14       -0.14        7
 6971.90        0.00       -0.20        7
 7019.60       -0.14       -0.14        7
 7081.40       -0.20        0.00        7
 7077.00       -0.14        0.14        7
 6960.10        0.00        0.40        7
 6974.90        0.15        0.37        7
 6978.50        0.28        0.28        7
 7029.40        0.37        0.15        7
 7040.10        0.40        0.00        7
 7025.20        0.37       -0.15        7
 6973.90        0.28       -0.28        7
 6910.90        0.15       -0.37        7
 6909.20        0.00       -0.40        7
 6947.20       -0.15       -0.37        7
 7018.50       -0.28       -0.28        7
 7065.40       -0.37       -0.15        7
 7104.10       -0.40        0.00        7
 7105.10       -0.37        0.15        7
 7159.00       -0.28        0.28        7
 7039.50       -0.15        0.37        7
 6873.80        0.00        0.60        7
 6865.80        0.16        0.58        7
 6866.80        0.30        0.52        7
 6943.50        0.42        0.42        7
 7008.40        0.52        0.30        7
 7033.20        0.58        0.16        7
 7016.10        0.60        0.00        7
 7012.90        0.58       -0.16        7
 7002.20        0.52       -0.30        7
 6974.90        0.42       -0.42        7
 6906.20        0.30       -0.52        7
 6834.60        0.16       -0.58        7
 6825.00        0.00       -0.60        7
 6860.30       -0.16       -0.58        7
 6923.70       -0.30       -0.52        7
 6932.50       -0.42       -0.42        7
 6981.90       -0.52       -0.30        7
 7015.80       -0.58       -0.16        7
 7067.20       -0.60        0.00        7
 7072.50       -0.58        0.16        7
 7117.80       -0.52        0.30        7
 7018.00       -0.42        0.42        7
 6995.30       -0.30        0.52        7
 6949.10       -0.16        0.58        7
 6760.20        0.00        0.80        7
 6749.70        0.16        0.78        7
 6753.20        0.31        0.74        7
 6810.50        0.44        0.67        7
 6876.80        0.57        0.57        7
 6905.20        0.67        0.44        7
 6922.70        0.74        0.31        7
 6918.90        0.78        0.16        7
 6910.20        0.80        0.00        7
 6902.30        0.78       -0.16        7
 6907.20        0.74       -0.31        7
 6926.60        0.67       -0.44        7
 6897.40        0.57       -0.57        7
 6900.30        0.44       -0.67        7
 6841.30        0.31       -0.74        7
 6769.10        0.16       -0.78        7
 6765.70        0.00       -0.80        7
 6769.10       -0.16       -0.78        7
 6821.90       -0.31       -0.74        7
 6861.30       -0.44       -0.67        7
 6873.80       -0.57       -0.57        7
 6871.70       -0.67       -0.44        7
 6915.10       -0.74       -0.31        7
 6923.70       -0.78       -0.16        7
 6951.40       -0.80        0.00        7
 6962.90       -0.78        0.16        7
 6955.00       -0.74        0.31        7
 6948.10       -0.67        0.44        7
 6906.20       -0.57        0.57        7
 6882.70       -0.44        0.67        7
 6905.20       -0.31        0.74        7
 6824.00       -0.16        0.78        7
 6626.60        0.00        1.00        7
 6588.30        0.16        0.99        7
 6612.10        0.31        0.95        7
 6641.60        0.45        0.89        7
 6690.80        0.59        0.81        7
 6687.50        0.71        0.71        7
 6707.00        0.81        0.59        7
 6711.90        0.89        0.45        7
 6752.20        0.95        0.31        7
 6747.30        0.99        0.16        7
 6742.30        1.00        0.00        7
 6738.70        0.99       -0.16        7
 6747.40        0.95       -0.31        7
 6772.20        0.89       -0.45        7
 6763.20        0.81       -0.59        7
 6734.40        0.71       -0.71        7
 6771.10        0.59       -0.81        7
 6791.50        0.45       -0.89        7
 6806.10       -0.45       -0.89        7
 6782.60       -0.59       -0.81        7
