This is Dataplot data file    HSU12.DAT
Acoustic Microscopy
Nelson Hsu and Dan Xiang (NIST)
Date       = February 1996
Device     = acoustic microscope
Response variable = measured time for acoustic microscope
Number of observations             = 750
Number of variables per line image =   3
Order of variables on a line--
   1. Response Variable = elapsed time
   2. Factor 1          = distance
   3. Factor 2          = batch (15 levels)
Statistical Classification--Regression & Calibration
                            Linear & quadratic fitting
                            Subset fitting (with Y < 1.1)
Core question: What equation relates acoustic microscope
               response to distance
To read this data file into Dataplot--
   SKIP 25
   READ HSU12.DAT Y X BATCH
 
 
    Y              X
  1.90200       10.80000       12
  1.86200       10.60000       12
  1.82300       10.40000       12
  1.79900       10.20000       12
  1.75700       10.00000       12
  1.72300        9.80000       12
  1.69400        9.60000       12
  1.65300        9.40000       12
  1.61600        9.20000       12
  1.58700        9.00000       12
  1.55300        8.80000       12
  1.51300        8.60000       12
  1.48300        8.40000       12
  1.44400        8.20000       12
  1.41100        8.00000       12
  1.37600        7.80000       12
  1.34000        7.60000       12
  1.30200        7.40000       12
  1.27000        7.20000       12
  1.23500        7.00000       12
  1.20100        6.80000       12
  1.16200        6.60000       12
  1.12900        6.40000       12
  1.09500        6.20000       12
  1.05700        6.00000       12
  1.02300        5.80000       12
  0.98900        5.60000       12
  0.95300        5.40000       12
  0.91800        5.20000       12
  0.88300        5.00000       12
  0.84600        4.80000       12
  0.81200        4.60000       12
  0.77900        4.40000       12
  0.74400        4.20000       12
  0.70900        4.00000       12
  0.67300        3.80000       12
  0.63700        3.60000       12
  0.60200        3.40000       12
  0.56500        3.20000       12
  0.53300        3.00000       12
  0.49500        2.80000       12
  0.46000        2.60000       12
  0.42400        2.40000       12
  0.38900        2.20000       12
  0.35400        2.00000       12
  0.31800        1.80000       12
  0.28300        1.60000       12
 
  1.89900       11.00000       13
  1.87000       10.80000       13
  1.83700       10.60000       13
  1.79800       10.40000       13
  1.75800       10.20000       13
  1.72500       10.00000       13
  1.69800        9.80000       13
  1.66200        9.60000       13
  1.62400        9.40000       13
  1.58600        9.20000       13
  1.55900        9.00000       13
  1.52700        8.80000       13
  1.49000        8.60000       13
  1.45300        8.40000       13
  1.41900        8.20000       13
  1.38600        8.00000       13
  1.34800        7.80000       13
  1.31600        7.60000       13
  1.27800        7.40000       13
  1.24500        7.20000       13
  1.20900        7.00000       13
  1.17700        6.80000       13
  1.14300        6.60000       13
  1.10800        6.40000       13
  1.07300        6.20000       13
  1.03700        6.00000       13
  1.00400        5.80000       13
  0.96900        5.60000       13
  0.93300        5.40000       13
  0.89800        5.20000       13
  0.86300        5.00000       13
  0.82900        4.80000       13
  0.79500        4.60000       13
  0.76100        4.40000       13
  0.72500        4.20000       13
  0.69100        4.00000       13
  0.65600        3.80000       13
  0.62000        3.60000       13
  0.58600        3.40000       13
  0.55100        3.20000       13
  0.51600        3.00000       13
  0.48200        2.80000       13
  0.44700        2.60000       13
  0.41100        2.40000       13
  0.37500        2.20000       13
  0.33900        2.00000       13
  0.30300        1.80000       13
  0.26800        1.60000       13
 
  1.92900       11.00000       14
  1.88600       10.80000       14
  1.85700       10.60000       14
  1.82500       10.40000       14
  1.78900       10.20000       14
  1.76000       10.00000       14
  1.71600        9.80000       14
  1.68600        9.60000       14
  1.64500        9.40000       14
  1.61800        9.20000       14
  1.58100        9.00000       14
  1.54500        8.80000       14
  1.51200        8.60000       14
  1.47100        8.40000       14
  1.44000        8.20000       14
  1.40600        8.00000       14
  1.37100        7.80000       14
  1.33500        7.60000       14
  1.30400        7.40000       14
  1.26600        7.20000       14
  1.23200        7.00000       14
  1.19600        6.80000       14
  1.16300        6.60000       14
  1.12700        6.40000       14
  1.09000        6.20000       14
  1.05600        6.00000       14
  1.02600        5.80000       14
  0.98700        5.60000       14
  0.95400        5.40000       14
  0.91900        5.20000       14
  0.88600        5.00000       14
  0.85100        4.80000       14
  0.81500        4.60000       14
  0.78200        4.40000       14
  0.74500        4.20000       14
  0.71200        4.00000       14
  0.67500        3.80000       14
  0.64100        3.60000       14
  0.60700        3.40000       14
  0.57000        3.20000       14
  0.53700        3.00000       14
  0.50000        2.80000       14
  0.46300        2.60000       14
  0.42700        2.40000       14
  0.39200        2.20000       14
  0.35800        2.00000       14
  0.32200        1.80000       14
  0.28800        1.60000       14
 
  1.90800       11.00000       15
  1.87300       10.80000       15
  1.84300       10.60000       15
  1.79800       10.40000       15
  1.77100       10.20000       15
  1.73800       10.00000       15
  1.69600        9.80000       15
  1.66200        9.60000       15
  1.62700        9.40000       15
  1.59900        9.20000       15
  1.56400        9.00000       15
  1.52700        8.80000       15
  1.49400        8.60000       15
  1.45700        8.40000       15
  1.42700        8.20000       15
  1.38900        8.00000       15
  1.35800        7.80000       15
  1.32500        7.60000       15
  1.29200        7.40000       15
  1.25600        7.20000       15
  1.21900        7.00000       15
  1.18500        6.80000       15
  1.15100        6.60000       15
  1.11900        6.40000       15
  1.08300        6.20000       15
  1.04700        6.00000       15
  1.01200        5.80000       15
  0.97900        5.60000       15
  0.94700        5.40000       15
  0.91200        5.20000       15
  0.87600        5.00000       15
  0.84100        4.80000       15
  0.80600        4.60000       15
  0.77200        4.40000       15
  0.73900        4.20000       15
  0.70600        4.00000       15
  0.66900        3.80000       15
  0.63500        3.60000       15
  0.60100        3.40000       15
  0.56600        3.20000       15
  0.53100        3.00000       15
  0.49700        2.80000       15
  0.46100        2.60000       15
  0.42700        2.40000       15
  0.39100        2.20000       15
  0.35600        2.00000       15
  0.32100        1.80000       15
  0.28600        1.60000       15
