This is Dataplot data file     DRAFT69C.DAT (= Character Version of draft69b.dat)
1969 Selective Service Draft Lottery Rankings
Response variable                  = draft ranking (1 to 365)
Number of observations             = 365
Number of variables per line image =   3
Order of variables in a line image--
   1. Response variable = draft rank  (1 to 365)
   2. Factor 1          = day of year (1 to 365)
  144     319     November
  350     320     November
  129     321     November
  197     322     November
   70     323     November
  224     324     November
   10     325     November
  143     326     November
  188     327     November
  337     328     November
   11     329     November
  122     330     November
  196     331     November
   78     332     November
  243     333     November
   81     334     November
  161     335     November

  110     336     December
   22     337     December
   40     338     December
  235     339     December
  117     340     December
  170     341     December
  283     342     December
   85     343     December
  233     344     December
  111     345     December
  103     346     December
   37     347     December
  308     348     December
   29     349     December
  184     350     December
  116     351     December
  240     352     December
  181     353     December
   74     354     December
   27     355     December
  166     356     December
  147     357     December
  176     358     December
  275     359     December
  172     360     December
  146     361     December
   89     362     December
   52     363     December
  126     364     December
   57     365     December
  160     366     December
