JOSEPHSON JUNCTION CRYOTHERMOMETRY EXPERIMENT
BOB SOULEN
DATE--OCTOBER 1971
RESPONSE VARIABLE = COUNTS
 2899 2897 2898 2899 2900
 2898 2897 2901 2899 2901
 2898 2899 2901 2900 2900
 2899 2900 2900 2900 2900
 2901 2900 2901 2899 2897
 2900 2900 2901 2899 2898
 2900 2899 2899 2900 2899
 2900 2899 2900 2899 2901
 2900 2900 2899 2899 2898
 2899 2900 2898 2899 2899
 2901 2898 2898 2900 2899
 2899 2898 2897 2898 2897
 2899 2899 2899 2898 2898
 2897 2898 2899 2897 2897
 2899 2898 2898 2899 2899
 2901 2899 2899 2899 2897
 2900 2896 2898 2898 2900
 2897 2899 2897 2896 2898
 2897 2898 5899 2896 2899
 2901 2898 2898 2896 2897
 2899 2897 2898 2899 2898
 2898 2898 2898 2898 2898
 2899 2900 2899 2901 2898
 2899 2899 2898 2900 2898
 2899 2899 2901 2900 2901
 2899 2901 2899 2901 2899
 2900 2902 2899 2898 2899
 2900 2899 2900 2900 2901
 2900 2899 2901 2901 2899
 2898 2901 2897 2898 2901
 2900 2902 2899 2900 2898
 2900 2899 2900 2899 2899
 2899 2898 2900 2898 2899
 2899 2899 2899 2898 2900
