This is Dataplot data file     QUASIBIE.DAT
Quasi-biennial Index (= equatorial wind direction index near Singapore)
Source--Jim Elkins (NOAA) Janaury 1995
Note--quasi-biennial oscillation is the shift in wind direction
      at the equator approximately every 2 years.
Importance--Quasi-biennial oscillation is related to the
            transport of gases between the hemispheres
            and into the upper atmosphere.
Note--easterly winds indicated by negative values
      westerly winds indicated by positive values
      missing values indicated by -999
Number of observations             = 341
Number of variables per line image =   4
Order of variables per line image--
   1. Response variable = wind velocity (negative value = from east)
   2. Factor 1          = year and fraction of a year
   3. Factor 2          = year (1958 to 1992)
   4. Factor 3          = month (1 to 12)
Statistical category--time series analysis
To read this file into Dataplot--
   SKIP 25
   READ QUASIBIE.DAT Y X YEAR MONTH
 
    QBI      Year&Month       Year      Month
    -14        1974.50        1974        6
    -14        1974.58        1974        7
    -14        1974.67        1974        8
    -15        1974.75        1974        9
    -56        1974.83        1974       10
    -45        1974.92        1974       11
    -56        1975.00        1974       12
 
    -49        1975.08        1975        1
    -29        1975.17        1975        2
      3        1975.25        1975        3
      7        1975.33        1975        4
     15        1975.42        1975        5
     19        1975.50        1975        6
     27        1975.58        1975        7
     29        1975.67        1975        8
     27        1975.75        1975        9
     27        1975.83        1975       10
   -999        1975.92        1975       11
     27        1976.00        1975       12
 
     25        1976.08        1976        1
     25        1976.17        1976        2
     25        1976.25        1976        3
     19        1976.33        1976        4
      6        1976.42        1976        5
    -29        1976.50        1976        6
    -40        1976.58        1976        7
    -48        1976.67        1976        8
    -45        1976.75        1976        9
    -54        1976.83        1976       10
    -44        1976.92        1976       11
    -50        1977.00        1976       12
 
    -53        1977.08        1977        1
    -53        1977.17        1977        2
    -55        1977.25        1977        3
    -57        1977.33        1977        4
    -57        1977.42        1977        5
    -53        1977.50        1977        6
    -27        1977.58        1977        7
    -12        1977.67        1977        8
     10        1977.75        1977        9
     17        1977.83        1977       10
     21        1977.92        1977       11
     33        1978.00        1977       12
 
     37        1978.08        1978        1
     29        1978.17        1978        2
     21        1978.25        1978        3
     23        1978.33        1978        4
     23        1978.42        1978        5
     19        1978.50        1978        6
     17        1978.58        1978        7
     16        1978.67        1978        8
     14        1978.75        1978        9
     19        1978.83        1978       10
     -1        1978.92        1978       11
     -1        1979.00        1978       12
 
      8        1979.08        1979        1
     12        1979.17        1979        2
    -27        1979.25        1979        3
    -29        1979.33        1979        4
    -49        1979.42        1979        5
    -52        1979.50        1979        6
    -53        1979.58        1979        7
    -62        1979.67        1979        8
    -52        1979.75        1979        9
    -56        1979.83        1979       10
    -60        1979.92        1979       11
    -35        1980.00        1979       12
 
      4        1980.08        1980        1
     10        1980.17        1980        2
     18        1980.25        1980        3
     21        1980.33        1980        4
     19        1980.42        1980        5
     42        1980.50        1980        6
     25        1980.58        1980        7
     26        1980.67        1980        8
     24        1980.75        1980        9
     23        1980.83        1980       10
     22        1980.92        1980       11
     18        1981.00        1980       12
 
     22        1981.08        1981        1
     20        1981.17        1981        2
     12        1981.25        1981        3
     12        1981.33        1981        4
    -30        1981.42        1981        5
    -47        1981.50        1981        6
    -52        1981.58        1981        7
   -999        1981.67        1981        8
    -54        1981.75        1981        9
    -59        1981.83        1981       10
    -57        1981.92        1981       11
    -58        1982.00        1981       12
 
    -60        1982.08        1982        1
    -61        1982.17        1982        2
    -57        1982.25        1982        3
    -63        1982.33        1982        4
    -58        1982.42        1982        5
    -60        1982.50        1982        6
    -25        1982.58        1982        7
     12        1982.67        1982        8
     22        1982.75        1982        9
     31        1982.83        1982       10
     24        1982.92        1982       11
     31        1983.00        1982       12
 
     28        1983.08        1983        1
     24        1983.17        1983        2
     27        1983.25        1983        3
     25        1983.33        1983        4
     24        1983.42        1983        5
    -13        1983.50        1983        6
    -26        1983.58        1983        7
    -35        1983.67        1983        8
    -38        1983.75        1983        9
    -44        1983.83        1983       10
    -50        1983.92        1983       11
    -51        1984.00        1983       12
 
    -54        1984.08        1984        1
    -57        1984.17        1984        2
    -57        1984.25        1984        3
    -61        1984.33        1984        4
    -66        1984.42        1984        5
    -67        1984.50        1984        6
    -72        1984.58        1984        7
    -70        1984.67        1984        8
    -68        1984.75        1984        9
    -60        1984.83        1984       10
     -2        1984.92        1984       11
     13        1985.00        1984       12
 
     22        1985.08        1985        1
     17        1985.17        1985        2
     27        1985.25        1985        3
     27        1985.33        1985        4
     28        1985.42        1985        5
     22        1985.50        1985        6
     19        1985.58        1985        7
     16        1985.67        1985        8
     16        1985.75        1985        9
     18        1985.83        1985       10
     19        1985.92        1985       11
     24        1986.00        1985       12
 
     29        1986.08        1986        1
     28        1986.17        1986        2
     27        1986.25        1986        3
     20        1986.33        1986        4
     -9        1986.42        1986        5
    -40        1986.50        1986        6
    -47        1986.58        1986        7
    -46        1986.67        1986        8
    -48        1986.75        1986        9
    -48        1986.83        1986       10
    -51        1986.92        1986       11
    -55        1987.00        1986       12
 
    -54        1987.08        1987        1
    -53        1987.17        1987        2
    -54        1987.25        1987        3
    -57        1987.33        1987        4
    -56        1987.42        1987        5
    -53        1987.50        1987        6
    -15        1987.58        1987        7
     16        1987.67        1987        8
     26        1987.75        1987        9
     23        1987.83        1987       10
     16        1987.92        1987       11
     11        1988.00        1987       12
 
     11        1988.08        1988        1
     10        1988.17        1988        2
     14        1988.25        1988        3
     13        1988.33        1988        4
     10        1988.42        1988        5
     -6        1988.50        1988        6
    -23        1988.58        1988        7
    -13        1988.67        1988        8
     -9        1988.75        1988        9
    -16        1988.83        1988       10
    -20        1988.92        1988       11
    -20        1989.00        1988       12
 
    -18        1989.08        1989        1
     -9        1989.17        1989        2
    -12        1989.25        1989        3
    -37        1989.33        1989        4
    -49        1989.42        1989        5
    -55        1989.50        1989        6
    -62        1989.58        1989        7
    -59        1989.67        1989        8
    -62        1989.75        1989        9
    -61        1989.83        1989       10
    -61        1989.92        1989       11
    -46        1990.00        1989       12
 
     -2        1990.08        1990        1
     -1        1990.17        1990        2
     23        1990.25        1990        3
     28        1990.33        1990        4
     25        1990.42        1990        5
     28        1990.50        1990        6
     20        1990.58        1990        7
     25        1990.67        1990        8
     24        1990.75        1990        9
     21        1990.83        1990       10
     20        1990.92        1990       11
     23        1991.00        1990       12
 
     23        1991.08        1991        1
     25        1991.17        1991        2
     19        1991.25        1991        3
     17        1991.33        1991        4
    -15        1991.42        1991        5
    -41        1991.50        1991        6
    -45        1991.58        1991        7
    -44        1991.67        1991        8
    -42        1991.75        1991        9
    -44        1991.83        1991       10
    -47        1991.92        1991       11
    -48        1992.00        1991       12
 
    -49        1992.08        1992        1
    -50        1992.17        1992        2
    -50        1992.25        1992        3
    -51        1992.33        1992        4
    -53        1992.42        1992        5
