This is file   HUMPHR11.DAT = Jim's SUMALL.DAT
Thermoluminescent Dosimetry
Data Collection Date = June 21, 1993
Jim Humphreys
September 1993
NUMBER OF OBSERVATIONS = (21 dates ) x (1 + 18x4) =15XX (approx.)
NUMBER OF VARIABLES PER LINE IMAGE = 9 (only 7 used)
NUMBER OF DATES = 21
ORDER OF VARIABLES ON A LINE IMAGE--
   1. Date ID (21 LEVELS--1, 2, 13 to 28, 30 to 32)
   2. Hour of Day
   3. Minute
   4. Second
   5. Card ID (54 LEVELS--DRAWN FROM 1 TO 66)
   2  12 23 31       3   2        7.54         3.67         3.87
   2  12 27 36       3   1      212.46       125.53        86.93
   2  12 31 46       3   4      186.86        14.30        93.90
   2  12 38 55      13   4      231.03       225.99         5.04
   2  12 43 16      13   3        8.32         6.09         2.23
   2  12 48 02      13   2        7.47         5.60         1.86
   2  13 27 27      40   2        8.16         4.85         5.84
   2  13 31 30      40   1      218.75       176.91        41.84
   2  13 35 26      40   4      212.42       171.32        41.10
   2  13 39 44      40   3        7.60         5.11         2.49
   2  13 45 59      23   3        7.73         5.14         1.92
   2  13 50 19      23   2        9.26         6.79         2.47
   2  13 54 51      23   1      206.21       200.64         5.57
   2  13 59 24      23   4      212.39       205.69         6.70
   2  14 05 56      47   4      260.90       249.43        11.47
   2  14 10 22      47   3        8.92         6.39         1.37
   2  14 15 09      47   2        7.79         4.16         2.21
   2  14 19 56      47   1      238.43         5.03         6.32
   2  14 25 18      56   1      229.10       224.06         5.04
   2  14 30 06      56   4      206.76       195.92         3.30
   2  14 36 27      56   3        9.06         6.30         2.76
   2  14 41 15      56   2        8.70         6.24         2.46
   2  14 50 21      10   2        9.01         6.29         2.72
   2  14 55 22      10   1      234.30       193.66          .39
   2  15 00 43      10   4      241.33       203.91         5.17
   2  15 06 04      10   3       15.14        11.09         4.05
   2  15 11 44      43   3        7.07         4.38         2.69
   2  15 16 46      43   2        7.02         4.34         2.68
   2  15 25 02      43   1      173.22       139.07        34.16
   2  15 29 39      43   4      184.78       147.52        37.25
   2  15 34 31      50   4      199.47       189.39        10.08
   2  15 38 56      50   3        8.06         5.91         2.15
   2  15 43 33      50   2        8.43         6.13         2.30
   2  15 48 03      50   1      211.15       201.06        10.09
   2  15 57 20      58   1      204.39       194.07        10.32
   2  15 58 20      58   4      191.68       149.55         9.95
   2  16 03 31      58   3        7.60         5.45         2.15
   2  16 08 32      58   2        7.61         5.60         2.01
   2  16 13 32      24   2       10.09         5.70         4.39
   2  16 19 32      24   1      202.15       142.42        59.73
   2  16 24 16      24   4      192.77       137.05        55.72
   2  16 29 07      24   3        7.91         5.05         2.87
 
  13   9 22 32      0   0      658.74       328.91       329.82
  13   9 37 33     36   4      412.42       406.14         6.37
  13   9 41 32     36   3       14.49        11.31         3.18
  13   9 45 40     36   2       12.82        10.06         4.25
  13   9 49 45     36   1      432.53       426.74         5.79
  13   9 53 54     15   1      377.82       216.12       161.70
  13   9 58 01     15   4      394.11       211.39       182.72
  13  10 02 16     15   3       10.62         4.82         5.80
  13  10 06 15     15   2        8.73         3.86         4.87
  13  10 10 14     41   2       11.74         7.53         2.42
  13  10 14 35     41   1      478.08       470.53         7.55
  13  10 19 01     41   4      452.24       444.75         7.48
  13  10 23 30     41   3       13.50        10.42         1.78
  13  10 28 25      5   3       11.94         9.53         2.41
  13  10 32 53      5   2       13.34        10.22         3.12
  13  10 37 16      5   1      423.25       407.28        15.97
  13  10 41 43      5   4      411.49       367.89        14.83
  13  10 45 46     27   4      372.62       368.71         3.91
  13  10 50 12     27   3       11.36         9.00         2.36
  13  10 54 46     27   2       11.57         8.55         3.01
  13  10 59 17     27   1      367.19       362.37         4.82
  13  11 05 24     44   1      525.77       516.46         9.31
  13  11 10 47     44   4      502.98       496.56         6.42
  13  11 15 13     44   3       14.65        11.76         2.89
  13  11 19 44     44   2       11.99         9.48         2.51
  13  11 24 43     62   2       13.53         9.64         3.89
  13  11 30 04     62   1      396.86       384.01        12.85
  13  11 35 02     62   4      387.37       378.03         9.34
  13  11 39 29     62   3       10.47         8.13         2.34
  13  11 48 47     35   3        3.69         1.68         2.01
  13  11 53 15     35   2        9.66         5.77         3.89
  13  11 57 44     35   1      336.26       226.21       110.05
  13  12 02 26     35   4      317.96       213.93       104.03
  13  12 06 18     66   4      365.49       355.53         9.96
  13  12 10 44     66   3       10.60         8.27         2.32
  13  12 15 18     66   2       12.47         9.52         2.96
  13  12 19 18     66   1      347.09       339.06         8.03
  13  14 34 02      8   1      424.30       330.64        93.67
  13  14 38 06      8   4      452.72       327.01       128.42
  13  14 42 07      8   3       10.89         7.26         3.63
  13  14 46 27      8   2       11.41         8.02         3.39
  13  14 50 18     12   2       10.97         8.90         2.07
  13  14 54 12     12   1      353.33       338.82        14.50
  13  14 58 18     12   4      413.70       397.61        16.09
  13  15 02 26     12   3       12.96        10.06         2.90
  13  15 06 21      9   3       13.34        10.33         1.78
  13  15 11 15      9   2       14.58         8.60         3.45
  13  15 15 20      9   1      412.73       397.34        15.38
  13  15 19 34      9   4      408.69       392.72        15.97
  13  15 23 34     55   4      372.52       347.31         7.40
  13  15 27 43     55   3       12.93         9.85         3.08
  13  15 32 04     55   2       13.68        10.31         3.37
  13  15 45 27     55   1      404.13       399.30         4.83
  13  15 49 37     29   1      372.70       265.34       107.35
  13  15 54 31     29   4      337.42       241.35        96.08
  13  15 58 32     29   3       12.36         6.99         5.38
  13  16 02 59     29   2       11.71         7.08         4.63
  13  16 07 26     53   2        5.65         3.59         2.07
  13  16 11 39     53   1      452.05       436.02        16.03
  13  16 16 07     53   4      475.10       457.59        17.51
  13  16 20 30     53   3       12.41         9.58         2.83
  13  16 24 36      4   3       13.59         6.53         7.06
  13  16 29 35      4   2       10.40         5.17         5.23
  13  16 35 00      4   1      326.10       208.28       117.83
  13  16 39 23      4   4      414.64       230.33       184.31
  13  16 48 53     30   4      379.23       322.15        57.08
  13  16 58 05     30   3       12.20         8.05         4.15
  13  17 02 02     30   2       11.81         6.79         5.02
  13  17 05 59     30   1      366.48       307.29        59.19
  13  17 10 27     61   1      316.11       265.17        50.94
  13  17 14 46     61   4      275.58       229.99        45.59
  13  17 19 02     61   3       10.37         7.30         3.07
  13  17 23 28     61   2        9.30         6.14         3.16
 
  14 15 44 21      0   0      659.05       329.27       329.78
  14  9 06 11     16   2       12.36         9.13         3.23
  14  9 10 17     16   1      378.06       372.79         5.27
  14  9 14 29     16   4      435.79       430.75         5.12
  14  9 18 40     16   3       11.50         9.17         2.33
  14  9 22 42     60   3       11.90         7.01         4.89
  14  9 26 57     60   2        9.69         6.13         3.56
  14  9 31 06     60   1      322.23       270.95        51.28
  14  9 35 23     60   4      324.05       268.53        55.52
  14  9 39 19     38   4      443.42       265.59       177.83
  14  9 43 26     38   3       11.19         6.12         1.78
  14  9 47 53     38   2       10.96         2.17         5.06
  14  9 52 01     38   1      383.69       213.87       169.82
  14  9 55 53     22   1      404.89       391.24        13.65
  14 10 00 17     22   4      434.76       388.69        15.56
  14 10 04 36     22   3       11.37         9.19         2.18
  14 10 09 04     22   2       12.12         9.35         2.77
  14 10 13 03     48   2       13.28         9.91         3.37
  14 10 17 29     48   1      458.90       441.55        17.36
  14 10 22 00     48   4      508.24       492.58        15.90
  14 10 26 31     48   3       11.71         9.56         2.15
  14 10 30 44     20   3       25.38        16.25         9.13
  14 10 35 16     20   2       10.06         7.19         2.87
  14 10 39 26     20   1      365.10       352.97        12.13
  14 10 44 01     20   4      381.03       373.45         7.59
  14 10 48 01     17   4      399.48       241.66       157.82
  14 10 52 33     17   3       11.05         6.35         4.70
  14 10 57 11     17   2       10.44         5.17         5.27
  14 11 01 42     17   1      403.26       233.11       170.16
  14 11 05 41     37   1      393.37       378.76        14.61
  14 11 10 12     37   4      433.65       416.22        17.43
  14 11 14 39     37   3       13.24        10.33         2.91
  14 11 19 19     37   2       10.59         8.38         2.20
  14 11 23 20     33   2       16.77        10.87         5.91
  14 11 28 10     33   1      467.66       460.13         7.53
  14 11 33 11     33   4      428.55       422.27         6.27
  14 11 38 09     33   3       15.17        12.04         3.13
  14 11 54 33      1   3       19.43        11.49         7.93
  14 11 58 43      1   2       13.73        10.34         3.40
  14 12 03 49      1   1      504.16       497.70         6.46
  14 12 08 11      1   4      516.01       506.60         9.56
  14 12 20 03     34   4        7.00         3.67         3.33
  14 12 24 12     34   3       11.00         8.78         2.23
  14 12 28 29     34   2       12.27         9.05         3.22
  14 12 32 41     34   1      323.74       311.56        12.17
  14 12 37 30     31   1      346.30       260.88        85.42
  14 12 41 45     31   4      412.87       288.14       124.73
  14 12 45 55     31   3       11.76         6.98         3.08
  14 12 50 14     31   2       10.60         2.03         4.38
  14 12 57 57      7   2       10.78         6.93         3.85
  14 13 02 14      7   1      324.32       259.06        65.26
  14 13 06 39      7   4      369.68       292.41        78.30
  14 13 11 06      7   3       11.58         6.97         4.61
  14 13 16 39     54   3       15.39        10.36         5.03
  14 13 21 04     54   2       14.57        10.55         4.02
  14 13 25 25     54   1      559.76       541.05        18.72
  14 13 29 59     54   4      470.79       464.32         6.47
  14 13 34 58     21   4      450.75       429.35        21.40
  14 13 39 28     21   3       12.80        10.19         2.61
  14 13 44 12     21   2       15.70        10.65         5.05
  14 13 48 45     21   1      418.86       409.10         9.76
  14 13 53 46     28   1      344.12       246.50        97.62
  14 13 58 31     28   4      345.86       248.86        97.00
  14 14 02 41     28   3       10.39         6.75         3.64
  14 14 07 01     28   2       10.38         5.54         4.84
  14 14 11 49     51   2       11.59         7.15         4.44
  14 14 15 58     51   1      380.25       314.35        65.90
  14 14 22 24     51   4      405.37       342.96        62.41
  14 14 26 51     51   3        9.48         7.11         2.37
  14 14 32 14     25   3       11.30         5.88         5.42
  14 14 36 38     25   2       10.43         5.66         4.77
  14 14 40 44     25   1      375.70       252.63       123.07
  14 14 44 52     25   4      694.17       329.54       364.64
 
  15  8 55 07      0   0      661.57       331.45       330.12
  15  9 19 25     56   4      289.64       284.58         5.13
  15  9 23 08     56   3       10.75         8.25         2.50
  15  9 26 59     56   2       10.56         8.36         2.20
  15  9 30 46     56   1      319.98       311.23         8.75
  15  9 34 38     10   1      299.74       161.14       138.61
  15  9 38 52     10   4      291.82       124.90       166.92
  15  9 42 59     10   3       11.38         5.19         6.19
  15  9 47 15     10   2        9.65         4.72         4.93
  15  9 51 30     13   2        9.52          .99         5.09
  15  9 55 36     13   1      222.91       100.56       122.35
  15  9 59 49     13   4      213.58       100.94       112.65
  15 10 03 55     13   3        9.72         4.78         1.75
  15 10 07 54     58   3       11.07         6.42         4.66
  15 10 12 11     58   2       10.25         6.41         3.84
  15 10 16 27     58   1      279.98       200.73        79.24
  15 10 20 51     58   4      273.26       191.38        82.94
  15 10 24 46     40   4      405.18       396.00         9.18
  15 10 29 10     40   3       14.47        11.01         3.46
  15 10 33 40     40   2       11.77         9.18         2.59
  15 10 38 09     40   1      427.57       416.71        10.86
  15 10 42 12      6   1      233.05        98.75       134.30
  15 10 46 26      6   4      243.04       130.30       112.74
  15 10 50 35      6   3        9.24         4.53         4.70
  15 10 54 48      6   2        8.65         3.97         4.68
  15 10 58 46     18   2       11.23         8.85         2.38
  15 11 03 34     18   1      286.94       273.64        13.30
  15 11 08 04     18   4      288.65       274.04        14.61
  15 11 12 29     18   3        9.94         8.00         1.94
  15 11 18 01     52   3       14.58         7.67         6.91
  15 11 22 20     52   2        9.09         5.29         3.80
  15 11 26 32     52   1      316.35       205.24       111.11
  15 11 30 49     52   4      373.88       222.82       151.06
  15 11 35 15     19   4      278.63       265.78        12.84
  15 11 39 23     19   3       10.64         8.22         2.41
  15 11 43 43     19   2       10.15         7.92         2.23
  15 11 47 53     19   1      284.27       270.21        14.07
  15 12 03 19     26   1      368.24       356.51        11.73
  15 12 07 37     26   4      373.21       362.86        10.53
  15 12 11 59     26   3       12.41         9.18         3.23
  15 12 57 17     26   2       10.47         8.28         2.19
  15 13 02 17      3   2       12.29         9.03         3.26
  15 13 06 17      3   1      279.78       270.17         9.61
  15 13 10 25      3   4      254.22       240.62        13.60
  15 13 14 38      3   3       12.15         9.16         2.99
  15 13 19 33     24   3       11.35         8.33         1.83
  15 13 23 54     24   2       10.97         8.36         2.61
  15 13 28 05     24   1      316.49       302.36        14.13
  15 13 32 24     24   4      299.05       282.55        16.50
  15 13 37 16     23   4      248.23       206.07        43.18
  15 13 41 13     23   3       11.48         6.99         4.49
  15 13 45 19     23   2       11.78         7.73         4.06
  15 13 49 19     23   1      242.47       197.33        45.14
  15 13 53 24     64   1      224.32       181.47        42.85
  15 13 57 58     64   4      242.55       194.97        47.58
  15 14 02 23     64   3        9.52         6.45         3.07
  15 14 06 53     64   2        9.02         6.28         2.74
  15 14 10 56     47   2       10.71         8.24         2.47
  15 14 15 02     47   1      317.60       299.20        18.40
  15 14 19 13     47   4      337.52       317.20        20.32
  15 14 23 18     47   3       11.34         8.71         2.64
  15 14 27 27     32   3        9.93         4.48         5.45
  15 14 31 35     32   2        9.85         4.63         5.23
  15 14 36 17     32   1      233.81       105.50       128.31
  15 14 41 41     32   4      261.93       169.58        92.35
  15 14 46 01     50   4      301.19       284.91        16.28
  15 14 52 02     50   3       11.34         8.66         2.68
  15 14 56 32     50   2       10.43         8.14         2.29
  15 15 01 09     50   1      308.81       290.74        18.07
  15 15 05 57     43   1      345.54       336.71         8.83
  15 15 10 47     43   4      360.34       353.49         6.85
  15 15 23 18     43   3       10.49         8.03         2.46
  15 15 27 56     43   2       10.31         7.73         2.58
 
  16   8 59 18      0   0      661.60       329.25       332.35
  16   9 16 20     29   2       12.69         9.52         3.17
  16   9 20 03     29   1      458.56       449.76         8.80
  16   9 23 53     29   4      409.37       403.19         6.27
  16   9 27 41     29   3       12.44         9.81         2.63
  16   9 31 33      5   3       12.75         5.99         6.76
  16   9 35 47      5   2       10.21         4.64         5.57
  16   9 39 56      5   1      385.28       189.80       195.48
  16   9 44 11      5   4      384.31       219.18       165.13
  16   9 49 20      8   4      388.60       224.97       163.63
  16   9 53 25      8   3        9.81         5.65         1.38
  16   9 58 12      8   2       10.53         6.41         4.13
  16  10 02 25      8   1      374.14       265.70       108.43
  16  10 06 58      9   1      411.93       306.00       105.93
  16  10 11 15      9   4      425.96       293.92       134.48
  16  10 15 31      9   3       10.46         7.14         3.32
  16  10 19 50      9   2       11.90         7.47         4.43
  16  10 24 12     61   2       12.14         9.16         2.99
  16  10 28 26     61   1      434.98       427.95         7.03
  16  10 32 50     61   4      378.88       372.53         6.36
  16  10 37 11     61   3       13.82        10.59         3.22
  16  10 40 54      4   3       10.83         6.30         4.53
  16  10 45 14      4   2        9.52         5.33         4.20
  16  10 49 17      4   1      340.91       218.26       122.65
  16  10 53 28      4   4      375.99       226.93       149.06
  16  12 13 58     44   4      456.69       440.04        16.66
  16  12 17 56     44   3       11.14         9.19         1.96
  16  12 22 05     44   2       12.96        10.22         2.74
  16  12 26 06     44   1      439.94       424.67        15.27
  16  12 31 07     62   1      352.14       260.81        91.33
  16  12 35 16     62   4      342.41       256.37        86.04
  16  12 39 11     62   3        9.08         6.11         2.97
  16  12 43 14     62   2        8.52         6.02         2.50
  16  13 01 51     27   2        9.72         7.82         1.89
  16  13 05 43     27   1      327.49       315.63        11.86
  16  13 09 42     27   4      331.07       319.24        11.83
  16  13 13 43     27   3        9.68         7.78         1.91
  16  13 39 54     15   3       14.49        11.66         2.83
  16  13 44 04     15   2       11.86         9.55         2.31
  16  13 48 13     15   1      550.31       539.88        10.43
  16  13 52 31     15   4      587.93       574.74        13.40
  16  13 56 38     41   4      472.66       463.48         9.17
  16  14 00 51     41   3       11.81         9.35         2.46
  16  14 05 14     41   2       10.90         8.62         2.28
  16  14 09 34     41   1      493.09       480.89        12.20
  16  14 13 24     66   1      370.24       362.88         7.36
  16  14 17 55     66   4      379.46       369.45        10.02
  16  14 22 22     66   3       11.76         9.07         1.61
  16  14 27 09     66   2       13.01        10.27         2.74
  16  14 31 16     12   2       11.33         7.30         4.03
  16  14 35 25     12   1      325.99       271.79        54.20
  16  14 39 36     12   4      380.96       319.36        63.07
  16  14 43 39     12   3       11.33         7.62         3.71
  16  14 49 38     53   3       10.17         6.65         3.52
  16  14 54 09     53   2       10.44         7.72         2.72
  16  14 58 33     53   1      380.61       315.30        65.31
  16  15 03 06     53   4      395.43       330.56        64.86
  16  15 07 06     35   4      400.87       385.65        15.22
  16  15 11 15     35   3       12.44         9.83         2.61
  16  15 15 31     35   2       11.48         8.62         2.85
  16  15 19 37     35   1      414.19       398.97        15.22
  16  15 23 23     30   1      435.76       222.46       213.30
  16  15 27 37     30   4      454.62       253.89       200.73
  16  15 31 47     30   3       12.38         6.03         6.34
  16  15 36 01     30   2       10.59         4.83         5.76
  16  15 39 48     36   2       13.09        10.14         2.95
  16  15 44 24     36   1      387.18       373.82        13.36
  16  15 49 05     36   4      369.32       356.35        12.96
  16  15 53 34     36   3       11.95         9.44         2.51
  16  15 58 59     55   3       19.87        12.25         7.62
  16  16 03 49     55   2       13.46         9.91         3.55
  16  16 08 47     55   1      372.10       367.60         4.50
  16  16 14 07     55   4      330.56       324.85         5.71
 
  17  9:33:23     33   4      376.43       291.26        86.36
  17  9:37:21     33   3        9.95         6.35         3.61
  17  9:41:29     33   2        9.33         6.98         2.36
  17  9:45:32     33   1      410.88       319.00        91.88
  17  9:52:08     51   1      123.46         3.50       119.96
  17  9:56:36     51   4      471.24       322.34       148.90
  17 10:00:39     51   3        9.79         6.82         2.98
  17 10:04:47     51   2       10.44         6.05         4.39
  17 10:09:28     21   2       13.26         9.99         3.28
  17 10:13:40     21   1      421.73       407.50        14.23
  17 10:18:01     21   4      429.57       414.42        15.15
  17 10:22:15     21   3       11.33         9.45         1.14
  17 10:29:30     28   3       21.99        14.84         7.15
  17 10:33:38     28   2       18.16        13.44         4.72
  17 10:37:48     28   1      434.93       428.45         6.48
  17 10:42:08     28   4      434.83       427.78         7.04
  17 10:46:37     20   4      348.76       239.34       109.41
  17 10:50:56     20   3       10.66         6.73         3.93
  17 10:55:19     20   2       10.07         5.77         4.30
  17 10:59:36     20   1      313.60       189.22       124.37
  17 11:06:20     54   1      384.63       192.59       192.05
  17 11:10:39     54   4      387.97       264.86       123.11
  17 11:14:54     54   3       10.06         4.98         5.08
  17 11:19:19     54   2        9.92         5.56         4.37
  17 11:23:56     48   2       15.12        11.12         4.00
  17 11:28:31     48   1      486.40       476.21        10.19
  17 11:33:15     48   4      507.01       498.80         8.22
  17 11:38:01     48   3       14.01        10.75         3.26
  17 11:42:53      1   3       14.00         8.20         5.80
  17 11:47:26      1   2       10.74         6.00         4.74
  17 11:51:57      1   1      368.90       306.96        61.94
  17 11:56:27      1   4      362.09       303.37        58.72
  17 12:00:47     17   4      430.40       415.23        15.17
  17 12:04:24     17   3       12.45         9.89         2.56
  17 12:09:09     17   2       12.78         9.71         3.08
  17 12:12:49     17   1      420.06       404.69        15.37
  17 12:40:12     22   1      379.80       237.97       141.83
  17 12:45:13     22   4      411.74       175.55       239.62
  17 12:49:25     22   3       11.19         5.20         5.99
  17 12:53:55     22   2       10.34         5.05         5.29
  17 12:58:52     34   2       11.25         5.66         5.59
  17 13:03:12     34   1      413.05       407.57         5.47
  17 13:07:39     34   4      464.86       459.65         5.21
  17 13:12:06     34   3       13.66        10.77         2.88
  17 13:17:18     38   3       12.59        10.03         1.53
  17 13:21:51     38   2       12.22         9.51         2.72
  17 13:40:29     38   1      448.82       428.64        20.18
  17 13:44:47     38   4      515.49       496.30        19.19
  17 13:51:05     37   4      370.93       197.13       173.80
  17 14:09:39     37   3       10.33         4.41         5.92
  17 14:14:06     37   2        9.81         4.72         5.09
  17 14:18:02     37   1      344.13       227.48       116.65
  17 14:22:10     60   1      434.46       426.74         7.71
  17 14:26:17     60   4      476.61       463.68        12.93
  17 14:30:24     60   3       13.41        10.57         2.83
  17 14:34:45     60   2       12.80         9.89         2.91
  17 14:38:49      7   2       10.66         5.72         4.95
  17 14:42:51      7   1      323.58       205.11       118.47
  17 14:46:56      7   4      363.69       203.95       159.74
  17 14:50:55      7   3        9.98         5.54         4.44
  17 14:55:07     25   3       15.29        10.68         4.61
  17 14:59:49     25   2       13.47         9.82         3.65
  17 15:04:31     25   1      401.93       393.55         8.38
  17 15:09:52     25   4      500.71       469.62        31.09
  17 15:14:48     31   4      365.78       300.00        65.78
  17 15:20:50     31   2       14.04         7.83         6.21
  17 15:25:06     31   1      336.39       284.73        51.66
  17 15:29:20     31   3        9.65         6.73         2.92
  17 15:34:02     16   3       12.67         9.48         3.20
  17 15:38:17     16   2       11.53         8.39         3.14
  17 15:42:44     16   1      352.01       337.96        14.06
  17 15:47:01     16   4      407.02       391.29        15.73
 
  18  15 41 39      0   0      657.24       329.36       327.89 "
  18   9 57 44     24   4      280.83       184.66        98.59 "
  18  10 01 32     24   3        9.26         6.52         2.74 "
  18  10 05 28     24   2        8.94         6.01         2.93 "
  18  10 09 19     24   1      291.88       202.17        89.70 "
  18  10 13 19     19   1      318.47       299.56        18.91 "
  18  10 17 28     19   4      311.26       295.39        15.87 "
  18  10 21 33     19   3        9.53         7.75         1.78 "
  18  10 25 45     19   2       10.01         7.96         2.06 "
  18  10 30 03     52   2        9.40         7.33         2.07 "
  18  10 35 00     52   1      321.83       307.39        14.44 "
  18  10 39 15     52   4      345.83       330.25        15.58 "
  18  10 43 32     52   3       11.66         8.97         2.69 "
  18  10 47 39     13   3       12.85         9.74         3.11 "
