THIS IS DATAPLOT DATA FILE LOTTERY3.DAT
MARYLAND "PICK 3" LOTTERY NUMBERS
SEPTEMBER 3, 1989 TO APRIL 14, 1990 (32 WEEKS)
NUMBER OF DATA POINTS = 218
ORDER OF VARIABLES--
   1. LOTTERY NUMBER (3-DIGIT)
   2. MONTH
   3. DAY OF MONTH
   4. YEAR
   5. WEEK (1 TO 32)
TO READ THIS FILE INTO DATAPLOT (& ANALYZE)--
   SKIP 25
   READ LOTTERY3.DAT Y MONTH DAY YEAR WEEK
   X3LABEL AUTOMATIC; 4-PLOT Y
   UNIFORM PROBABILITY PLOT Y
   CHARACTERS X ALL; PLOT Y WEEK WEEK
   CHAR BOX PLOT; LINES BOX PLOT; BOX PLOT Y WEEK
   CHAR CONTROL CHART; LINES CONTROL CHART
   MEAN CONTROL CHART Y WEEK
   RANGE CONTROL CHART Y WEEK
   AUTOCORRELATION PLOT Y
   GRID ON; MIDRANGE PLOT Y WEEK
   AUTOCORRELATION STATISTIC PLOT Y WEEK
NUMBER   MONTH    DAY    YEAR    WEEK
 522      11      14      89      11
  97      11      15      89      11
 762      11      16      89      11
 431      11      17      89      11
 158      11      18      89      11
 429      11      19      89      11
 414      11      20      89      12
  22      11      21      89      12
 629      11      22      89      12
 788      11      23      89      12
 999      11      24      89      12
 187      11      25      89      12
 215      11      26      89      12
 810      11      27      89      13
 782      11      28      89      13
  47      11      29      89      13
  34      11      30      89      13
 108      12       1      89      13
 986      12       2      89      13
  25      12       3      89      13
 644      12       4      89      14
 829      12       5      89      14
 630      12       6      89      14
 315      12       7      89      14
 567      12       8      89      14
 919      12       9      89      14
 331      12      10      89      14
 207      12      11      89      15
 412      12      12      89      15
 242      12      13      89      15
 607      12      14      89      15
 668      12      15      89      15
 944      12      16      89      15
 749      12      17      89      15
 168      12      18      89      16
 864      12      19      89      16
 442      12      20      89      16
 533      12      21      89      16
 805      12      22      89      16
 372      12      23      89      16
  63      12      24      89      16
 458      12      26      89      17
 777      12      27      89      17
 416      12      28      89      17
 340      12      29      89      17
 436      12      30      89      17
 140      12      31      89      17
 919       1       2      90      18
 350       1       3      90      18
 510       1       4      90      18
 572       1       5      90      18
 905       1       6      90      18
 900       1       7      90      18
  85       1       8      90      19
 389       1       9      90      19
 473       1      10      90      19
 758       1      11      90      19
 444       1      12      90      19
 169       1      13      90      19
 625       1      14      90      19
 692       1      15      90      20
 140       1      16      90      20
 897       1      17      90      20
 672       1      18      90      20
 288       1      19      90      20
 312       1      20      90      20
 860       1      21      90      20
 724       1      22      90      21
 226       1      23      90      21
 884       1      24      90      21
 508       1      25      90      21
 976       1      26      90      21
 741       1      27      90      21
 476       1      28      90      21
 417       1      29      90      22
 831       1      30      90      22
  15       1      31      90      22
 318       2       1      90      22
 432       2       2      90      22
 241       2       3      90      22
 114       2       4      90      22
 799       2       5      90      23
 955       2       6      90      23
 833       2       7      90      23
 358       2       8      90      23
 935       2       9      90      23
 146       2      10      90      23
 630       2      11      90      23
 830       2      12      90      24
 440       2      13      90      24
 642       2      14      90      24
 356       2      15      90      24
 373       2      16      90      24
 271       2      17      90      24
 715       2      18      90      24
 367       2      19      90      25
 393       2      20      90      25
 190       2      21      90      25
 669       2      22      90      25
   8       2      23      90      25
 861       2      24      90      25
 108       2      25      90      25
 795       2      26      90      26
 269       2      27      90      26
 590       2      28      90      26
 326       3       1      90      26
 866       3       2      90      26
  64       3       3      90      26
 523       3       4      90      26
 862       3       5      90      27
 840       3       6      90      27
 219       3       7      90      27
 382       3       8      90      27
 998       3       9      90      27
   4       3      10      90      27
 628       3      11      90      27
 305       3      12      90      28
 747       3      13      90      28
 247       3      14      90      28
  34       3      15      90      28
 747       3      16      90      28
 729       3      17      90      28
 645       3      18      90      28
 856       3      19      90      29
 974       3      20      90      29
  24       3      21      90      29
 568       3      22      90      29
  24       3      23      90      29
 694       3      24      90      29
 608       3      25      90      29
 480       3      26      90      30
 410       3      27      90      30
 729       3      28      90      30
 947       3      29      90      30
 293       3      30      90      30
  53       3      31      90      30
 930       4       1      90      30
 223       4       2      90      31
 203       4       3      90      31
 677       4       4      90      31
 227       4       5      90      31
  62       4       6      90      31
 455       4       7      90      31
 387       4       8      90      31
 318       4       9      90      32
 562       4      10      90      32
 242       4      11      90      32
 428       4      12      90      32
 968       4      14      90      32
