THIS IS DATAPLOT DATA FILE     LASHMORE.DAT
ELECTRO-DEPOSITION & RESISITIVITY
DECEMBER 1993
RESPONSE VARIABLE = PERCENT CHANGE IN ...
NUMBER OF OBSERVATIONS = 312
NUMBER OF VARIABLES PER LINE IMAGE = 2
ORDER OF VARIABLES ON A LINE IMAGE--
   1. RESPONSE VARIABLE Y = PERCENT CHANGE IN ...
   2. FACTOR 1 = FIELD STRENGTH
PROBLEM CLASSIFICATION--MODELING
TO READ THIS INTO DATAPLOT (AND FIT)--
   SKIP 25
   READ LASHMORE.DAT Y X
   PLOT Y X
   RETAIN Y X FOR I = 1 1 70
   RETAIN Y X SUBSET X > 0
   LET X2 = 1/SQRT(X)
   QUADRATIC FIT Y X2
   PLOT Y PRED VERSUS X
   PLOT RES X
 
 
 
    Y           X          X2         X3         X4
  -1.431861   -0.09764   -1.52663   -77.6995  0.1056290
  -1.433168   -0.10088   -1.56904   -80.2778  0.1056276
  -1.441087   -0.10372   -1.61144   -82.5378  0.1056192
  -1.478040   -0.10700   -1.65385   -85.1479  0.1055796
  -1.493871   -0.10982   -1.69626   -87.3920  0.1055626
  -1.488594   -0.10984   -1.69626   -87.4079  0.1055682
  -1.578323   -0.14098   -2.12032  -112.1884  0.1054721
  -1.683898   -0.17120   -2.54439  -136.2367  0.1053590
  -1.710296   -0.20156   -2.96845  -160.3964  0.1053307
  -1.749891   -0.23110   -3.39252  -183.9036  0.1052882
  -1.749891   -0.26054   -3.81658  -207.3312  0.1052882
  -1.815878   -0.29000   -4.24065  -230.7747  0.1052175
  -1.794756   -0.31866   -4.66471  -253.5817  0.1052402
  -1.831709   -0.34694   -5.08878  -276.0862  0.1052006
  -1.842276   -0.37504   -5.51284  -298.4474  0.1051892
  -1.839641   -0.40228   -5.93690  -320.1244  0.1051921
  -1.856786   -0.42922   -6.36097  -341.5626  0.1051737
  -1.869975   -0.45514   -6.78504  -362.1890  0.1051595
  -1.873938   -0.48068   -7.20910  -382.5131  0.1051553
  -1.877894   -0.50486   -7.63316  -401.7550  0.1051511
  -1.881850   -0.52818   -8.05723  -420.3125  0.1051468
  -1.897688   -0.55080   -8.48129  -438.3129  0.1051298
  -1.906928   -0.57196   -8.90536  -455.1515  0.1051199
  -1.908249   -0.59206   -9.32942  -471.1466  0.1051185
  -1.925415   -0.61130   -9.75349  -486.4573  0.1051001
  -1.910884   -0.62924  -10.17755  -500.7335  0.1051157
  -1.941246   -0.64608  -10.60162  -514.1343  0.1050832
  -1.943895   -0.66218  -11.02568  -526.9463  0.1050803
  -1.947844   -0.67712  -11.44975  -538.8351  0.1050761
  -1.939918   -0.69134  -11.87381  -550.1511  0.1050846
  -1.939918   -0.70458  -12.29788  -560.6872  0.1050846
  -1.947844   -0.71726  -12.72194  -570.7776  0.1050761
  -1.947844   -0.72914  -13.14600  -580.2314  0.1050761
  -1.947844   -0.74036  -13.57007  -589.1600  0.1050761
  -1.947844   -0.75114  -13.99413  -597.7385  0.1050761
  -1.947844   -0.76128  -14.41820  -605.8076  0.1050761
  -1.947844   -0.77076  -14.84226  -613.3516  0.1050761
  -1.947844   -0.77990  -15.26633  -620.6249  0.1050761
  -1.947844   -0.78846  -15.69039  -627.4368  0.1050761
  -1.947844   -0.79652  -16.11446  -633.8507  0.1050761
  -1.947844   -0.80424  -16.53852  -639.9941  0.1050761
  -1.947844   -0.81144  -16.96259  -645.7237  0.1050761
  -1.947844   -0.81144  -17.38665  -645.7237  0.1050761
  -1.947844   -0.81146  -16.96259  -645.7396  0.1050761
  -1.947844   -0.80476  -16.53852  -640.4079  0.1050761
  -1.947844   -0.79756  -16.11446  -634.6783  0.1050761
  -1.947844   -0.79004  -15.69039  -628.6941  0.1050761
  -1.947844   -0.78208  -15.26633  -622.3597  0.1050761
  -1.947844   -0.77352  -14.84226  -615.5479  0.1050761
  -1.947844   -0.76464  -14.41820  -608.4814  0.1050761
  -1.947844   -0.75520  -13.99413  -600.9693  0.1050761
  -1.947844   -0.74510  -13.57007  -592.9320  0.1050761
  -1.947844   -0.73462  -13.14601  -584.5922  0.1050761
  -1.947844   -0.72352  -12.72194  -575.7592  0.1050761
  -1.947844   -0.71170  -12.29788  -566.3531  0.1050761
  -1.947844   -0.69940  -11.87381  -556.5651  0.1050761
  -1.947844   -0.68618  -11.44975  -546.0449  0.1050761
  -1.947844   -0.67234  -11.02568  -535.0314  0.1050761
  -1.939932   -0.65746  -10.60162  -523.1902  0.1050846
  -1.932013   -0.64190  -10.17755  -510.8080  0.1050931
  -1.924087   -0.62532   -9.75349  -497.6140  0.1051016
  -1.920138   -0.60744   -9.32942  -483.3856  0.1051058
  -1.913526   -0.58866   -8.90536  -468.4409  0.1051129
  -1.910884   -0.56878   -8.48129  -452.6209  0.1051157
  -1.900337   -0.54742   -8.05723  -435.6232  0.1051270
  -1.889769   -0.52522   -7.63316  -417.9569  0.1051383
  -1.881850   -0.50204   -7.20910  -399.5109  0.1051468
  -1.881850   -0.47738   -6.78504  -379.8871  0.1051468
  -1.866019   -0.45224   -6.36097  -359.8813  0.1051638
  -1.850188   -0.42600   -5.93691  -339.0002  0.1051807
  -1.826432   -0.39944   -5.51284  -317.8644  0.1052062
  -1.833030   -0.37198   -5.08878  -296.0124  0.1051991
  -1.815878   -0.34434   -4.66471  -274.0172  0.1052175
  -1.794756   -0.31632   -4.24065  -251.7196  0.1052402
  -1.763080   -0.28746   -3.81658  -228.7535  0.1052741
  -1.749891   -0.25862   -3.39252  -205.8033  0.1052882
  -1.749891   -0.22950   -2.96845  -182.6304  0.1052882
  -1.706340   -0.19934   -2.54439  -158.6298  0.1053349
  -1.683898   -0.16904   -2.12033  -134.5178  0.1053590
  -1.582279   -0.13792   -1.69626  -109.7533  0.1054678
  -1.578323   -0.13790   -1.69626  -109.7374  0.1054721
  -1.578323   -0.13518   -1.65385  -107.5729  0.1054721
  -1.578323   -0.13194   -1.61145  -104.9946  0.1054721
  -1.578323   -0.12908   -1.56904  -102.7186  0.1054721
  -1.578323   -0.12584   -1.52663  -100.1403  0.1054721
  -1.575688   -0.12302   -1.48423   -97.8962  0.1054749
  -1.567776   -0.11980   -1.44182   -95.3338  0.1054834
  -1.554567   -0.11642   -1.39941   -92.6441  0.1054975
  -1.551932   -0.11352   -1.35701   -90.3364  0.1055004
  -1.540050   -0.11060   -1.31460   -88.0127  0.1055131
  -1.536094   -0.10734   -1.27219   -85.4185  0.1055173
  -1.507067   -0.10394   -1.22979   -82.7129  0.1055484
  -1.491236   -0.10106   -1.18738   -80.4210  0.1055654
  -1.485959   -0.09774   -1.14497   -77.7791  0.1055711
  -1.454276   -0.09492   -1.10257   -75.5350  0.1056050
  -1.441080   -0.09158   -1.06016   -72.8771  0.1056192
  -1.419972   -0.08866   -1.01776   -70.5534  0.1056418
  -1.416009   -0.08534   -0.97535   -67.9114  0.1056460
  -1.384341   -0.08246   -0.93294   -65.6196  0.1056800
  -1.377743   -0.07910   -0.89054   -62.9458  0.1056870
  -1.353972   -0.07580   -0.84813   -60.3198  0.1057125
  -1.330229   -0.07294   -0.80572   -58.0438  0.1057380
  -1.293283   -0.07008   -0.76332   -55.7679  0.1057775
  -1.287999   -0.06684   -0.72091   -53.1896  0.1057832
  -1.261600   -0.06342   -0.67850   -50.4680  0.1058115
  -1.222020   -0.06052   -0.63610   -48.1603  0.1058539
  -1.222020   -0.05718   -0.59369   -45.5024  0.1058539
  -1.156026   -0.05432   -0.55128   -43.2265  0.1059246
  -1.152070   -0.05092   -0.50888   -40.5209  0.1059289
  -1.108533   -0.04804   -0.46647   -38.2290  0.1059755
  -1.092689   -0.04476   -0.42407   -35.6189  0.1059925
  -1.024074   -0.04190   -0.38166   -33.3430  0.1060660
  -1.016148   -0.03858   -0.33925   -30.7010  0.1060745
  -0.958074   -0.03524   -0.29685   -28.0431  0.1061368
  -0.898699   -0.03236   -0.25444   -25.7513  0.1062004
  -0.852499   -0.02946   -0.21203   -23.4435  0.1062499
  -0.786527   -0.02612   -0.16963   -20.7856  0.1063206
  -0.756165   -0.02282   -0.12722   -18.1596  0.1063531
  -0.654547   -0.01996   -0.08481   -15.8837  0.1064620
  -0.588574   -0.01666   -0.04241   -13.2576  0.1065327
  -0.517317   -0.01364    0.00000   -10.8544  0.1066091
  -0.449996   -0.01090    0.04241    -8.6739  0.1066812
  -0.364223   -0.00764    0.08481    -6.0797  0.1067732
  -0.258648   -0.00484    0.12722    -3.8516  0.1068863
  -0.126675   -0.00154    0.16962    -1.2255  0.1070277
  -0.034304    0.00180    0.21203     1.4324  0.1071267
   0.139885    0.00466    0.25444     3.7083  0.1073134
   0.335203    0.00752    0.29684     5.9842  0.1075227
   0.567466    0.01078    0.33925     8.5785  0.1077716
   0.979216    0.01406    0.38166    11.1886  0.1082128
   1.479375    0.01688    0.42406    13.4327  0.1087488
   1.921459    0.02012    0.46647    16.0110  0.1092226
   1.871310    0.02296    0.50888    18.2710  0.1091688
   1.384361    0.02630    0.55128    20.9289  0.1086470
   0.863081    0.02912    0.59369    23.1730  0.1080884
   0.360274    0.03240    0.63610    25.7831  0.1075496
   0.029048    0.03526    0.67850    28.0590  0.1071946
  -0.285040    0.03862    0.72091    30.7328  0.1068580
  -0.496196    0.04178    0.76332    33.2475  0.1066317
  -0.588574    0.04458    0.80572    35.4757  0.1065327
  -0.760128    0.04738    0.84813    37.7038  0.1063489
  -0.852499    0.05066    0.89053    40.3140  0.1062499
  -0.926412    0.05394    0.93294    42.9241  0.1061707
  -1.020111    0.05676    0.97535    45.1682  0.1060703
  -1.057064    0.06002    1.01775    47.7624  0.1060307
  -1.113810    0.06288    1.06016    50.0383  0.1059699
  -1.156026    0.06614    1.10257    52.6326  0.1059246
  -1.215422    0.06892    1.14497    54.8448  0.1058610
  -1.222020    0.07216    1.18738    57.4231  0.1058539
  -1.287999    0.07498    1.22979    59.6672  0.1057832
  -1.293283    0.07830    1.27219    62.3092  0.1057775
  -1.314398    0.08150    1.31460    64.8557  0.1057549
  -1.353972    0.08436    1.35701    67.1316  0.1057125
  -1.377743    0.08720    1.39941    69.3916  0.1056870
  -1.419972    0.09052    1.44182    72.0335  0.1056418
  -1.419972    0.09366    1.48423    74.5323  0.1056418
  -1.419972    0.09644    1.52663    76.7445  0.1056418
  -1.466158    0.09964    1.56904    79.2910  0.1055923
  -1.485959    0.10244    1.61144    81.5192  0.1055711
  -1.499148    0.10570    1.65385    84.1134  0.1055569
  -1.512351    0.10850    1.69626    86.3416  0.1055428
  -1.520263    0.10850    1.69626    86.3416  0.1055343
  -1.591526    0.13934    2.12032   110.8833  0.1054579
  -1.691830    0.16926    2.54439   134.6929  0.1053504
  -1.749891    0.19934    2.96845   158.6298  0.1052882
  -1.776276    0.22864    3.39252   181.9460  0.1052600
  -1.776276    0.25780    3.81658   205.1508  0.1052600
  -1.807959    0.28702    4.24065   228.4034  0.1052260
  -1.821155    0.31542    4.66471   251.0034  0.1052119
  -1.818506    0.34344    5.08878   273.3010  0.1052147
  -1.854144    0.37134    5.51284   295.5031  0.1051765
  -1.869968    0.39836    5.93690   317.0049  0.1051596
  -1.884492    0.42512    6.36097   338.2999  0.1051440
  -1.881850    0.45084    6.78504   358.7672  0.1051468
  -1.895053    0.47628    7.20910   379.0117  0.1051327
  -1.908256    0.50034    7.63316   398.1581  0.1051185
  -1.908256    0.52360    8.05723   416.6678  0.1051185
  -1.916175    0.54618    8.48129   434.6364  0.1051100
  -1.916168    0.56734    8.90536   451.4750  0.1051100
  -1.939932    0.58742    9.32942   467.4542  0.1050846
  -1.943881    0.60672    9.75349   482.8126  0.1050803
  -1.947844    0.62474   10.17755   497.1525  0.1050761
  -1.947844    0.64166   10.60162   510.6170  0.1050761
  -1.947844    0.65784   11.02568   523.4927  0.1050761
  -1.947844    0.67286   11.44975   535.4452  0.1050761
  -1.947844    0.68716   11.87381   546.8248  0.1050761
  -1.950479    0.70046   12.29788   557.4086  0.1050733
  -1.953121    0.71322   12.72194   567.5627  0.1050704
  -1.955763    0.72520   13.14600   577.0961  0.1050676
  -1.972908    0.73646   13.57007   586.0565  0.1050492
  -1.971587    0.74734   13.99413   594.7145  0.1050507
  -1.971594    0.75754   14.41820   602.8314  0.1050506
  -1.982148    0.76712   14.84226   610.4550  0.1050393
  -1.994022    0.77636   15.26633   617.8079  0.1050266
  -1.990059    0.78498   15.69039   624.6675  0.1050309
  -2.005904    0.79314   16.11446   631.1610  0.1050139
  -2.007218    0.80092   16.53852   637.3521  0.1050125
  -1.997992    0.80822   16.96259   643.1613  0.1050224
  -1.982148    0.80820   -0.16362   643.1454  0.1050393
