ALARM.DAT
Column 1:  Instrument ID
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        6.        1.        0.
        2.        6.        1.        0.
        2.        6.        1.        0.
        2.        6.        1.        0.
        2.        6.        1.        0.
        2.        6.        1.        0.
        2.        1.        0.        0.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        3.        0.        0.
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        4.        0.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        5.        1.        1.
        2.        6.        1.        0.
        2.        6.        1.        0.
        2.        6.        1.        0.
        2.        6.        1.        0.
        2.        6.        1.        0.
        2.        6.        1.        0.
        3.        1.        0.        0.
        3.        2.        1.        1.
        3.        2.        1.        1.
        3.        2.        1.        1.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        6.        1.        0.
        3.        6.        1.        0.
        3.        6.        1.        0.
        3.        6.        1.        0.
        3.        6.        1.        0.
        3.        6.        1.        0.
        3.        1.        0.        0.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        3.        0.        0.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        4.        0.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        5.        1.        1.
        3.        6.        1.        0.
        3.        6.        1.        0.
        3.        6.        1.        0.
        3.        6.        1.        0.
        3.        6.        1.        0.
        3.        6.        1.        0.
