GROSS NATIONAL PRODUCT DATA
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
DAIRY/POUL MEAT/LVSTK COTTON GRAINS AG FOR/FISH AG/FOR/FISH IRON COPPER NON-FE/CU
  25763. 12241.  3783.  7451. 18163. 11189. 30109. 12582. 27075.  4513.
  25353. 11806.  3760.  7821. 17937. 10855. 31130. 12151. 24394.  4412.
  27171. 12380.  3942.  8202. 17909. 11578. 31709. 11545. 27316.  5426.
  27931. 13920.  4111.  8553. 17833. 12237. 32479. 11823. 28010.  4343.
TEXTILE HOSIERY APPAREL FABTEX LOGGING SAWMILLS MILLWORK WOODC FURN(H) NFURN(NH)
   3135.  4704. 25326.  4489.  5724. 10722.  9837.   949.  7177.  4131.
   3294.  5087. 26119.  4746.  5603. 10341. 10486.  1031.  7374.  4534.
   3203.  5381. 27165.  5174.  6041. 10580. 11405.  1064.  7310.  4755.
   3535.  5995. 27959.  5522.  6284. 10302. 11784.  1015.  7790.  4844.
   3656.  6587. 28025.  6286.  6073. 10205. 11084.   947.  7962.  5389.
   3301.  6773. 26073.  6188.  6840. 10598. 12112.   761.  7671.  4845.
   3578.  7549. 27266.  6773.  5400. 10135. 13423.   685.  8262.  4803.
   3769.  9230. 30013.  6925.  6430. 11844. 15680.   733.  9916.  5884.
   3620.  9645. 30876.  7125.  6694. 11331. 15156.   609. 10434.  6147.
   3401.  8263. 28822.  6039.  7358. 10884. 14540.   670.  9176.  5706.
   3187.  8422. 28514.  6333.  8156. 10322. 13839.   596.  8131.  4880.
   3675.  8691. 30058.  7000.  7891. 11494. 15283.   588.  9150.  5386.
   4147.  9312. 32114.  8098.  9128. 11776. 17573.   501. 10299.  6393.
   4451.  9475. 33093.  8303.  8776. 11737. 17826.   520. 10865.  6885.
   4479.  9252. 31092.  7747.  8778. 11996. 17397.   470. 10627.  6979.
   4001.  9014. 31308.  7274. 10746. 11742. 16022.   489.  9901.  7182.
   4083.  8547. 31858.  7503. 10111. 11006. 15672.   461.  9831.  7158.
   3919.  7899. 29743.  6775.  9264. 10087. 15497.   432.  9263.  7213.
   4679.  8570. 31480.  7630. 10983. 11956. 20040.   477. 10905.  7508.
   4833.  8520. 33712.  7516. 11172. 12939. 22115.   512. 11566.  9101.
PAPER BOXES NEWSPAP BOOKS PRINTING CHEM(IND) CHEM(AG) CHEM(NEC) PLAS FIBERS
  26137.  9195. 10740. 10562. 15766. 24137.  5694.  5568.  7328.  3215.
  28012.  9863. 10895. 11282. 16826. 25709.  6175.  6114.  8431.  3417.
  28156.  9943. 11274. 12395. 17011. 25412.  6545.  6585.  8282.  3419.
  29742. 10562. 11608. 12300. 17690. 27040.  6663.  7384.  9396.  4319.
  31891. 11033. 12179. 12717. 18514. 29633.  7385.  7534. 10602.  4223.
  30968. 10779. 11720. 11279. 18299. 29973.  6293.  6966. 10252.  3998.
  31424. 10717. 11771. 11490. 18209. 30567.  6256.  7260. 10976.  4484.
  33485. 11784. 12918. 11904. 20568. 33739.  7265.  7473. 11236.  4720.
  36613. 12579. 13210. 12757. 21562. 37281.  8141.  7596. 12168.  5805.
  38908. 12339. 13199. 12238. 20894. 36970. 10088.  6887. 12328.  6197.
  33318. 11184. 12346. 11678. 19444. 30489.  8706.  6367.  9103.  5862.
  37040. 12356. 12656. 12395. 20921. 35786.  8737.  7429. 11176.  6505.
  38388. 13172. 13167. 14349. 22467. 40372.  9121.  8005. 12575.  7351.
  40012. 13739. 13498. 15382. 23803. 41261.  8998.  9069. 13437.  7852.
  41352. 13222. 13871. 15686. 24668. 41220.  9583. 10036. 13857.  8462.
  41173. 12581. 14011. 15672. 24792. 38090.  9705.  8582. 12133.  7740.
  41729. 12631. 14350. 16268. 25484. 38170. 10170.  9044. 13033.  7536.
  40598. 12080. 14032. 16247. 25666. 32170.  8793.  8724. 12177.  6049.
  44232. 13047. 14641. 17019. 27539. 35780.  8313.  9101. 14706.  6990.
  46951. 13761. 15557. 19189. 31067. 37926.  9173.  9643. 16335.  7026.
DRUGS CLEAN PAINTS PETRO/REF TIRES RUBBER(NT) PLAST LEATH1 LEATH2 GLASS
   5702.  8420.  4940. 59672.  6306.  9213.  9942.  1825.  6906.  6689.
   6213.  9124.  5233. 61763.  6685.  9161. 10864.  1770.  6987.  7193.
   6893.  9605.  4995. 65797.  6445.  9107. 11741.  1834.  7155.  7144.
   7376. 10249.  5070. 70602.  7315.  9435. 13174.  1819.  7487.  7274.
   8201. 10542.  5036. 73127.  8101.  9958. 14102.  1629.  7189.  7640.
   8770. 11331.  5242. 73844.  7438.  9704. 13551.  1525.  6711.  7418.
   9276. 11143.  5414. 75661.  8370.  9200. 14379.  1583.  6361.  7764.
  10200. 12995.  5582. 78256.  9326.  9696. 18094.  1555.  6374.  8475.
  11051. 13859.  6002. 74654. 10171.  8771. 20715.  1402.  6344.  9147.
  12112. 14491.  5953. 82725.  9859.  8475. 19546.  1495.  6077.  8579.
  11993. 13412.  5196. 83715.  8425.  7432. 16559.  1523.  5851.  8037.
  13238. 14497.  5893. 93503.  8109.  7146. 19269.  1470.  6145.  8856.
  13770. 15035.  6254. 98895.  9422.  6463. 23480.  1552.  6103.  9091.
  14411. 16123.  6376. 99113.  8666.  5613. 25401.  1429.  6102.  9924.
  14793. 15714.  6638.106358.  8075.  6009. 24894.  1018.  5589.  8985.
  15579. 15332.  6020. 94219.  6288.  5966. 23338.  1243.  5757.  8697.
  15736. 15667.  6307. 91286.  6784.  6993. 24757.  1269.  5803.  8722.
  15718. 15173.  5710. 85720.  6584.  6163. 23082.  1113.  5164.  8173.
  16530. 15905.  5858. 84807.  7291.  6504. 27067.  1130.  5248.  8134.
  17390. 16411.  6408. 87838.  8499.  7215. 30708.  1095.  5039.  8409.
CEMENT CLAY POTTERY STONE STEEL FORGINGS COPPER ALUM NON-IRON CANS
  12150.  1761.  1120.  6297. 57476. 13065. 12861. 10687.  9214.  5998.
  12275.  1779.  1188.  6853. 58726. 13997. 14623. 12457. 11120.  6302.
  12236.  1635.  1177.  5964. 54797. 13360. 12155. 12169. 10450.  6852.
  12690.  1719.  1132.  6556. 56399. 13680. 12313. 13273. 11130.  7497.
  12966.  1760.  1315.  6322. 58117. 14565. 13635. 13582. 11417.  7670.
  12468.  1625.  1104.  5905. 51870. 12471. 12932. 12364.  9628.  8082.
  13076.  1659.  1127.  5701. 48127. 12344. 12796. 12508.  9592.  7702.
  14763.  1749.  1240.  6836. 51704. 13961. 14405. 14755. 10603.  7988.
  15385.  1787.  1369.  7660. 62549. 15795. 16296. 17690. 10601.  8417.
  14749.  1883.  1466.  7966. 66472. 16167. 15173. 16754.  9896.  8571.
  13146.  1583.  1195.  6809. 48885. 14097. 11780. 13443.  8569.  7836.
  13259.  1641.  1218.  7625. 51564. 14114. 13349. 16133.  9526.  8189.
  14490.  1720.  1214.  8098. 50248. 14986. 14960. 17187.  9232.  8789.
  15516.  1846.  1183.  8771. 53790. 16107. 15761. 18345.  9399.  8544.
  15739.  1759.  1317.  9020. 55369. 16109. 15436. 18680.  9507.  8656.
  13859.  1588.  1266.  7754. 46925. 13451. 13748. 17878.  9697.  7968.
  13087.  1465.  1174.  7509. 48425. 13346. 15360. 16942.  8866.  7784.
  11759.  1171.   996.  6369. 29435. 10600. 11146. 14204.  7205.  6903.
  12888.  1479.  1160.  7417. 34481. 10004. 13280. 14276.  7975.  7007.
  14733.  1665.  1292.  8261. 38354. 11668. 15181. 17352.  8866.  7243.
HEATING METAL SCREW STAMPINGS CUTLERY FABMET ENGINES FARM MINING MATHAND
   3012. 17325.  4715. 11848.  6304. 12216.  5341.  6944. 11457.  3672.
   3121. 18858.  5350. 12301.  6598. 13131.  5965.  8348. 11914.  4465.
   2870. 20498.  5214. 11875.  6482. 13301.  6047.  7987. 12071.  4251.
   3166. 20819.  5273. 13319.  6633. 14006.  6607.  7644. 12220.  4213.
   3452. 21280.  5112. 13189.  6922. 14514.  7772.  7064. 12832.  4684.
   3078. 21050.  4307. 11257.  6395. 13820.  7726.  7072. 12365.  4420.
   3210. 20948.  4016. 12021.  6659. 13548.  8046.  6962. 12137.  4152.
   3077. 22958.  4567. 13404.  7433. 14903.  8683.  8606. 13943.  4493.
   3217. 25498.  5471. 14727.  7995. 16556.  9748. 10419. 16241.  5072.
   2701. 24111.  5170. 13118.  7477. 16444. 10245. 11534. 18267.  5360.
   2519. 20479.  3692. 10815.  6523. 14625.  8306. 10752. 16820.  4075.
   2634. 22164.  4347. 13303.  7651. 16271.  9414. 11061. 16310.  4056.
   2962. 23932.  4955. 15034.  8308. 17793. 10348. 11564. 17724.  4807.
   3168. 24568.  5476. 15415.  8581. 18854. 10995. 10902. 20474.  5401.
   3176. 25636.  5776. 14769.  8599. 19589. 10811. 13079. 19635.  5805.
   3028. 25174.  5371. 12428.  7335. 18662.  9758. 11049. 18712.  5290.
   2633. 24551.  5176. 12453.  7430. 18613.  9593. 10477. 19259.  5065.
   2248. 20938.  4221. 10150.  6329. 15310.  7395.  8077. 14750.  3880.
   2264. 20109.  4722. 11355.  6827. 16792.  6414.  7007. 12305.  3237.
   2616. 22405.  5715. 13743.  7516. 19947.  7612.  8316. 15568.  4095.
METMACH SPEMACH GENMACH NONELMACH COMPUTERS TYPE SERVMACH TRANS ELIND APPLIANCES
  12243.  9166. 12795.  5226.  3191.  1295.  5243.  5224.  7481.  7034.
  13951. 10445. 14167.  6416.  4601.  1623.  6027.  5936.  8643.  7529.
  13898. 10075. 13488.  7999.  4100.  1710.  6355.  6210.  8344.  7606.
  13239.  9998. 12765.  7428.  4675.  1679.  6911.  6244.  8413.  8309.
  13794. 10122. 13811.  7415.  5790.  1842.  8179.  6762.  8806.  8504.
  12164.  9235. 13004.  7083.  5828.  1738.  7945.  6610.  8104.  8154.
  10321.  8296. 11984.  6404.  5495.  1699.  8566.  6509.  7729.  7917.
  11557. 10089. 13479.  7122.  6324.  1736. 11358.  7333.  8451.  9200.
  14177. 11425. 15694.  8108.  7705.  2202. 12811.  8379.  9991. 10225.
  14650. 11264. 16026.  8612.  9342.  2359. 11645.  8189. 10274.  9541.
  11944.  9237. 14066.  7752.  8374.  2066.  8337.  6759.  7935.  8339.
  12034.  9321. 14727.  7879. 10356.  2267. 10784.  7074.  8968.  9413.
  13157.  8714. 16196.  8407. 12920.  2872. 11956.  8243.  9482. 10542.
  14427.  9212. 16930.  9255. 16788.  3052. 13206.  9076. 10416. 10691.
  15330.  9276. 17914. 10633. 21747.  3219. 13451.  9639. 10754. 11104.
  14970.  8978. 17001. 10668. 26526.  3296. 11640. 10050.  9837. 10408.
  14574.  8316. 16952. 10952. 30914.  3146. 12454.  9945. 10224.  9953.
  12432.  6746. 13752.  8884. 32671.  3019. 10103.  7963.  8186.  8635.
  11915.  6943. 14153.  9143. 35607.  3289. 10398.  7958.  8178.  9916.
  14258.  8237. 16791. 10847. 43000.  3972. 12336.  8745.  8987. 11146.
LIGHTING RADIOTV PHONE COMMEQ ELACC ELMACH MOTVEH PLANES SHIPS RAILROAD
   6530.  2732.  4349. 11274.  5397.  4390. 78219. 28651.  5677.  4983.
   6989.  3610.  4748. 12774.  6950.  5221. 77421. 34318.  6270.  5649.
   6875.  3394.  4841. 13807.  7676.  4876. 68174. 39366.  6734.  4658.
   7349.  3754.  5132. 15193.  7483.  5250. 81005. 41535.  6591.  3777.
   7970.  3916.  5939. 14712.  8139.  5465. 81726. 39061.  6692.  4689.
   7592.  3522.  6783. 12654.  7721.  5536. 66311. 32032.  6332.  4296.
   7384.  3914.  6791. 11312.  7495.  5688. 84672. 27405.  6260.  4494.
   8589.  4421.  7133. 11849. 10536.  6306. 90558. 25345.  7460.  4306.
   9277.  5112.  7854. 12549. 11451.  7095.105136. 29832.  8248.  4800.
   8543.  4744.  8199. 12384. 10944.  6977. 87945. 29121.  8312.  5372.
   6480.  4196.  5723. 12748.  9165.  5898. 78634. 26914.  8932.  4894.
   7784.  4978.  5672. 13405. 11832.  7120.102582. 24879.  9090.  4019.
   8289.  6178.  7782. 14917. 14711.  8874.117685. 26376.  9349.  4453.
   8484.  7007.  8471. 17095. 17185.  9225.122455. 29337.  9336.  5387.
   9298.  6812. 10401. 19781. 21775.  9024.111978. 35796.  9312.  6969.
   8385.  7003. 10982. 22730. 24482.  7937. 80963. 38541.  9549.  5850.
   8056.  7153. 11028. 23552. 25959.  8362. 79904. 36384. 10243.  3823.
   7645.  6345. 11431. 24418. 25993.  7880. 71732. 34019.  9078.  2271.
   8381.  7343. 12153. 25962. 29730.  8619. 89565. 33424.  9217.  1137.
   9822.  8748. 14160. 30250. 37073.  9728.108249. 36888. 10727.  2041.
