This is Dataplot Data File     CHOI.DAT
Fire Research Emission "Trigger"
Mun Choi & Kevin McGrattan
Number of Observations = 4000
Observations per Line Image = 3
Order of Observations on a Line Image--
   1. Time
   2. Emission = Response Variable
   3. Voltage
Statistical Category--Comparing 2 Time Series
                      Auto & Cross Correlation
                      Auto & Cross Spectra
To Read this into Dataplot--
   SKIP 25
   SET READ FORMAT F10.4,F10.3,F10.6
   READ CHOI.DAT    TIME    EMISSION VOLTAGE
    0.4450     0.941  0.021672
    0.4500     0.346  0.043447
    0.4550     0.126  0.056622
    0.4600     0.042  0.060366
    0.4650     0.014  0.060735
    0.4700     0.007  0.061104
    0.4750     0.006  0.065682
    0.4800     0.031  0.069589
    0.4850     0.273  0.050255
    0.4900     0.494  0.042382
    0.4950     0.295  0.028667
    0.5000     0.110  0.015762
    0.5050     0.031  0.008808
    0.5100     0.024  0.005107
    0.5150     0.049  0.003995
    0.5200     0.241  0.005346
    0.5250     0.831  0.008402
    0.5300     1.482  0.012585
    0.5350     1.229  0.024563
    0.5400     0.647  0.046576
    0.5450     0.322  0.056080
    0.5500     0.130  0.061012
    0.5550     0.041  0.064646
    0.5600     0.011  0.064177
    0.5650     0.006  0.067770
    0.5700     0.027  0.074550
    0.5750     0.285  0.055719
    0.5800     0.509  0.044030
    0.5850     0.260  0.030934
    0.5900     0.096  0.018395
    0.5950     0.035  0.009460
    0.6000     0.030  0.004629
    0.6050     0.063  0.005346
    0.6100     0.229  0.006306
    0.6150     0.716  0.008078
    0.6200     1.414  0.014251
    0.6250     1.526  0.027857
    0.6300     0.945  0.046379
    0.6350     0.531  0.056080
    0.6400     0.284  0.064364
    0.6450     0.115  0.068822
    0.6500     0.032  0.069301
    0.6550     0.010  0.074747
    0.6600     0.019  0.082156
    0.6650     0.300  0.060735
    0.6700     0.572  0.045789
    0.6750     0.328  0.032766
    0.6800     0.095  0.016692
    0.6850     0.030  0.007593
    0.6900     0.019  0.005346
    0.6950     0.022  0.004788
    0.7000     0.084  0.005187
    0.7050     0.356  0.008240
    0.7100     0.943  0.014083
    0.7150     1.458  0.025448
    0.7200     1.361  0.045888
    0.7250     0.758  0.057620
    0.7300     0.432  0.066534
    0.7350     0.213  0.072689
    0.7400     0.066  0.075635
    0.7450     0.015  0.079022
    0.7500     0.019  0.087305
    0.7550     0.302  0.066439
    0.7600     0.564  0.047762
    0.7650     0.313  0.032215
    0.7700     0.104  0.015089
    0.7750     0.031  0.008402
    0.7800     0.019  0.005266
    0.7850     0.019  0.004550
    0.7900     0.052  0.006226
    0.7950     0.230  0.008321
    0.8000     0.694  0.013666
    0.8050     1.235  0.027230
    0.8100     1.478  0.048358
    0.8150     1.083  0.061938
    0.8200     0.530  0.072396
    0.8250     0.249  0.080937
    0.8300     0.076  0.082563
    0.8350     0.016  0.084819
    0.8400     0.019  0.091087
    0.8450     0.306  0.068056
    0.8500     0.533  0.047564
    0.8550     0.280  0.032215
    0.8600     0.100  0.013833
    0.8650     0.032  0.006145
    0.8700     0.022  0.005107
    0.8750     0.020  0.005745
    0.8800     0.051  0.006306
    0.8850     0.218  0.008321
    0.8900     0.658  0.016269
    0.8950     1.231  0.031939
    0.9000     1.497  0.051665
    0.9050     1.165  0.069397
    0.9100     0.542  0.079726
    0.9150     0.251  0.085955
    0.9200     0.082  0.085955
    0.9250     0.018  0.087514
    0.9300     0.014  0.094825
    0.9350     0.300  0.071230
    0.9400     0.518  0.050557
    0.9450     0.239  0.033135
    0.9500     0.074  0.012171
    0.9550     0.029  0.006065
    0.9600     0.023  0.005346
    0.9650     0.025  0.004709
    0.9700     0.077  0.005825
    0.9750     0.326  0.009378
    0.9800     0.863  0.017032
    0.9850     1.426  0.036670
    0.9900     1.180  0.063615
    0.9950     0.630  0.082870
    1.0000     0.380  0.088140
    1.0050     0.213  0.090241
    1.0100     0.077  0.089398
    1.0150     0.018  0.088454
    1.0200     0.014  0.098187
    1.0250     0.303  0.077123
    1.0300     0.546  0.053122
    1.0350     0.284  0.032582
    1.0400     0.105  0.013499
    1.0450     0.040  0.006546
    1.0500     0.029  0.004948
    1.0550     0.041  0.005346
    1.0600     0.134  0.007109
    1.0650     0.471  0.009704
    1.0700     1.025  0.018994
    1.0750     1.288  0.044224
    1.0800     0.898  0.074353
    1.0850     0.533  0.089925
    1.0900     0.355  0.094180
    1.0950     0.209  0.095040
    1.1000     0.076  0.091936
    1.1050     0.019  0.095688
    1.1100     0.016  0.110756
    1.1150     0.348  0.084407
    1.1200     0.581  0.058258
    1.1250     0.271  0.032950
    1.1300     0.103  0.011922
    1.1350     0.041  0.005506
    1.1400     0.036  0.005266
    1.1450     0.070  0.005905
    1.1500     0.233  0.006466
    1.1550     0.674  0.010359
    1.1600     1.100  0.021759
    1.1650     1.091  0.050155
    1.1700     0.766  0.091193
    1.1750     0.380  0.109606
    1.1800     0.201  0.106076
    1.1850     0.081  0.099502
    1.1900     0.022  0.096554
    1.1950     0.007  0.102488
    1.2000     0.137  0.096880
    1.2050     0.427  0.063428
    1.2100     0.308  0.046576
    1.2150     0.071  0.020199
    1.2200     0.040  0.005346
    1.2250     0.044  0.004471
    1.2300     0.069  0.004153
    1.2350     0.178  0.004233
    1.2400     0.488  0.006546
    1.2450     0.931  0.012419
    1.2500     1.114  0.025892
    1.2550     0.921  0.059538
    1.2600     0.640  0.106076
    1.2650     0.288  0.123082
    1.2700     0.115  0.110180
    1.2750     0.050  0.098624
    1.2800     0.020  0.094932
    1.2850     0.015  0.096662
    1.2900     0.201  0.075832
    1.2950     0.505  0.046971
    1.3000     0.644  0.028938
    1.3050     0.763  0.009623
    1.3100     0.855  0.008646
    1.3150     0.781  0.009052
    1.3200     0.796  0.010195
    1.3250     0.957  0.015341
    1.3300     1.191  0.025625
    1.3350     1.161  0.043350
    1.3400     0.731  0.058440
    1.3450     0.499  0.064834
    1.3500     0.384  0.068439
    1.3550     0.306  0.074944
    1.3600     0.255  0.081343
    1.3650     0.218  0.093536
    1.3700     0.193  0.111217
    1.3750     0.171  0.127874
    1.3800     0.203  0.120720
    1.3850     0.433  0.065682
    1.3900     0.634  0.044419
    1.3950     0.781  0.021151
    1.4000     0.947  0.008808
    1.4050     1.165  0.008240
    1.4100     1.247  0.010605
    1.4150     1.331  0.013582
    1.4200     1.508  0.019682
    1.4250     1.558  0.032306
    1.4300     1.294  0.046084
    1.4350     0.782  0.057257
    1.4400     0.484  0.069109
    1.4450     0.313  0.078821
    1.4500     0.191  0.080533
    1.4550     0.108  0.079726
    1.4600     0.060  0.088349
    1.4650     0.046  0.095796
    1.4700     0.225  0.067961
    1.4750     0.372  0.048457
    1.4800     0.401  0.030115
    1.4850     0.271  0.010523
    1.4900     0.321  0.005027
    1.4950     0.418  0.005905
    1.5000     0.517  0.006466
    1.5050     0.752  0.008727
    1.5100     1.163  0.015847
    1.5150     1.463  0.030115
    1.5200     1.071  0.046182
    1.5250     0.573  0.064364
    1.5300     0.343  0.074944
    1.5350     0.184  0.079022
    1.5400     0.080  0.079524
    1.5450     0.028  0.083586
    1.5500     0.012  0.097969
    1.5550     0.097  0.098734
    1.5600     0.313  0.074648
    1.5650     0.358  0.060366
    1.5700     0.126  0.025359
    1.5750     0.063  0.012171
    1.5800     0.053  0.012253
    1.5850     0.070  0.013499
    1.5900     0.173  0.019252
    1.5950     0.489  0.032031
    1.6000     1.001  0.057620
    1.6050     1.286  0.106869
    1.6100     1.028  0.185642
    1.6150     0.522  0.205886
    1.6200     0.264  0.155764
    1.6250     0.116  0.130527
    1.6300     0.038  0.114916
    1.6350     0.011  0.105399
    1.6400     0.008  0.108005
    1.6450     0.198  0.090030
    1.6500     0.386  0.061474
    1.6550     0.259  0.038177
    1.6600     0.068  0.012253
    1.6650     0.049  0.005426
    1.6700     0.048  0.004233
    1.6750     0.094  0.004788
    1.6800     0.305  0.006466
    1.6850     0.766  0.008646
    1.6900     1.081  0.017627
    1.6950     0.998  0.043641
    1.7000     0.704  0.080836
    1.7050     0.321  0.099282
    1.7100     0.139  0.098734
    1.7150     0.053  0.095364
    1.7200     0.017  0.092362
    1.7250     0.007  0.096337
    1.7300     0.026  0.104836
    1.7350     0.316  0.078120
    1.7400     0.423  0.054282
    1.7450     0.151  0.024299
    1.7500     0.060  0.006627
    1.7550     0.060  0.004312
    1.7600     0.080  0.005027
    1.7650     0.200  0.005506
    1.7700     0.578  0.006306
    1.7750     1.004  0.010851
    1.7800     1.052  0.024828
    1.7850     0.866  0.055539
    1.7900     0.523  0.088140
    1.7950     0.235  0.100272
    1.8000     0.102  0.096229
    1.8050     0.035  0.092895
    1.8100     0.011  0.092788
    1.8150     0.006  0.099612
    1.8200     0.104  0.096771
    1.8250     0.431  0.065682
    1.8300     0.419  0.048060
    1.8350     0.149  0.016862
    1.8400     0.079  0.006386
    1.8450     0.051  0.005905
    1.8500     0.072  0.004948
    1.8550     0.211  0.005107
    1.8600     0.618  0.008159
    1.8650     0.997  0.014251
    1.8700     0.983  0.032306
    1.8750     0.759  0.069397
    1.8800     0.429  0.095256
    1.8850     0.269  0.098406
    1.8900     0.163  0.099063
    1.8950     0.067  0.101156
    1.9000     0.018  0.102488
    1.9050     0.008  0.115229
    1.9100     0.205  0.102376
    1.9150     0.512  0.069589
    1.9200     0.352  0.044517
    1.9250     0.154  0.014669
    1.9300     0.108  0.007190
    1.9350     0.099  0.006065
    1.9400     0.181  0.005506
    1.9450     0.440  0.007674
    1.9500     0.823  0.010441
    1.9550     1.017  0.019252
    1.9600     0.923  0.045495
    1.9650     0.636  0.081546
    1.9700     0.385  0.096988
    1.9750     0.274  0.098624
    1.9800     0.178  0.098843
    1.9850     0.071  0.096662
    1.9900     0.018  0.098953
    1.9950     0.008  0.117116
    2.0000     0.285  0.096012
    2.0050     0.563  0.064458
    2.0100     0.387  0.039506
    2.0150     0.256  0.013582
    2.0200     0.234  0.006546
    2.0250     0.269  0.006546
    2.0300     0.434  0.007755
    2.0350     0.725  0.009297
    2.0400     0.982  0.014000
    2.0450     1.008  0.030024
    2.0500     0.831  0.060919
    2.0550     0.495  0.083176
    2.0600     0.359  0.091936
    2.0650     0.284  0.096337
    2.0700     0.212  0.094717
    2.0750     0.110  0.094717
    2.0800     0.032  0.102265
    2.0850     0.014  0.125575
    2.0900     0.335  0.100935
    2.0950     0.654  0.066819
    2.1000     0.500  0.037234
    2.1050     0.406  0.012668
    2.1100     0.399  0.007755
    2.1150     0.504  0.008565
    2.1200     0.722  0.008808
    2.1250     0.956  0.011675
    2.1300     1.061  0.020544
    2.1350     0.973  0.039601
    2.1400     0.655  0.059722
    2.1450     0.458  0.075536
    2.1500     0.369  0.085335
    2.1550     0.298  0.089819
    2.1600     0.215  0.089819
    2.1650     0.099  0.090241
    2.1700     0.030  0.101710
    2.1750     0.029  0.120614
    2.1800     0.438  0.089819
    2.1850     0.728  0.059538
    2.1900     0.583  0.029842
    2.1950     0.490  0.013083
    2.2000     0.467  0.008890
    2.2050     0.585  0.008321
    2.2100     0.801  0.010031
    2.2150     1.032  0.014669
    2.2200     1.163  0.024828
    2.2250     1.039  0.044615
    2.2300     0.673  0.062961
    2.2350     0.469  0.076130
    2.2400     0.371  0.084099
    2.2450     0.290  0.089819
    2.2500     0.192  0.089293
    2.2550     0.082  0.089293
    2.2600     0.032  0.106076
    2.2650     0.127  0.105061
    2.2700     0.554  0.070457
    2.2750     0.678  0.045397
    2.2800     0.522  0.018224
    2.2850     0.386  0.008402
    2.2900     0.276  0.006868
    2.2950     0.292  0.007916
    2.3000     0.414  0.009704
    2.3050     0.634  0.013249
    2.3100     0.961  0.024652
    2.3150     1.250  0.046478
    2.3200     1.069  0.063054
    2.3250     0.600  0.076924
    2.3300     0.392  0.083996
    2.3350     0.298  0.087618
    2.3400     0.219  0.089293
    2.3450     0.134  0.093858
    2.3500     0.096  0.108348
    2.3550     0.457  0.080129
    2.3600     0.701  0.052145
    2.3650     0.444  0.024652
    2.3700     0.185  0.006788
    2.3750     0.059  0.004868
    2.3800     0.027  0.005426
    2.3850     0.015  0.005426
    2.3900     0.010  0.005426
    2.3950     0.029  0.008159
    2.4000     0.162  0.015425
    2.4050     0.631  0.031207
    2.4100     1.243  0.055899
    2.4150     0.811  0.073666
    2.4200     0.417  0.081343
    2.4250     0.258  0.082563
    2.4300     0.120  0.086162
    2.4350     0.049  0.094394
    2.4400     0.317  0.074648
    2.4450     0.574  0.047663
    2.4500     0.213  0.029389
    2.4550     0.034  0.007271
    2.4600     0.023  0.003995
    2.4650     0.023  0.003757
    2.4700     0.023  0.003678
    2.4750     0.026  0.004074
    2.4800     0.071  0.006466
    2.4850     0.292  0.011016
    2.4900     0.817  0.024210
    2.4950     1.247  0.055359
    2.5000     0.886  0.088559
    2.5050     0.403  0.101266
    2.5100     0.245  0.096229
    2.5150     0.142  0.093002
    2.5200     0.070  0.095904
    2.5250     0.047  0.105625
    2.5300     0.314  0.083381
    2.5350     0.573  0.052234
    2.5400     0.389  0.025625
    2.5450     0.155  0.006788
    2.5500     0.103  0.005586
    2.5550     0.106  0.004868
    2.5600     0.168  0.005665
    2.5650     0.368  0.008321
    2.5700     0.760  0.012336
    2.5750     1.067  0.024563
    2.5800     0.998  0.055809
    2.5850     0.659  0.092149
    2.5900     0.337  0.108919
    2.5950     0.177  0.105512
    2.6000     0.078  0.100493
    2.6050     0.029  0.095796
    2.6100     0.015  0.099392
    2.6150     0.065  0.097423
    2.6200     0.339  0.063615
    2.6250     0.524  0.047070
    2.6300     0.396  0.017627
    2.6350     0.268  0.007190
    2.6400     0.211  0.005745
    2.6450     0.247  0.006788
    2.6500     0.432  0.008484
    2.6550     0.767  0.010523
    2.6600     1.037  0.018053
    2.6650     1.000  0.039887
    2.6700     0.756  0.074747
    2.6750     0.415  0.098624
    2.6800     0.204  0.105287
    2.6850     0.088  0.104724
    2.6900     0.036  0.100493
    2.6950     0.018  0.099172
    2.7000     0.015  0.106529
    2.7050     0.117  0.099172
    2.7100     0.387  0.060550
    2.7150     0.620  0.043447
    2.7200     0.644  0.013666
    2.7250     0.481  0.007351
    2.7300     0.399  0.007432
    2.7350     0.543  0.008402
    2.7400     0.858  0.009134
    2.7450     1.115  0.013749
    2.7500     1.080  0.026694
    2.7550     0.813  0.049354
    2.7600     0.499  0.069878
    2.7650     0.309  0.080129
    2.7700     0.175  0.084613
    2.7750     0.092  0.085955
    2.7800     0.050  0.088873
    2.7850     0.034  0.097859
    2.7900     0.037  0.111706
    2.7950     0.144  0.107209
    2.8000     0.426  0.063708
    2.8050     0.718  0.044517
    2.8100     0.815  0.017542
    2.8150     0.676  0.009297
    2.8200     0.623  0.008159
    2.8250     0.857  0.007674
    2.8300     1.213  0.009541
    2.8350     1.295  0.014251
    2.8400     0.983  0.023858
    2.8450     0.634  0.039696
    2.8500     0.418  0.056441
    2.8550     0.251  0.061659
    2.8600     0.143  0.061474
    2.8650     0.084  0.065116
    2.8700     0.053  0.072786
    2.8750     0.045  0.087514
    2.8800     0.055  0.106302
    2.8850     0.192  0.101932
    2.8900     0.489  0.059722
    2.8950     0.806  0.042672
    2.9000     0.714  0.021151
    2.9050     0.465  0.009950
    2.9100     0.385  0.007513
    2.9150     0.590  0.007674
    2.9200     1.079  0.008890
    2.9250     1.407  0.011757
    2.9300     1.041  0.019682
    2.9350     0.686  0.037894
    2.9400     0.471  0.051463
    2.9450     0.279  0.058166
    2.9500     0.154  0.058531
    2.9550     0.082  0.058623
    2.9600     0.048  0.064646
    2.9650     0.036  0.081647
    2.9700     0.039  0.103156
    2.9750     0.225  0.090452
    2.9800     0.473  0.061567
    2.9850     0.636  0.040939
    2.9900     0.505  0.020112
    2.9950     0.354  0.010769
    3.0000     0.303  0.008484
    3.0050     0.458  0.007432
    3.0100     0.891  0.008402
    3.0150     1.367  0.013582
    3.0200     1.177  0.022981
    3.0250     0.731  0.039791
    3.0300     0.459  0.056080
    3.0350     0.239  0.063989
    3.0400     0.104  0.062681
    3.0450     0.043  0.059538
    3.0500     0.022  0.064364
    3.0550     0.015  0.078420
    3.0600     0.037  0.092149
    3.0650     0.296  0.064928
    3.0700     0.539  0.056441
    3.0750     0.549  0.030296
    3.0800     0.431  0.016947
    3.0850     0.320  0.009786
    3.0900     0.365  0.007755
    3.0950     0.602  0.007593
    3.1000     1.042  0.010687
    3.1050     1.381  0.017286
    3.1100     1.147  0.029933
    3.1150     0.631  0.048557
    3.1200     0.334  0.064364
    3.1250     0.146  0.069109
    3.1300     0.058  0.068726
    3.1350     0.023  0.066913
    3.1400     0.012  0.070747
    3.1450     0.013  0.083893
    3.1500     0.148  0.080836
    3.1550     0.405  0.051968
    3.1600     0.588  0.043544
    3.1650     0.508  0.020544
    3.1700     0.351  0.011098
    3.1750     0.268  0.007029
    3.1800     0.395  0.006868
    3.1850     0.752  0.008484
    3.1900     1.238  0.011427
    3.1950     1.397  0.019596
    3.2000     0.962  0.034987
    3.2050     0.399  0.053300
    3.2100     0.160  0.065588
    3.2150     0.063  0.069301
    3.2200     0.025  0.069013
    3.2250     0.012  0.065777
    3.2300     0.010  0.072396
    3.2350     0.018  0.084201
    3.2400     0.217  0.067294
    3.2450     0.438  0.048557
    3.2500     0.590  0.034801
    3.2550     0.516  0.015762
    3.2600     0.420  0.007190
    3.2650     0.463  0.006546
    3.2700     0.744  0.007432
    3.2750     1.139  0.008159
    3.2800     1.254  0.013083
    3.2850     0.994  0.025625
    3.2900     0.566  0.043738
    3.2950     0.168  0.056803
    3.3000     0.040  0.067389
    3.3050     0.016  0.067199
    3.3100     0.010  0.066250
    3.3150     0.009  0.068247
    3.3200     0.011  0.077721
    3.3250     0.063  0.093108
    3.3300     0.328  0.087201
    3.3350     0.613  0.054640
    3.3400     0.699  0.025892
    3.3450     0.495  0.009704
    3.3500     0.415  0.007674
    3.3550     0.586  0.007190
    3.3600     0.960  0.006868
    3.3650     1.157  0.009297
    3.3700     0.908  0.016269
    3.3750     0.629  0.030569
    3.3800     0.371  0.050657
    3.3850     0.111  0.061938
    3.3900     0.020  0.066724
    3.3950     0.008  0.065682
    3.4000     0.006  0.068439
    3.4050     0.006  0.074648
    3.4100     0.019  0.080937
    3.4150     0.192  0.067104
    3.4200     0.480  0.045593
    3.4250     0.801  0.034152
    3.4300     0.730  0.011510
    3.4350     0.578  0.008727
    3.4400     0.676  0.007109
    3.4450     0.943  0.006466
    3.4500     1.015  0.007916
    3.4550     0.771  0.012005
    3.4600     0.564  0.021846
    3.4650     0.440  0.042285
    3.4700     0.297  0.065305
    3.4750     0.112  0.072494
    3.4800     0.021  0.073568
    3.4850     0.007  0.073470
    3.4900     0.005  0.076427
    3.4950     0.011  0.080735
    3.5000     0.107  0.074353
    3.5050     0.386  0.048856
    3.5100     0.735  0.038366
    3.5150     0.812  0.014921
    3.5200     0.629  0.009297
    3.5250     0.651  0.007029
    3.5300     0.846  0.005985
    3.5350     0.928  0.006788
    3.5400     0.778  0.008727
    3.5450     0.603  0.014334
    3.5500     0.493  0.029118
    3.5550     0.387  0.053924
    3.5600     0.233  0.073177
    3.5650     0.068  0.078020
    3.5700     0.012  0.077421
    3.5750     0.006  0.078220
    3.5800     0.008  0.082563
    3.5850     0.044  0.082972
    3.5900     0.258  0.059998
    3.5950     0.568  0.042575
    3.6000     0.836  0.026337
    3.6050     0.794  0.011675
    3.6100     0.758  0.007513
    3.6150     0.842  0.006226
    3.6200     0.856  0.006546
    3.6250     0.752  0.007351
    3.6300     0.641  0.010687
    3.6350     0.553  0.020890
    3.6400     0.450  0.038272
    3.6450     0.317  0.058531
    3.6500     0.137  0.068439
    3.6550     0.029  0.073862
    3.6600     0.007  0.074451
    3.6650     0.007  0.079223
    3.6700     0.015  0.083176
    3.6750     0.120  0.074451
    3.6800     0.369  0.048457
    3.6850     0.698  0.038840
    3.6900     0.824  0.017882
    3.6950     0.721  0.008890
    3.7000     0.717  0.006707
    3.7050     0.763  0.006226
    3.7100     0.764  0.005506
    3.7150     0.711  0.007351
    3.7200     0.649  0.013333
    3.7250     0.565  0.024122
    3.7300     0.433  0.041515
    3.7350     0.229  0.056170
    3.7400     0.061  0.066060
    3.7450     0.012  0.068917
    3.7500     0.008  0.074157
    3.7550     0.009  0.079927
    3.7600     0.037  0.078520
    3.7650     0.196  0.059172
    3.7700     0.421  0.043059
    3.7750     0.649  0.030569
    3.7800     0.729  0.012088
    3.7850     0.716  0.007916
    3.7900     0.750  0.006466
    3.7950     0.804  0.005346
    3.8000     0.790  0.006627
    3.8050     0.705  0.010605
    3.8100     0.618  0.018395
    3.8150     0.497  0.033596
    3.8200     0.292  0.050155
    3.8250     0.096  0.060642
    3.8300     0.019  0.065871
    3.8350     0.007  0.070457
    3.8400     0.006  0.076130
    3.8450     0.014  0.076725
    3.8500     0.135  0.065116
    3.8550     0.340  0.044030
    3.8600     0.575  0.034523
    3.8650     0.599  0.011922
    3.8700     0.472  0.007432
    3.8750     0.432  0.005905
    3.8800     0.631  0.005027
    3.8850     1.018  0.005985
    3.8900     1.121  0.007916
    3.8950     0.849  0.012253
    3.9000     0.604  0.024299
    3.9050     0.322  0.039506
    3.9100     0.099  0.054014
    3.9150     0.019  0.059998
    3.9200     0.007  0.064458
    3.9250     0.005  0.070457
    3.9300     0.005  0.075931
    3.9350     0.056  0.096012
    3.9400     0.274  0.059814
    3.9450     0.557  0.042382
    3.9500     0.431  0.018737
    3.9550     0.160  0.008078
    3.9600     0.077  0.006306
    3.9650     0.100  0.004868
    3.9700     0.335  0.005586
    3.9750     0.950  0.006145
    3.9800     1.102  0.007593
    3.9850     0.754  0.014753
    3.9900     0.518  0.030843
    3.9950     0.285  0.046872
    4.0000     0.099  0.061289
    4.0050     0.020  0.065211
    4.0100     0.006  0.066629
    4.0150     0.004  0.070843
    4.0200     0.012  0.074747
    4.0250     0.182  0.060735
    4.0300     0.458  0.041707
    4.0350     0.470  0.027319
    4.0400     0.133  0.009052
    4.0450     0.036  0.006546
    4.0500     0.027  0.005426
    4.0550     0.056  0.004788
    4.0600     0.350  0.004788
    4.0650     0.991  0.005985
    4.0700     0.998  0.010769
    4.0750     0.628  0.022981
    4.0800     0.423  0.047267
    4.0850     0.226  0.069397
    4.0900     0.063  0.080533
    4.0950     0.011  0.076725
    4.1000     0.004  0.076526
    4.1050     0.004  0.081444
    4.1100     0.051  0.079726
    4.1150     0.313  0.054910
    4.1200     0.518  0.041611
    4.1250     0.173  0.016016
    4.1300     0.039  0.007351
    4.1350     0.026  0.006466
    4.1400     0.031  0.005187
    4.1450     0.121  0.004074
    4.1500     0.586  0.005187
    4.1550     1.066  0.008402
    4.1600     0.835  0.014837
    4.1650     0.543  0.035453
    4.1700     0.357  0.072007
    4.1750     0.152  0.094394
    4.1800     0.028  0.094394
    4.1850     0.007  0.088768
    4.1900     0.004  0.087097
    4.1950     0.005  0.090136
    4.2000     0.173  0.079424
    4.2050     0.480  0.052589
    4.2100     0.323  0.032398
    4.2150     0.068  0.009378
    4.2200     0.027  0.007513
    4.2250     0.025  0.006065
    4.2300     0.056  0.004074
    4.2350     0.291  0.005027
    4.2400     0.868  0.007593
    4.2450     1.118  0.011510
    4.2500     0.869  0.025005
    4.2550     0.559  0.055899
    4.2600     0.238  0.083996
    4.2650     0.053  0.095364
    4.2700     0.011  0.093643
    4.2750     0.004  0.091299
    4.2800     0.003  0.089188
    4.2850     0.012  0.096120
    4.2900     0.278  0.078921
    4.2950     0.506  0.054193
    4.3000     0.217  0.025182
    4.3050     0.089  0.009460
    4.3100     0.053  0.006948
    4.3150     0.078  0.005346
    4.3200     0.242  0.005506
    4.3250     0.678  0.007351
    4.3300     1.081  0.009541
    4.3350     1.052  0.018480
    4.3400     0.851  0.041803
    4.3450     0.490  0.069974
    4.3500     0.178  0.087618
    4.3550     0.051  0.092255
    4.3600     0.015  0.092575
    4.3650     0.006  0.089083
    4.3700     0.006  0.092681
    4.3750     0.060  0.098078
    4.3800     0.316  0.072007
    4.3850     0.428  0.052677
    4.3900     0.234  0.022194
    4.3950     0.230  0.008078
    4.4000     0.331  0.005825
    4.4050     0.493  0.007109
    4.4100     0.790  0.008078
    4.4150     1.083  0.010031
    4.4200     1.106  0.017371
    4.4250     0.933  0.036201
    4.4300     0.663  0.063428
    4.4350     0.372  0.083586
    4.4400     0.210  0.092468
    4.4450     0.098  0.093215
    4.4500     0.039  0.089188
    4.4550     0.016  0.088978
    4.4600     0.009  0.100382
    4.4650     0.092  0.100493
    4.4700     0.307  0.067579
    4.4750     0.460  0.050456
    4.4800     0.445  0.019768
    4.4850     0.536  0.007351
    4.4900     0.735  0.007916
