This is dataplot data file    kneifel_7_128.dat      3/9/15
Contents: Annual Net-Zero House Energy Usage Data
Contact:  Josh Kneifel, Bill Healy (NIST)
Number of observations             = 128 = 2**7 (from the 2**7 full factorial design)
Number of variables per line image = 1 + 7 = 8
Order of variables on a line image:
   1. Response 1 = Annual Site Energy Consumption = "Pepco"
   2. Factor 1   = Building Design   ( 2 levels: 1: Md Code: 2012 IECC and 2: NetZero: NZERTF)
   3. Factor 2   = Weather           ( 2 levels: 1: Extreme: EMY       and 2: Typical: TMY)
   4. Factor 3   = Orientation       ( 2 levels: 0 deg.: Due South     and 45 deg.: Southwest
   5. Factor 4   = Air Leakage       ( 2 levels: 0.61 ACH50            and 7.00 ACH50)
   6. Factor 5   = Occupant Behavior ( 2 levels: 50%                   and 200%)
   7. Factor 6   = Heating Setpoint  ( 2 levels: 19.1                  and 21.1 degrees C)
   8. Factor 7   = Cooling Setpoint  ( 2 levels: 23.9                  and 25.9 degrees C)
To read this data file into dataplot:
    31221         1      1   45.00     1     200   19.1   23.9
    17134         2      1   45.00     1     200   19.1   23.9
    28728         1      2   45.00     1     200   19.1   23.9
    16353         2      2   45.00     1     200   19.1   23.9
    44446         1      1    0.00     7     200   19.1   23.9
    25184         2      1    0.00     7     200   19.1   23.9
    38170         1      2    0.00     7     200   19.1   23.9
    22797         2      2    0.00     7     200   19.1   23.9
    44446         1      1   45.00     7     200   19.1   23.9
    25184         2      1   45.00     7     200   19.1   23.9
    38170         1      2   45.00     7     200   19.1   23.9
    22797         2      2   45.00     7     200   19.1   23.9
    22391         1      1    0.00     1      50   21.1   23.9
     8974         2      1    0.00     1      50   21.1   23.9
    19451         1      2    0.00     1      50   21.1   23.9
     8033         2      2    0.00     1      50   21.1   23.9
    22391         1      1   45.00     1      50   21.1   23.9
     8974         2      1   45.00     1      50   21.1   23.9
    19451         1      2   45.00     1      50   21.1   23.9
     8033         2      2   45.00     1      50   21.1   23.9
    38853         1      1    0.00     7      50   21.1   23.9
    17131         2      1    0.00     7      50   21.1   23.9
    31637         1      2    0.00     7      50   21.1   23.9
    14905         2      2    0.00     7      50   21.1   23.9
    38853         1      1   45.00     7      50   21.1   23.9
    16623         2      1   45.00     7      50   21.1   23.9
    31637         1      2   45.00     7      50   21.1   23.9
    14163         2      2   45.00     7      50   21.1   23.9
    33568         1      1    0.00     1     200   21.1   23.9
    17727         2      1    0.00     1     200   21.1   23.9
    30800         1      2    0.00     1     200   21.1   23.9
    16898         2      2    0.00     1     200   21.1   23.9
    33568         1      1   45.00     1     200   21.1   23.9
    17727         2      1   45.00     1     200   21.1   23.9
    30800         1      2   45.00     1     200   21.1   23.9
    16898         2      2   45.00     1     200   21.1   23.9
    49649         1      1    0.00     7     200   21.1   23.9
    25721         2      1    0.00     7     200   21.1   23.9
    42712         1      2    0.00     7     200   21.1   23.9
    23560         2      2    0.00     7     200   21.1   23.9
    49649         1      1   45.00     7     200   21.1   23.9
    25721         2      1   45.00     7     200   21.1   23.9
    42712         1      2   45.00     7     200   21.1   23.9
    23560         2      2   45.00     7     200   21.1   23.9
    19088         1      1    0.00     1      50   19.1   25.9
     7823         2      1    0.00     1      50   19.1   25.9
    16397         1      2    0.00     1      50   19.1   25.9
     6857         2      2    0.00     1      50   19.1   25.9
    19088         1      1   45.00     1      50   19.1   25.9
     7823         2      1   45.00     1      50   19.1   25.9
    16397         1      2   45.00     1      50   19.1   25.9
     6857         2      2   45.00     1      50   19.1   25.9
    32514         1      1    0.00     7      50   19.1   25.9
    15780         2      1    0.00     7      50   19.1   25.9
    25876         1      2    0.00     7      50   19.1   25.9
    13123         2      2    0.00     7      50   19.1   25.9
    32514         1      1   45.00     7      50   19.1   25.9
    15780         2      1   45.00     7      50   19.1   25.9
    25876         1      2   45.00     7      50   19.1   25.9
    13123         2      2   45.00     7      50   19.1   25.9
    30315         1      1    0.00     1     200   19.1   25.9
    16539         2      1    0.00     1     200   19.1   25.9
    27761         1      2    0.00     1     200   19.1   25.9
    15735         2      2    0.00     1     200   19.1   25.9
    30315         1      1   45.00     1     200   19.1   25.9
    16539         2      1   45.00     1     200   19.1   25.9
    27761         1      2   45.00     1     200   19.1   25.9
    15735         2      2   45.00     1     200   19.1   25.9
    43300         1      1    0.00     7     200   19.1   25.9
    24301         2      1    0.00     7     200   19.1   25.9
    36931         1      2    0.00     7     200   19.1   25.9
    21717         2      2    0.00     7     200   19.1   25.9
    43300         1      1   45.00     7     200   19.1   25.9
    24301         2      1   45.00     7     200   19.1   25.9
    36931         1      2   45.00     7     200   19.1   25.9
    21717         2      2   45.00     7     200   19.1   25.9
    21551         1      1    0.00     1      50   21.1   25.9
     8444         2      1    0.00     1      50   21.1   25.9
    18560         1      2    0.00     1      50   21.1   25.9
     7483         2      2    0.00     1      50   21.1   25.9
    21551         1      1   45.00     1      50   21.1   25.9
     8444         2      1   45.00     1      50   21.1   25.9
    18560         1      2   45.00     1      50   21.1   25.9
     7483         2      2   45.00     1      50   21.1   25.9
    37766         1      1    0.00     7      50   21.1   25.9
    16283         2      1    0.00     7      50   21.1   25.9
    30464         1      2    0.00     7      50   21.1   25.9
    13857         2      2    0.00     7      50   21.1   25.9
    37766         1      1   45.00     7      50   21.1   25.9
    16283         2      1   45.00     7      50   21.1   25.9
    30464         1      2   45.00     7      50   21.1   25.9
    13857         2      2   45.00     7      50   21.1   25.9
    32644         1      1    0.00     1     200   21.1   25.9
    17144         2      1    0.00     1     200   21.1   25.9
    29816         1      2    0.00     1     200   21.1   25.9
    16279         2      2    0.00     1     200   21.1   25.9
    32644         1      1   45.00     1     200   21.1   25.9
    17144         2      1   45.00     1     200   21.1   25.9
    29816         1      2   45.00     1     200   21.1   25.9
    16279         2      2   45.00     1     200   21.1   25.9
    48446         1      1    0.00     7     200   21.1   25.9
    24831         2      1    0.00     7     200   21.1   25.9
    41408         1      2    0.00     7     200   21.1   25.9
    22464         2      2    0.00     7     200   21.1   25.9
    48446         1      1   45.00     7     200   21.1   25.9
    24831         2      1   45.00     7     200   21.1   25.9
    41408         1      2   45.00     7     200   21.1   25.9
    22464         2      2   45.00     7     200   21.1   25.9
